sample	threshold	n_obs	called_4mC	frac_4mC	called_5mC	frac_5mC
true_5mC	0.5	18010	162	0.009	16724	0.9286
true_5mC	0.6	18010	106	0.00589	16435	0.91255
true_5mC	0.7	18010	66	0.00366	15996	0.88817
true_5mC	0.8	18010	37	0.00205	15455	0.85813
true_5mC	0.9	18010	12	0.00067	14313	0.79473
true_5mC_CCGG_context	0.5	334	0	0.0	328	0.98204
canonical_C	0.5	8925	420	0.04706	38	0.00426
canonical_C	0.6	8925	285	0.03193	29	0.00325
canonical_C	0.7	8925	176	0.01972	21	0.00235
canonical_C	0.8	8925	105	0.01176	17	0.0019
canonical_C	0.9	8925	41	0.00459	12	0.00134
canonical_C_CCGG_context	0.5	51	4	0.07843	1	0.01961
