value	regex	n_EN	n_JP	note
62	(?<![\d,.])62(?![\d,.%])	36	37	
989	(?<![\d,.])989(?![\d.%])	10	10	
1,051	1,051	9	9	
293	(?<![\d,.])293(?![\d.%])	21	21	
-0.09	[−\-–]0\.09\b	9	9	
0.004	\b0\.004\b	3	3	
1,289	1,289	13	13	
2,646	2,646	2	2	
406	(?<![\d,.])406(?![\d.%])	5	5	
27.4%	27\.4	5	5	
14/82	14/82|14 of (?:the )?82|82.{0,8}14	1	1	
28.4%|243/855	28\.4%|243/855|243 of 855|855.{0,12}243	8	8	
0.882	0\.882	1	1	
1,595	1,595	6	6	
1,073	1,073	8	8	
0.700	0\.700	7	7	
1,188	1,188	5	5	
29.0%	29\.0	4	4	
28.1%	28\.1	3	3	
194	(?<![\d,.])194(?![\d.%])	3	3	
191.5	191\.5	1	1	
98.5%	98\.5	6	6	
OR 1.04	OR 1\.04|1\.04	16	16	
56 of 62	56 (?:of|/) (?:the )?62|62.{0,10}56|56/62	6	4	
45	(?<![\d,.])45(?![\d.%])	5	5	
172	(?<![\d,.])172(?![\d.%])	3	3	
2,798	2,798	1	1	
2,677	2,677	1	1	
0.65	\b0\.65\b	5	4	
92.9%	92\.9	1	1	
0.9%	\b0\.9%	1	1	
0.07%	0\.07%	1	1	
0/334	0/334|0 of 334|334.{0,8}0	1	1	JP phrasing 334観測のうち…0
4.7%	\b4\.7%	1	1	regex \b fails after CJK; recount
0.46%	0\.46%	1	1	
18,010	18,010	2	2	
98.2%	98\.2	1	1	
47/147	47/147|47 of 147|147.{0,10}47	5	5	
3,106	3,106	2	2	
438	(?<![\d,.])438\b	2	1	
443	(?<![\d,.])443\b	2	1	
7,374	7,374	2	2	
0.0014%	0\.0014	2	2	
74.8%	74\.8	1	1	
0.15%/0.05%	0\.15%.{0,10}0\.05%	1	1	
12 GCCGGC MTase	\b12\b.{0,40}(?:MTase|entries|エントリ|メチルトランスフェラーゼ)	3	8	recount with JP counters
11 m5C	\b11\b.{0,30}(?:m5C|5mC)	2	1	
1.5–7.17	1\.5[–\-]7\.17	4	4	
4.27	4\.27	1	1	
-0.92	[−\-–]0\.92	6	6	
83/66/69	83.{0,30}66.{0,30}69|83%	6	6	
12,24,50 h	12.{0,4}24.{0,4}50\s*h	1	1	
