sec_idx	en_line	jp_line	heading	en_only_tokens	jp_only_tokens	assessment
0	1	1	DNA methylation is spatially organised around, but does not instruct, the regulatory genome of *Streptomyces coelicolor*: a 4mC/6mA methylome with a same-strand AAGCCCG dual modification	{}	{}	clean
1	7	5	Abstract	{}	"{""3"": 3, ""2"": 6, ""1"": 1}"	counting-word artefacts only
2	12	9	Introduction	{}	"{""2"": 6, ""3"": 2}"	counting-word artefacts only
3	25	21	Results	{}	{}	clean
4	27	23	R0. The three sampled timepoints capture distinct developmental and physiological states	{}	"{""3"": 1, ""2"": 1}"	counting-word artefacts only
5	31	27	R0b. Nanopore base-modification calling identifies a 4mC mark at GCCGGC and a same-strand dual modification of AAGCCCG	"{""2.1"": 1}"	"{""2"": 5, ""3"": 2, ""1"": 1, ""210"": 1}"	see findings
6	42	40	R1. The GCCGGC 4mC methylome is core-concentrated and largely stable across development, with arm-ward expansion at T2	{}	"{""3"": 1, ""2"": 2}"	counting-word artefacts only
7	55	52	R2. Both modification types are depleted from promoter-proximal regions genome-wide, with modestly stronger depletion at regulatory genes	{}	"{""2"": 2}"	counting-word artefacts only
8	68	64	R3. Vegetative GCCGGC methylation defines a core-localised Exposed/Shielded regulatory partition	{}	"{""6"": 1, ""7"": 1, ""2"": 6}"	counting-word artefacts only
9	79	74	R4. Exposed promoters retain their methylation across the developmental switch and show no directional expression response	{}	"{""6"": 1}"	counting-word artefacts only
10	92	89	R5. The three methylation gene sets show distinct pathway enrichment: quorum sensing (GCCGGC-proximal) and siderophore biosynthesis (dual-targeted)	{}	"{""3"": 1, ""2"": 2}"	counting-word artefacts only
11	105	102	R6. Positional stratification reveals CDS-dominant distribution and position-specific functional enrichment	{}	"{""2"": 1, ""8"": 1, ""3"": 1}"	counting-word artefacts only
12	120	115	Methods	{}	{}	clean
13	122	117	Bacterial strains and growth conditions	{}	"{""1"": 1, ""3"": 3, ""4"": 1}"	counting-word artefacts only
14	128	123	Dry cell weight and antibiotic quantification	{}	"{""4"": 1, ""1"": 1}"	counting-word artefacts only
15	132	127	Genomic DNA extraction and Nanopore long-read sequencing	{}	{}	clean
16	136	131	Basecalling and methylation-aware base modification detection	{}	"{""2"": 1}"	counting-word artefacts only
17	140	135	Methylation extraction and high-confidence site calling	"{""50"": 1}"	"{""10"": 2, ""2"": 2, ""0.5"": 1, ""50%"": 1}"	see findings
18	146	145	Motif identification and co-modification analysis	{}	"{""3"": 2, ""2"": 5, ""1"": 2, ""4"": 1, ""0.9"": 1, ""18%"": 1}"	counting-word artefacts only
19	154	155	RNA-seq library preparation and transcriptome analysis	{}	"{""9"": 1, ""1"": 1}"	counting-word artefacts only
20	160	161	Epigenome–transcriptome integration	{}	"{""2"": 3, ""1"": 1}"	counting-word artefacts only
21	170	171	Spatial statistics and independence testing	{}	{}	clean
22	174	175	Reproducibility and replicate analysis	{}	"{""3"": 1}"	counting-word artefacts only
23	178	179	REBASE annotation and comparative genomics	{}	{}	clean
24	182	183	Statistical analyses and data availability	{}	{}	clean
25	186	187	Effect-size estimation and statistical power	{}	"{""2"": 1}"	counting-word artefacts only
26	193	193	Discussion	{}	{}	clean
27	199	199	A largely stable methylome: quantitative modulation with sites held in place across the developmental transition	{}	"{""3"": 1, ""2"": 6}"	counting-word artefacts only
28	217	230	Promoter methylation does not predict the direction of transcriptional change	"{""2"": 1}"	{}	counting-word artefacts only
29	227	244	R-M System Diversity and Implications for Heterologous BGC Expression	"{""73.2%"": 1}"	"{""6"": 1}"	see findings
30	239	256	AAGCCCG Dual Modification: Mechanistic Interpretations	"{""51"": 1, ""2.1"": 1}"	"{""3"": 1, ""210"": 1, ""2"": 2, ""1"": 1}"	see findings
31	245	268	GCCGGC 4mC Exhibits Strand-Specific (Hemi-)Methylation	{}	"{""2"": 2}"	counting-word artefacts only
32	255	278	Limitations	"{""6.1"": 1, ""0.4"": 1}"	"{""2"": 4, ""3"": 4, ""610"": 1, ""0.4%"": 1}"	see findings
33	271	300	Conclusion	{}	"{""3"": 1}"	counting-word artefacts only
34	276	304	Figure Legends	{}	{}	clean
35	278	306	Figure 1 | Methylation landscape of *Streptomyces coelicolor* A3(2) M145 across developmental timepoints.	{}	"{""3"": 1, ""16"": 1}"	counting-word artefacts only
36	282	310	Figure 2 | The GCCGGC 4mC methylome is core-concentrated and largely stable across development.	{}	"{""3"": 1}"	counting-word artefacts only
37	286	314	Figure 3 | A methylation-depleted zone surrounds transcription start sites.	{}	{}	clean
38	290	320	Figure 4 | The Exposed promoters retain their methylation across the switch and bias expression only weakly.	{}	"{""4"": 2, ""7"": 1}"	counting-word artefacts only
39	294	326	Figure 5 | KEGG pathway enrichment of gene sets defined by proximity to modification sites.	{}	"{""3"": 3, ""12"": 1}"	counting-word artefacts only
40	298	330	Figure 6 | Genus-wide selection on the identified methylation motifs across 833 *Streptomyces* genomes.	{}	"{""2"": 1, ""3"": 1}"	counting-word artefacts only
41	301	333	References (NAR numbered, order of appearance)	{}	{}	clean
42	336	368	Supplementary Materials	{}	{}	clean
43	338	370	Supplementary Materials List	{}	{}	clean
44	342	374	Supplementary Figures	"{""6.14"": 1, ""500"": 1, ""44%"": 1}"	"{""3"": 2, ""5"": 1, ""4"": 3, ""10"": 1, ""2"": 8, ""0.05"": 1, ""0.22"": 1}"	see findings
45	439	475	Supplementary Tables	{}	"{""2"": 3, ""1"": 1, ""5"": 1}"	counting-word artefacts only
