BGC,gene_id,old_locus_tag,mod_type,T1_sites,T2_sites,methyl_change,methyl_category,log2FC,padj,expr_category,coordination,is_key_gene,key_gene_function,product
Act,SC_RS27535,SCO5075,4mC,1,1,7.4,Stable,1.05,0.0006437011489382,Up,Stable_Up,False,,NADP-dependent oxidoreductase
Act,SC_RS27555,SCO5079,4mC,1,0,-70.8,Lost,1.44,3.7281607100575967e-06,Up,Lost_Up,False,,NmrA/HSCARG family protein
Red,SC_RS31730,SCO5897,4mC,0,1,71.5,Gained,2.6,3.1333684709340684e-22,Up,Gained_Up,False,,aromatic ring-hydroxylating oxygenase subunit alpha
CDA,SC_RS18170,SCO3211,4mC,1,1,-0.6,Stable,8.09,4.6878447198894226e-49,Up,Stable_Up,False,,indole-3-glycerol phosphate synthase TrpC
CDA,SC_RS18280,SCO3233,4mC,1,1,-13.7,Decreased,6.59,1.5504478801806883e-79,Up,Decreased_Up,False,,alpha/beta fold hydrolase
CDA,SC_RS18320,SCO3241,6mA,1,1,7.6,Stable,8.93,4.968727152308286e-52,Up,Stable_Up,False,,sugar phosphate isomerase/epimerase family protein
CDA,SC_RS18355,SCO3248,4mC,1,1,2.5,Stable,8.79,6.3647519991710755e-155,Up,Stable_Up,False,,beta-ketoacyl-[acyl-carrier-protein] synthase family protein
Cpk,SC_RS33670,SCO6284,6mA,0,1,64.4,Gained,7.36,1.3859434302175416e-132,Up,Gained_Up,False,,acyl-CoA carboxylase subunit beta
Desferrioxamine,SC_RS16000,SCO2783,4mC,1,1,-4.2,Stable,6.41,2.76008138759331e-91,Up,Stable_Up,False,,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
Desferrioxamine,SC_RS16005,SCO2784,6mA,2,2,-4.0,Stable,5.93,1.2838857141670722e-63,Up,Stable_Up,False,,GNAT family N-acetyltransferase
Coelichelin,SC_RS04370,SCO0490,4mC,0,1,81.3,Gained,4.57,4.749468740529724e-87,Up,Gained_Up,False,,alpha/beta fold hydrolase
Coelichelin,SC_RS04395,SCO0495,6mA,2,1,1.6,Stable,2.46,3.64298966909933e-38,Up,Stable_Up,False,,ABC transporter ATP-binding protein
SapB,SC_RS35605,SCO6684,6mA,0,1,58.2,Gained,5.65,4.5553754994504015e-11,Up,Gained_Up,False,,ATP-binding cassette domain-containing protein
SapB,SC_RS35610,SCO6685,6mA,1,0,-64.4,Lost,6.6,1.6843067948138286e-08,Up,Lost_Up,True,ramR (response regulator),two-component system response regulator RamR
