BGC,Description,Total_genes_in_cluster,Coordinated_genes,Positive_correlation,Negative_correlation
Act,"Actinorhodin (type II PKS, blue pigment)",22,2,0,1
Red,"Undecylprodigiosin (prodiginine, red pigment)",22,1,1,0
CDA,Calcium-Dependent Antibiotic (lipopeptide),40,4,0,1
Cpk,Cryptic Type I PKS (coelimycin P1),20,1,1,0
Germicidin,Germicidin (type III PKS),2,0,0,0
Hopanoid,Hopanoid biosynthesis,13,0,0,0
Desferrioxamine,Desferrioxamine (siderophore),4,2,0,0
Coelichelin,"Coelichelin (siderophore, NRPS)",11,2,1,0
Geosmin,"Geosmin (terpene, earthy smell)",1,0,0,0
Albaflavenone,Albaflavenone (sesquiterpene),2,0,0,0
SapB,"SapB (lanthipeptide, morphogenetic)",5,2,1,1
Melanin,Melanin pigment,2,0,0,0
Eicosapentaenoic_acid,PUFA synthase cluster,6,0,0,0
