gene_id,old_locus_tag,log2FC_T2_vs_T1,padj_T2_vs_T1,6mA_change_T2_vs_T1,comparison,mod_type,4mC_change_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,6mA_change_T3_vs_T1,4mC_change_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,6mA_change_T3_vs_T2,4mC_change_T3_vs_T2
SC_RS02290,SCO0055,1.1798989915441698,1.8913036207927137e-11,54.97,T2_vs_T1,6mA,,,,,,,,,
SC_RS02295,SCO0057,2.434361677092434,0.0006062496291587187,54.97,T2_vs_T1,6mA,,,,,,,,,
SC_RS04040,SCO0426,3.2734463488309715,1.3082118576144657e-12,57.93666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS04125,SCO0443,-4.4942291481976095,1.3171677023517122e-23,11.46,T2_vs_T1,6mA,,,,,,,,,
SC_RS04425,SCO0501,4.558157415286787,3.69470213865431e-50,54.60333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS04645,SCO0546,4.36023522564278,1.0343198929431425e-131,54.38666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS04710,SCO0558,-2.2020906193951055,2.339821344534882e-12,-55.56,T2_vs_T1,6mA,,,,,,,,,
SC_RS04780,SCO0571,1.8575176388178647,3.5965879423487526e-08,-53.57,T2_vs_T1,6mA,,,,,,,,,
SC_RS05300,SCO0676,1.6217039812787286,5.338315364504786e-20,58.29666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS05825,SCO0779,1.2529478726069598,3.821529206333973e-06,-10.406666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS05830,SCO0780,2.005722531969376,2.4744149038777826e-18,-10.406666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS06245,SCO0863,3.990549747083726,3.6567861703059943e-47,59.06999999999999,T2_vs_T1,6mA,,,,,,,,,
SC_RS06595,SCO0929,2.658060779776505,1.812753700778313e-41,-59.48666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS07390,SCO1087,-2.8179294621078883,4.3669824756844564e-44,52.663333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS07450,SCO1100,5.507546256911673,1.3766847995730763e-10,52.42666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS07820,SCO1174,5.281558710704474,9.024531985256285e-72,64.88666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS07835,SCO1176,1.797830789184052,7.396646545421133e-13,-61.06,T2_vs_T1,6mA,,,,,,,,,
SC_RS07905,SCO1190,-3.4408189974004837,8.995727988818328e-30,53.04333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS08225,SCO1253,-1.8477936049347723,2.576623079206146e-12,-58.45,T2_vs_T1,6mA,,,,,,,,,
SC_RS08425,SCO1293,6.786877992184979,8.869809665435927e-181,66.17333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS09345,SCO1474,2.530614848925635,8.007206238291413e-21,-52.81333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS09350,SCO1475,-1.6309513071678965,3.4880846042379973e-25,57.94,T2_vs_T1,6mA,,,,,,,,,
SC_RS09400,SCO1485,-2.15683934874515,9.636068971738443e-34,56.42666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS09435,SCO1492,-1.2669859518046276,2.0842517821969842e-13,-53.44,T2_vs_T1,6mA,,,,,,,,,
SC_RS09565,SCO1519,-1.6415589388361396,7.914492555777168e-16,-62.85666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS10015,SCO1600,-2.0297837659176308,9.053943622629561e-17,-61.79999999999999,T2_vs_T1,6mA,,,,,,,,,
SC_RS10245,SCO1647,3.5114894036081448,1.4169318777043546e-63,-58.84,T2_vs_T1,6mA,,,,,,,,,
SC_RS10550,SCO1707,1.0641336399859147,0.0191880854010143,54.76333333333333,T2_vs_T1,6mA,,,,,,,,,
SC_RS11000,SCO1795,3.189053589265202,4.1297781861190093e-53,-53.77,T2_vs_T1,6mA,,,,,,,,,
SC_RS11615,SCO1916,1.1983431369128177,4.602194550625006e-10,-55.95333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS12195,SCO2032,-1.812820354793242,0.0057337052942918,-58.55333333333334,T2_vs_T1,6mA,,,,,,,,,
SC_RS12685,SCO2128,-1.1059370759219616,0.002964878201015,-52.56,T2_vs_T1,6mA,,,,,,,,,
SC_RS13395,SCO2274,4.416184771275945,1.1614449302430442e-67,58.373333333333335,T2_vs_T1,6mA,,,,,,,,,
SC_RS13610,SCO2316,-1.2282818129422268,2.749268607179198e-09,51.43,T2_vs_T1,6mA,,,,,,,,,
SC_RS13645,SCO2323,-1.0617097988551951,2.8872982480461265e-08,56.26666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS14265,SCO2446,4.2376514175369495,1.1375724564897578e-86,-53.78666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS14270,SCO2447,1.4056250339389436,1.5508333343931677e-13,-53.78666666666666,T2_vs_T1,6mA,,,,,,,,,
SC_RS14400,SCO2470,-2.3142116586865593,7.392284709267186e-17,-62.03666666666667,T2_vs_T1,6mA,,,,,,,,,
SC_RS14730,SCO2536,-1.920113530933081,2.5046795855280683e-11,53.27333333333333,T2_vs_T1,6mA,,,,,,,,,
