COG_category,Description,Group_count,Group_total,Group_pct,Background_count,Background_total,Background_pct,Fold_enrichment,Odds_ratio,P_value,P_adjusted
J,"Translation, ribosomal structure",19,558,3.405017921146954,19,558,3.405017921146954,1.0,,1.0,1.0
R,General function prediction only,206,558,36.91756272401434,206,558,36.91756272401434,1.0,,1.0,1.0
Q,Secondary metabolites biosynthesis,0,558,0.0,0,558,0.0,0.0,,1.0,1.0
P,Inorganic ion transport and metabolism,41,558,7.347670250896058,41,558,7.347670250896058,1.0,,1.0,1.0
I,Lipid transport and metabolism,27,558,4.838709677419355,27,558,4.838709677419355,1.0,,1.0,1.0
H,Coenzyme transport and metabolism,9,558,1.6129032258064515,9,558,1.6129032258064515,1.0,,1.0,1.0
F,Nucleotide transport and metabolism,2,558,0.35842293906810035,2,558,0.35842293906810035,1.0,,1.0,1.0
E,Amino acid transport and metabolism,69,558,12.365591397849462,69,558,12.365591397849462,1.0,,1.0,1.0
G,Carbohydrate transport and metabolism,215,558,38.53046594982079,215,558,38.53046594982079,1.0,,1.0,1.0
C,Energy production and conversion,77,558,13.799283154121863,77,558,13.799283154121863,1.0,,1.0,1.0
O,"PTM, protein turnover, chaperones",15,558,2.6881720430107525,15,558,2.6881720430107525,1.0,,1.0,1.0
U,Intracellular trafficking and secretion,103,558,18.45878136200717,103,558,18.45878136200717,1.0,,1.0,1.0
W,Extracellular structures,0,558,0.0,0,558,0.0,0.0,,1.0,1.0
Z,Cytoskeleton,0,558,0.0,0,558,0.0,0.0,,1.0,1.0
N,Cell motility,2,558,0.35842293906810035,2,558,0.35842293906810035,1.0,,1.0,1.0
M,Cell wall/membrane/envelope biogenesis,6,558,1.0752688172043012,6,558,1.0752688172043012,1.0,,1.0,1.0
T,Signal transduction mechanisms,88,558,15.770609318996415,88,558,15.770609318996415,1.0,,1.0,1.0
V,Defense mechanisms,17,558,3.046594982078853,17,558,3.046594982078853,1.0,,1.0,1.0
Y,Nuclear structure,0,558,0.0,0,558,0.0,0.0,,1.0,1.0
D,"Cell cycle control, cell division",19,558,3.405017921146954,19,558,3.405017921146954,1.0,,1.0,1.0
B,Chromatin structure and dynamics,0,558,0.0,0,558,0.0,0.0,,1.0,1.0
L,"Replication, recombination and repair",6,558,1.0752688172043012,6,558,1.0752688172043012,1.0,,1.0,1.0
K,Transcription,45,558,8.064516129032258,45,558,8.064516129032258,1.0,,1.0,1.0
A,RNA processing and modification,23,558,4.121863799283155,23,558,4.121863799283155,1.0,,1.0,1.0
S,Function unknown,127,558,22.759856630824373,127,558,22.759856630824373,1.0,,1.0,1.0
-,Not assigned,558,558,100.0,558,558,100.0,1.0,,1.0,1.0
