COG_category,Description,Group_count,Group_total,Group_pct,Background_count,Background_total,Background_pct,Fold_enrichment,Odds_ratio,P_value,P_adjusted
P,Inorganic ion transport and metabolism,5,153,3.2679738562091507,41,558,7.347670250896058,0.44476327116212344,0.34628378378378377,0.027622728966258663,0.7181909531227252
J,"Translation, ribosomal structure",1,153,0.6535947712418301,19,558,3.405017921146954,0.1919504643962848,0.14144736842105263,0.03294278033609538,0.8565122887384798
I,Lipid transport and metabolism,3,153,1.9607843137254901,27,558,4.838709677419355,0.4052287581699346,0.3175,0.07393920913099875,1.0
M,Cell wall/membrane/envelope biogenesis,0,153,0.0,6,558,1.0752688172043012,0.0,0.0,0.19558855638261674,1.0
K,Transcription,16,153,10.457516339869281,45,558,8.064516129032258,1.296732026143791,1.514220991693934,0.2229605708687301,1.0
G,Carbohydrate transport and metabolism,65,153,42.48366013071895,215,558,38.53046594982079,1.1025991792065664,1.2556818181818181,0.24355201309893598,1.0
H,Coenzyme transport and metabolism,4,153,2.6143790849673203,9,558,1.6129032258064515,1.6209150326797386,2.1476510067114094,0.26672326189127804,1.0
R,General function prediction only,62,153,40.52287581699346,206,558,36.91756272401434,1.0976584808680754,1.23489010989011,0.28127258033782304,1.0
O,"PTM, protein turnover, chaperones",2,153,1.3071895424836601,15,558,2.6881720430107525,0.4862745098039216,0.39938869077941924,0.37711350356520856,1.0
N,Cell motility,1,153,0.6535947712418301,2,558,0.35842293906810035,1.8235294117647058,2.6578947368421053,0.47356228644234666,1.0
F,Nucleotide transport and metabolism,1,153,0.6535947712418301,2,558,0.35842293906810035,1.8235294117647058,2.6578947368421053,0.47356228644234666,1.0
A,RNA processing and modification,5,153,3.2679738562091507,23,558,4.121863799283155,0.7928388746803069,0.7263513513513513,0.638726337146424,1.0
C,Energy production and conversion,22,153,14.37908496732026,77,558,13.799283154121863,1.0420168067226891,1.0687022900763359,0.7848798682020439,1.0
V,Defense mechanisms,5,153,3.2679738562091507,17,558,3.046594982078853,1.0726643598615917,1.1064189189189189,0.7887937620211103,1.0
D,"Cell cycle control, cell division",6,153,3.9215686274509802,19,558,3.405017921146954,1.1517027863777087,1.2307692307692308,0.7936919769302448,1.0
S,Function unknown,36,153,23.52941176470588,127,558,22.759856630824373,1.033811949976841,1.0617075232459847,0.8211772274180298,1.0
E,Amino acid transport and metabolism,18,153,11.76470588235294,69,558,12.365591397849462,0.9514066496163682,0.9254901960784314,0.8857230566629011,1.0
U,Intracellular trafficking and secretion,29,153,18.954248366013072,103,558,18.45878136200717,1.0268418046830383,1.0460985178727114,0.9027196513051147,1.0
Q,Secondary metabolites biosynthesis,0,153,0.0,0,558,0.0,0.0,,1.0,1.0
W,Extracellular structures,0,153,0.0,0,558,0.0,0.0,,1.0,1.0
T,Signal transduction mechanisms,24,153,15.686274509803921,88,558,15.770609318996415,0.9946524064171123,0.9912790697674418,1.0,1.0
Y,Nuclear structure,0,153,0.0,0,558,0.0,0.0,,1.0,1.0
B,Chromatin structure and dynamics,0,153,0.0,0,558,0.0,0.0,,1.0,1.0
L,"Replication, recombination and repair",1,153,0.6535947712418301,6,558,1.0752688172043012,0.6078431372549019,0.5263157894736842,1.0,1.0
Z,Cytoskeleton,0,153,0.0,0,558,0.0,0.0,,1.0,1.0
-,Not assigned,153,153,100.0,558,558,100.0,1.0,,1.0,1.0
