COG_category,Description,Group_count,Group_total,Group_pct,Background_count,Background_total,Background_pct,Fold_enrichment,Odds_ratio,P_value,P_adjusted
E,Amino acid transport and metabolism,9,127,7.086614173228346,69,558,12.365591397849462,0.5730914070523794,0.4716101694915254,0.0454587411341396,1.0
O,"PTM, protein turnover, chaperones",6,127,4.724409448818897,15,558,2.6881720430107525,1.75748031496063,2.325068870523416,0.12024450465759953,1.0
C,Energy production and conversion,12,127,9.448818897637794,77,558,13.799283154121863,0.6847325902444013,0.5875585284280936,0.1421889061948755,1.0
R,General function prediction only,52,127,40.94488188976378,206,558,36.91756272401434,1.109089519149912,1.247099567099567,0.29667089148338877,1.0
G,Carbohydrate transport and metabolism,54,127,42.51968503937008,215,558,38.53046594982079,1.103534151254349,1.2405343316600017,0.3011468172677192,1.0
A,RNA processing and modification,3,127,2.3622047244094486,23,558,4.121863799283155,0.5730914070523792,0.4971774193548387,0.3186516771624432,1.0
P,Inorganic ion transport and metabolism,12,127,9.448818897637794,41,558,7.347670250896058,1.2859612060687535,1.4464767616191905,0.3329312958186484,1.0
L,"Replication, recombination and repair",0,127,0.0,6,558,1.0752688172043012,0.0,0.0,0.34519256989960256,1.0
J,"Translation, ribosomal structure",6,127,4.724409448818897,19,558,3.405017921146954,1.3874844591794444,1.5944055944055944,0.4019753226284858,1.0
D,"Cell cycle control, cell division",6,127,4.724409448818897,19,558,3.405017921146954,1.3874844591794444,1.5944055944055944,0.4019753226284858,1.0
V,Defense mechanisms,5,127,3.937007874015748,17,558,3.046594982078853,1.2922649374710513,1.4310109289617485,0.5563941744341795,1.0
M,Cell wall/membrane/envelope biogenesis,2,127,1.574803149606299,6,558,1.0752688172043012,1.4645669291338579,1.708,0.6231768562629789,1.0
H,Coenzyme transport and metabolism,1,127,0.7874015748031495,9,558,1.6129032258064515,0.4881889763779527,0.41964285714285715,0.6916779910808217,1.0
K,Transcription,9,127,7.086614173228346,45,558,8.064516129032258,0.878740157480315,0.836864406779661,0.7148434706001208,1.0
T,Signal transduction mechanisms,19,127,14.960629921259844,88,558,15.770609318996415,0.9486399427344311,0.9229736983360172,0.889945413233057,1.0
U,Intracellular trafficking and secretion,24,127,18.89763779527559,103,558,18.45878136200717,1.0237749407537649,1.0382204743763057,0.8967369451992259,1.0
S,Function unknown,28,127,22.04724409448819,127,558,22.759856630824373,0.9686899373798747,0.9484746454443425,0.9043486619218242,1.0
Q,Secondary metabolites biosynthesis,0,127,0.0,0,558,0.0,0.0,,1.0,1.0
I,Lipid transport and metabolism,6,127,4.724409448818897,27,558,4.838709677419355,0.9763779527559054,0.9681227863046045,1.0,1.0
W,Extracellular structures,0,127,0.0,0,558,0.0,0.0,,1.0,1.0
Z,Cytoskeleton,0,127,0.0,0,558,0.0,0.0,,1.0,1.0
N,Cell motility,0,127,0.0,2,558,0.35842293906810035,0.0,0.0,1.0,1.0
Y,Nuclear structure,0,127,0.0,0,558,0.0,0.0,,1.0,1.0
B,Chromatin structure and dynamics,0,127,0.0,0,558,0.0,0.0,,1.0,1.0
F,Nucleotide transport and metabolism,0,127,0.0,2,558,0.35842293906810035,0.0,0.0,1.0,1.0
-,Not assigned,127,127,100.0,558,558,100.0,1.0,,1.0,1.0
