COG_category,Description,Group_count,Group_total,Group_pct,Background_count,Background_total,Background_pct,Fold_enrichment,Odds_ratio,P_value,P_adjusted
G,Carbohydrate transport and metabolism,47,89,52.80898876404494,215,558,38.53046594982079,1.3705774758296316,2.0049603174603177,0.0029752487484722323,0.07735646746027804
R,General function prediction only,43,89,48.31460674157304,206,558,36.91756272401434,1.3087160466892114,1.754867964790611,0.016781367464896998,0.4363155540873219
D,"Cell cycle control, cell division",5,89,5.617977528089887,19,558,3.405017921146954,1.6499112950916615,1.9345238095238095,0.20579095242040066,1.0
I,Lipid transport and metabolism,2,89,2.247191011235955,27,558,4.838709677419355,0.46441947565543074,0.40827586206896554,0.2866208164371211,1.0
V,Defense mechanisms,4,89,4.49438202247191,17,558,3.046594982078853,1.4752148050231328,1.6506787330316741,0.33009651576872096,1.0
J,"Translation, ribosomal structure",1,89,1.1235955056179776,19,558,3.405017921146954,0.32998225901833234,0.2847222222222222,0.335902848100779,1.0
H,Coenzyme transport and metabolism,0,89,0.0,9,558,1.6129032258064515,0.0,0.0,0.36702740467624323,1.0
U,Intracellular trafficking and secretion,13,89,14.606741573033707,103,558,18.45878136200717,0.7913166793934765,0.7203216374269006,0.37180474646288453,1.0
E,Amino acid transport and metabolism,8,89,8.98876404494382,69,558,12.365591397849462,0.7269174401563264,0.660595021250759,0.3796856339285651,1.0
T,Signal transduction mechanisms,11,89,12.359550561797752,88,558,15.770609318996415,0.7837078651685393,0.717948717948718,0.42755530042441237,1.0
C,Energy production and conversion,10,89,11.235955056179774,77,558,13.799283154121863,0.8142419378374435,0.759493670886076,0.5062766567197,1.0
K,Transcription,5,89,5.617977528089887,45,558,8.064516129032258,0.696629213483146,0.6383928571428571,0.5227901297722972,1.0
S,Function unknown,18,89,20.224719101123593,127,558,22.759856630824373,0.888613642395824,0.8373174828789249,0.583603525237701,1.0
M,Cell wall/membrane/envelope biogenesis,0,89,0.0,6,558,1.0752688172043012,0.0,0.0,0.5963326365120518,1.0
L,"Replication, recombination and repair",0,89,0.0,6,558,1.0752688172043012,0.0,0.0,0.5963326365120518,1.0
P,Inorganic ion transport and metabolism,5,89,5.617977528089887,41,558,7.347670250896058,0.7645930391888187,0.7159391534391535,0.658283475093304,1.0
O,"PTM, protein turnover, chaperones",3,89,3.3707865168539324,15,558,2.6881720430107525,1.253932584269663,1.3284883720930232,0.7179300726109714,1.0
Q,Secondary metabolites biosynthesis,0,89,0.0,0,558,0.0,0.0,,1.0,1.0
W,Extracellular structures,0,89,0.0,0,558,0.0,0.0,,1.0,1.0
Z,Cytoskeleton,0,89,0.0,0,558,0.0,0.0,,1.0,1.0
N,Cell motility,0,89,0.0,2,558,0.35842293906810035,0.0,0.0,1.0,1.0
Y,Nuclear structure,0,89,0.0,0,558,0.0,0.0,,1.0,1.0
B,Chromatin structure and dynamics,0,89,0.0,0,558,0.0,0.0,,1.0,1.0
A,RNA processing and modification,3,89,3.3707865168539324,23,558,4.121863799283155,0.8177821201758669,0.7831395348837209,1.0,1.0
F,Nucleotide transport and metabolism,0,89,0.0,2,558,0.35842293906810035,0.0,0.0,1.0,1.0
-,Not assigned,89,89,100.0,558,558,100.0,1.0,,1.0,1.0
