gene_id,old_locus_tag,product,mod_type,T1_sites,T2_sites,T1_mean_freq,T2_mean_freq,methyl_change,methyl_category,log2FC,padj,baseMean,expr_category,coordination,correlation_type,methyl_direction
SC_RS02090,SCO0005,Mu transposase C-terminal domain-containing protein,4mC,0,1,0.0,90.8,90.8,Gained,9.68,6.467811215071488e-13,37.6,Up,Gained_Up,Positive,Gained
SC_RS02290,SCO0055,oxidoreductase,6mA,0,1,0.0,55.0,55.0,Gained,1.18,1.8913036207927137e-11,208.1,Up,Gained_Up,Positive,Gained
SC_RS02295,SCO0057,hypothetical protein,6mA,0,1,0.0,55.0,55.0,Gained,2.43,0.0006062496291587,10.1,Up,Gained_Up,Positive,Gained
SC_RS02455,SCO0089,LysR family transcriptional regulator,4mC,0,1,0.0,78.6,78.6,Gained,1.96,2.5249380577013426e-17,102.0,Up,Gained_Up,Positive,Gained
SC_RS02875,SCO0185,polyprenyl synthetase family protein,4mC,0,1,0.0,83.7,83.7,Gained,-1.12,1.06510786581979e-05,227.0,Down,Gained_Down,Negative,Gained
SC_RS03150,SCO0244,serine hydrolase,4mC,0,1,0.0,62.8,62.8,Gained,-0.78,0.0005578750504042,133.2,Mild,Gained_Mild,Other,Gained
SC_RS03540,SCO0324,esterase-like activity of phytase family protein,6mA,1,1,65.5,57.4,-8.0,Stable,10.95,1.5156487716504137e-208,7437.3,Up,Stable_Up,Other,Stable
SC_RS03545,SCO0325,hypothetical protein,6mA,1,1,65.5,57.4,-8.0,Stable,4.32,0.000171618803783,13.3,Up,Stable_Up,Other,Stable
SC_RS03785,SCO0375,MFS transporter,4mC,0,1,0.0,67.1,67.1,Gained,1.97,4.6966459956759076e-12,109.2,Up,Gained_Up,Positive,Gained
SC_RS04040,SCO0426,hypothetical protein,6mA,0,1,0.0,57.9,57.9,Gained,3.27,1.3082118576144657e-12,33.0,Up,Gained_Up,Positive,Gained
SC_RS04100,SCO0438,pyroglutamyl-peptidase I,4mC,1,0,93.3,0.0,-93.3,Lost,-1.17,0.0010063165715781,35.3,Down,Lost_Down,Positive,Lost
SC_RS04125,SCO0443,5-oxoprolinase subunit C family protein,6mA,1,1,63.3,74.8,11.5,Increased,-4.49,1.3171677023517122e-23,73.8,Down,Increased_Down,Negative,Increased
SC_RS04250,SCO0467,HD domain-containing protein,4mC,0,1,0.0,61.7,61.7,Gained,1.47,3.501340586809286e-05,38.1,Up,Gained_Up,Positive,Gained
SC_RS04370,SCO0490,alpha/beta fold hydrolase,4mC,0,1,0.0,81.3,81.3,Gained,4.57,4.749468740529724e-87,1888.8,Up,Gained_Up,Positive,Gained
SC_RS04395,SCO0495,ABC transporter ATP-binding protein,6mA,2,1,59.8,61.4,1.6,Stable,2.46,3.64298966909933e-38,834.9,Up,Stable_Up,Other,Stable
SC_RS04425,SCO0501,CocE/NonD family hydrolase,6mA,0,1,0.0,54.6,54.6,Gained,4.56,3.69470213865431e-50,179.8,Up,Gained_Up,Positive,Gained
SC_RS04460,SCO0508,acyl-CoA-like ligand-binding transcription factor,6mA,1,1,66.4,56.6,-9.9,Stable,-2.46,3.689412892496083e-10,42.0,Down,Stable_Down,Other,Stable
SC_RS04645,SCO0546,pyruvate carboxylase,6mA,0,1,0.0,54.4,54.4,Gained,4.36,1.0343198929431425e-131,1152.1,Up,Gained_Up,Positive,Gained
SC_RS04710,SCO0558,hypothetical protein,6mA,1,0,55.6,0.0,-55.6,Lost,-2.2,2.339821344534882e-12,67.2,Down,Lost_Down,Positive,Lost
SC_RS04780,SCO0571,M20/M25/M40 family metallo-hydrolase,6mA,1,0,53.6,0.0,-53.6,Lost,1.86,3.5965879423487526e-08,56.3,Up,Lost_Up,Negative,Lost
SC_RS04840,SCO0583,cytochrome P450,4mC,0,1,0.0,80.1,80.1,Gained,2.86,6.73010202104824e-42,195.5,Up,Gained_Up,Positive,Gained
SC_RS04900,SCO0595,flavodoxin family protein,4mC,0,1,0.0,95.2,95.2,Gained,1.44,0.0103375678422322,17.2,Up,Gained_Up,Positive,Gained
SC_RS04960,SCO0607,SCO0607 family lipoprotein,6mA,1,1,76.2,74.5,-1.7,Stable,2.63,8.528425998360441e-20,1046.0,Up,Stable_Up,Other,Stable
SC_RS04960,SCO0607,SCO0607 family lipoprotein,4mC,1,1,88.4,100.0,11.6,Increased,2.63,8.528425998360441e-20,1046.0,Up,Increased_Up,Positive,Increased
SC_RS04975,SCO0610,GntR family transcriptional regulator,6mA,1,1,65.5,60.9,-4.6,Stable,-1.8,1.88335959238973e-09,77.9,Down,Stable_Down,Other,Stable
SC_RS05295,SCO0675,SpoIIE family protein phosphatase,6mA,1,1,67.0,59.4,-7.7,Stable,0.95,0.0300956883305645,57.3,Mild,Stable_Mild,Other,Stable
SC_RS05300,SCO0676,SpoIIE family protein phosphatase/ATP-binding protein,6mA,0,1,0.0,58.3,58.3,Gained,1.62,5.338315364504786e-20,671.1,Up,Gained_Up,Positive,Gained
SC_RS05310,SCO0678,CsbD family protein,4mC,1,1,83.8,93.7,10.0,Stable,1.68,0.0038905522649724,17.9,Up,Stable_Up,Other,Stable
SC_RS05315,SCO0679,hypothetical protein,4mC,1,1,83.8,93.7,10.0,Stable,1.15,0.0047924473016676,38.4,Up,Stable_Up,Other,Stable
SC_RS05430,SCO0701,hypothetical protein,4mC,0,1,0.0,97.9,97.9,Gained,2.06,7.358220758126989e-19,801.8,Up,Gained_Up,Positive,Gained
SC_RS05450,SCO0705,SAM-dependent methyltransferase,4mC,1,1,85.5,79.4,-6.1,Stable,2.73,7.290030420962506e-33,3778.4,Up,Stable_Up,Other,Stable
SC_RS05515,SCO0718,hypothetical protein,4mC,0,1,0.0,71.6,71.6,Gained,1.79,0.0089805103244591,9.0,Up,Gained_Up,Positive,Gained
SC_RS05530,SCO0721,glycoside hydrolase family 65 protein,6mA,1,1,63.3,59.8,-3.4,Stable,1.86,4.136629975236012e-08,87.9,Up,Stable_Up,Other,Stable
SC_RS05555,SCO0725,hypothetical protein,6mA,1,1,76.3,71.0,-5.3,Stable,1.16,0.0002964907747386,49.1,Up,Stable_Up,Other,Stable
SC_RS05610,SCO0736,L%2CD-transpeptidase family protein,6mA,1,1,72.0,62.4,-9.6,Stable,0.86,0.0006853820705895,5281.0,Mild,Stable_Mild,Other,Stable
SC_RS05825,SCO0779,VOC family protein,6mA,1,1,63.9,53.5,-10.4,Decreased,1.25,3.821529206333973e-06,63.5,Up,Decreased_Up,Negative,Decreased
SC_RS05830,SCO0780,NADP-dependent oxidoreductase,6mA,1,1,63.9,53.5,-10.4,Decreased,2.01,2.4744149038777826e-18,116.7,Up,Decreased_Up,Negative,Decreased
SC_RS05945,SCO0803,RNA polymerase sigma factor SigJ,6mA,1,1,57.6,55.1,-2.5,Stable,0.86,5.183747671411858e-06,302.0,Mild,Stable_Mild,Other,Stable
SC_RS06230,SCO0860,heavy metal translocating P-type ATPase,4mC,0,1,0.0,63.8,63.8,Gained,3.17,1.45020125237929e-38,1330.6,Up,Gained_Up,Positive,Gained
SC_RS06245,SCO0863,PepSY-associated TM helix domain-containing protein,6mA,0,1,0.0,59.1,59.1,Gained,3.99,3.6567861703059943e-47,2825.5,Up,Gained_Up,Positive,Gained
SC_RS06245,SCO0863,PepSY-associated TM helix domain-containing protein,4mC,0,1,0.0,94.1,94.1,Gained,3.99,3.6567861703059943e-47,2825.5,Up,Gained_Up,Positive,Gained
SC_RS06510,SCO0912,ergothioneine biosynthesis protein EgtC,4mC,1,1,96.2,96.5,0.3,Stable,4.96,1.5492100661302076e-102,546.0,Up,Stable_Up,Other,Stable
SC_RS06530,SCO0916,phosphatase domain-containing protein,4mC,1,1,89.2,89.1,-0.0,Stable,1.93,5.2348487996514775e-14,73.4,Up,Stable_Up,Other,Stable
SC_RS06535,SCO0917,LLM class flavin-dependent oxidoreductase,4mC,1,1,89.2,89.1,-0.0,Stable,2.9,2.8551528532779728e-28,233.8,Up,Stable_Up,Other,Stable
SC_RS06595,SCO0929,SAM-dependent methyltransferase,6mA,1,0,59.5,0.0,-59.5,Lost,2.66,1.812753700778313e-41,259.7,Up,Lost_Up,Negative,Lost
SC_RS06675,SCO0945,Fpg/Nei family DNA glycosylase,6mA,1,1,57.3,64.0,6.6,Stable,1.85,1.1649916813416757e-12,91.3,Up,Stable_Up,Other,Stable
SC_RS06690,SCO0948,alpha-mannosidase,4mC,0,1,0.0,90.5,90.5,Gained,1.62,1.971098882147859e-09,128.4,Up,Gained_Up,Positive,Gained
SC_RS06890,SCO0986,hypothetical protein,6mA,1,0,53.9,0.0,-53.9,Lost,-0.67,0.0060879855158416,347.1,Mild,Lost_Mild,Other,Lost
SC_RS07105,SCO1030,ATP-binding protein,4mC,1,0,85.8,0.0,-85.8,Lost,4.06,5.205386359220276e-26,209.0,Up,Lost_Up,Negative,Lost
SC_RS07295,SCO1068,maleylpyruvate isomerase family mycothiol-dependent enzyme,6mA,1,1,59.1,52.0,-7.1,Stable,0.96,1.2198463469200917e-05,125.6,Mild,Stable_Mild,Other,Stable
SC_RS07390,SCO1087,threonine aldolase family protein,6mA,0,1,0.0,52.7,52.7,Gained,-2.82,4.3669824756844564e-44,971.3,Down,Gained_Down,Negative,Gained
SC_RS07390,SCO1087,threonine aldolase family protein,4mC,1,2,80.6,74.1,-6.5,Stable,-2.82,4.3669824756844564e-44,971.3,Down,Stable_Down,Other,Stable
SC_RS07450,SCO1100,DUF5134 domain-containing protein,6mA,0,1,0.0,52.4,52.4,Gained,5.51,1.3766847995730763e-10,250.6,Up,Gained_Up,Positive,Gained
SC_RS07565,SCO1123,DUF5997 family protein,4mC,0,1,0.0,76.8,76.8,Gained,-1.13,8.216284811568125e-09,472.3,Down,Gained_Down,Negative,Gained
SC_RS07820,SCO1174,acetaldehyde dehydrogenase ExaC,6mA,0,1,0.0,64.9,64.9,Gained,5.28,9.024531985256285e-72,556.5,Up,Gained_Up,Positive,Gained
