mod_type,comparison,distance_bin,bin_range,n_genes,spearman_r,p_value,p_adj,significant_fdr
6mA,T2_vs_T1,distal_upstream,-300 to -200,106,-0.0965261858578734,0.3249605092403457,0.8550533825037584,False
6mA,T2_vs_T1,mid_upstream,-200 to -100,116,0.1309852630548613,0.1610578379082633,0.6300660326148045,False
6mA,T2_vs_T1,proximal_upstream,-100 to -50,57,-0.0884754990925589,0.5128142323206767,0.8550533825037584,False
6mA,T2_vs_T1,core_promoter,-50 to 0,53,0.1290140504626436,0.3572092566092731,0.8550533825037584,False
6mA,T2_vs_T1,TSS_proximal,0 to 50,36,0.2918918918918919,0.0840983164951339,0.5045898989708034,False
6mA,T2_vs_T1,early_gene_body,50 to 200,161,-0.11181274442144,0.1579140021544814,0.6300660326148045,False
6mA,T2_vs_T1,mid_gene_body,200 to 500,306,-0.0373128264922126,0.5155223156651232,0.8550533825037584,False
6mA,T2_vs_T1,distal_gene_body,500 to 1000,515,-0.0290798993852008,0.5102402527736606,0.8550533825037584,False
6mA,T3_vs_T1,distal_upstream,-300 to -200,112,-0.1830478504972451,0.0533817964234033,0.36604660404619405,False
6mA,T3_vs_T1,mid_upstream,-200 to -100,105,-0.0388193002782256,0.6941968032753068,0.8649258946933719,False
6mA,T3_vs_T1,proximal_upstream,-100 to -50,61,-0.1627710206240084,0.2100745801152417,0.6302237403457251,False
6mA,T3_vs_T1,core_promoter,-50 to 0,54,-0.0668953687821612,0.6307900428241832,0.8649258946933719,False
6mA,T3_vs_T1,TSS_proximal,0 to 50,36,-0.1871299871299871,0.2744622182984801,0.7749521457839438,False
6mA,T3_vs_T1,early_gene_body,50 to 200,171,-0.1032135742914056,0.179147728485553,0.6300660326148045,False
6mA,T3_vs_T1,mid_gene_body,200 to 500,306,-0.1159471518773786,0.0426842484981337,0.3414739879850696,False
6mA,T3_vs_T1,distal_gene_body,500 to 1000,518,-0.0917574816064511,0.0368225916936954,0.3414739879850696,False
6mA,T3_vs_T2,distal_upstream,-300 to -200,113,-0.0495042917027081,0.6025714414542415,0.8550533825037584,False
6mA,T3_vs_T2,mid_upstream,-200 to -100,109,-0.0437587891734775,0.6514097001029938,0.8649258946933719,False
6mA,T3_vs_T2,proximal_upstream,-100 to -50,58,-0.1719216217047587,0.1968956351921264,0.6300660326148045,False
6mA,T3_vs_T2,core_promoter,-50 to 0,50,-0.0916686674669867,0.5266449117358686,0.8550533825037584,False
6mA,T3_vs_T2,TSS_proximal,0 to 50,41,-0.2099303135888502,0.1877127792849585,0.6300660326148045,False
6mA,T3_vs_T2,early_gene_body,50 to 200,175,-0.0551343484102104,0.4686462656956591,0.8550533825037584,False
6mA,T3_vs_T2,mid_gene_body,200 to 500,316,0.0332156468092284,0.5563465922107167,0.8550533825037584,False
6mA,T3_vs_T2,distal_gene_body,500 to 1000,548,-0.0235786917984027,0.5817850194381463,0.8550533825037584,False
4mC,T2_vs_T1,distal_upstream,-300 to -200,152,-0.0310640297296596,0.7040097888241388,0.8649258946933719,False
4mC,T2_vs_T1,mid_upstream,-200 to -100,147,-0.0326316197090626,0.6947889940838935,0.8649258946933719,False
4mC,T2_vs_T1,proximal_upstream,-100 to -50,66,-0.0103331663349167,0.934372161762266,0.9749970383606253,False
4mC,T2_vs_T1,core_promoter,-50 to 0,27,0.0091575091575091,0.9638418632217348,0.9843491369073036,False
4mC,T2_vs_T1,TSS_proximal,0 to 50,65,0.2545891608391608,0.0406979964937307,0.3414739879850696,False
4mC,T2_vs_T1,early_gene_body,50 to 200,229,0.0126197875550847,0.8493604172654424,0.9059844450831386,False
4mC,T2_vs_T1,mid_gene_body,200 to 500,437,0.0109579997863229,0.8193176023092676,0.8938010207010193,False
4mC,T2_vs_T1,distal_gene_body,500 to 1000,741,0.0189961702946436,0.6056628126068289,0.8550533825037584,False
4mC,T3_vs_T1,distal_upstream,-300 to -200,79,-0.0369525131002041,0.7464555773005925,0.8649258946933719,False
4mC,T3_vs_T1,mid_upstream,-200 to -100,73,0.0671047760088856,0.5726968955459153,0.8550533825037584,False
4mC,T3_vs_T1,proximal_upstream,-100 to -50,31,-0.3959677419354839,0.0274490570490811,0.3414739879850696,False
4mC,T3_vs_T1,core_promoter,-50 to 0,17,0.1862745098039215,0.4740951399440866,0.8550533825037584,False
4mC,T3_vs_T1,TSS_proximal,0 to 50,30,0.0545050055617352,0.774829447329479,0.8649258946933719,False
