mod_type,comparison,region,n_genes,spearman_r,p_value,p_adj,significant_fdr
6mA,T2_vs_T1,promoter,358,0.0477959755830627,0.367218895861604,0.8663709295119709,False
6mA,T2_vs_T1,gene_body,929,-0.0120731039816479,0.7132459850778347,0.9160331643232047,False
6mA,T3_vs_T1,promoter,360,-0.1277858343405949,0.0152625877070619,0.0812113929762288,False
6mA,T3_vs_T1,gene_body,930,-0.1104573434284446,0.0007400474695968,0.0088805696351616,True
6mA,T3_vs_T2,promoter,368,-0.1209421097511884,0.0203028482440572,0.0812113929762288,False
6mA,T3_vs_T2,gene_body,961,-0.0074941089391218,0.8165238217917019,0.9160331643232047,False
4mC,T2_vs_T1,promoter,443,0.0010484746288408,0.982443572254804,0.982443572254804,False
4mC,T2_vs_T1,gene_body,1310,-0.0111108547453015,0.6878504191540405,0.9160331643232047,False
4mC,T3_vs_T1,promoter,229,-0.0442339304010117,0.5053830422153164,0.8663709295119709,False
4mC,T3_vs_T1,gene_body,734,-0.0377783659235721,0.306720137419073,0.8663709295119709,False
4mC,T3_vs_T2,promoter,241,0.0130976008094238,0.8396970672962709,0.9160331643232047,False
4mC,T3_vs_T2,gene_body,811,0.025365465529625,0.4706873174648261,0.8663709295119709,False
