COG_category	direction	count	comparison
C - Energy production	Down	120	T3 vs T1
C - Energy production	Up	205	T3 vs T1
D - Cell division	Down	10	T3 vs T1
D - Cell division	Up	1	T3 vs T1
E - Amino acid metabolism	Down	107	T3 vs T1
E - Amino acid metabolism	Up	95	T3 vs T1
F - Nucleotide metabolism	Down	17	T3 vs T1
F - Nucleotide metabolism	Up	7	T3 vs T1
G - Carbohydrate metabolism	Down	49	T3 vs T1
G - Carbohydrate metabolism	Up	81	T3 vs T1
H - Coenzyme metabolism	Down	26	T3 vs T1
H - Coenzyme metabolism	Up	76	T3 vs T1
I - Lipid metabolism	Down	14	T3 vs T1
I - Lipid metabolism	Up	32	T3 vs T1
J - Translation	Down	118	T3 vs T1
J - Translation	Up	20	T3 vs T1
K - Transcription	Down	218	T3 vs T1
K - Transcription	Up	168	T3 vs T1
L - Replication/Repair	Down	59	T3 vs T1
L - Replication/Repair	Up	43	T3 vs T1
M - Cell envelope	Down	31	T3 vs T1
M - Cell envelope	Up	36	T3 vs T1
O - Protein modification	Down	56	T3 vs T1
O - Protein modification	Up	61	T3 vs T1
P - Inorganic ion transport	Down	102	T3 vs T1
P - Inorganic ion transport	Up	227	T3 vs T1
Q - Secondary metabolism	Up	12	T3 vs T1
R - General function	Down	645	T3 vs T1
R - General function	Up	1064	T3 vs T1
S - Unknown	Down	319	T3 vs T1
S - Unknown	Up	443	T3 vs T1
T - Signal transduction	Down	97	T3 vs T1
T - Signal transduction	Up	100	T3 vs T1
U - Secretion	Down	46	T3 vs T1
U - Secretion	Up	42	T3 vs T1
V - Defense	Down	41	T3 vs T1
V - Defense	Up	53	T3 vs T1
C - Energy production	Down	109	T2 vs T1
C - Energy production	Up	137	T2 vs T1
D - Cell division	Down	8	T2 vs T1
D - Cell division	Up	2	T2 vs T1
E - Amino acid metabolism	Down	81	T2 vs T1
E - Amino acid metabolism	Up	83	T2 vs T1
F - Nucleotide metabolism	Down	9	T2 vs T1
F - Nucleotide metabolism	Up	8	T2 vs T1
G - Carbohydrate metabolism	Down	53	T2 vs T1
G - Carbohydrate metabolism	Up	42	T2 vs T1
H - Coenzyme metabolism	Down	26	T2 vs T1
H - Coenzyme metabolism	Up	46	T2 vs T1
I - Lipid metabolism	Down	12	T2 vs T1
I - Lipid metabolism	Up	19	T2 vs T1
J - Translation	Down	100	T2 vs T1
J - Translation	Up	17	T2 vs T1
K - Transcription	Down	205	T2 vs T1
K - Transcription	Up	134	T2 vs T1
L - Replication/Repair	Down	46	T2 vs T1
L - Replication/Repair	Up	26	T2 vs T1
M - Cell envelope	Down	25	T2 vs T1
M - Cell envelope	Up	22	T2 vs T1
N - Cell motility	Down	1	T2 vs T1
O - Protein modification	Down	36	T2 vs T1
O - Protein modification	Up	51	T2 vs T1
P - Inorganic ion transport	Down	124	T2 vs T1
P - Inorganic ion transport	Up	109	T2 vs T1
Q - Secondary metabolism	Up	9	T2 vs T1
R - General function	Down	587	T2 vs T1
R - General function	Up	807	T2 vs T1
S - Unknown	Down	280	T2 vs T1
S - Unknown	Up	324	T2 vs T1
T - Signal transduction	Down	76	T2 vs T1
T - Signal transduction	Up	79	T2 vs T1
U - Secretion	Down	34	T2 vs T1
U - Secretion	Up	43	T2 vs T1
V - Defense	Down	33	T2 vs T1
V - Defense	Up	45	T2 vs T1
C - Energy production	Down	114	T3 vs T2
C - Energy production	Up	169	T3 vs T2
D - Cell division	Down	4	T3 vs T2
D - Cell division	Up	1	T3 vs T2
E - Amino acid metabolism	Down	80	T3 vs T2
E - Amino acid metabolism	Up	62	T3 vs T2
F - Nucleotide metabolism	Down	12	T3 vs T2
F - Nucleotide metabolism	Up	7	T3 vs T2
G - Carbohydrate metabolism	Down	26	T3 vs T2
G - Carbohydrate metabolism	Up	75	T3 vs T2
H - Coenzyme metabolism	Down	31	T3 vs T2
H - Coenzyme metabolism	Up	51	T3 vs T2
I - Lipid metabolism	Down	13	T3 vs T2
I - Lipid metabolism	Up	26	T3 vs T2
J - Translation	Down	40	T3 vs T2
J - Translation	Up	15	T3 vs T2
K - Transcription	Down	111	T3 vs T2
K - Transcription	Up	119	T3 vs T2
L - Replication/Repair	Down	27	T3 vs T2
L - Replication/Repair	Up	35	T3 vs T2
M - Cell envelope	Down	16	T3 vs T2
M - Cell envelope	Up	24	T3 vs T2
N - Cell motility	Up	1	T3 vs T2
O - Protein modification	Down	60	T3 vs T2
O - Protein modification	Up	41	T3 vs T2
P - Inorganic ion transport	Down	84	T3 vs T2
P - Inorganic ion transport	Up	204	T3 vs T2
Q - Secondary metabolism	Down	2	T3 vs T2
Q - Secondary metabolism	Up	6	T3 vs T2
R - General function	Down	530	T3 vs T2
R - General function	Up	744	T3 vs T2
S - Unknown	Down	197	T3 vs T2
S - Unknown	Up	308	T3 vs T2
T - Signal transduction	Down	72	T3 vs T2
T - Signal transduction	Up	71	T3 vs T2
U - Secretion	Down	40	T3 vs T2
U - Secretion	Up	32	T3 vs T2
V - Defense	Down	34	T3 vs T2
V - Defense	Up	23	T3 vs T2
