GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj
GO:0006412	62	68	0.05254237288135593	0.014035087719298246	3.74364406779661	6.13920272954308e-32	1.1050564913177544e-29
GO:0003735	57	61	0.048305084745762714	0.01259029927760578	3.8366907474298415	6.989321597313985e-31	6.290389437582586e-29
GO:0005840	32	37	0.02711864406779661	0.0076367389060887515	3.5510765002290423	1.9928668036170335e-15	1.19572008217022e-13
GO:0003723	26	39	0.022033898305084745	0.00804953560371517	2.7372881355932206	2.4670154810891767e-8	1.1101569664901294e-6
GO:0015934	9	9	0.007627118644067797	0.0018575851393188853	4.105932203389831	2.946057960976374e-6	1.0605808659514946e-4
GO:0015986	8	8	0.006779661016949152	0.001651186790505676	4.1059322033898304	1.2158773342357262e-5	3.6476320027071786e-4
GO:0016020	136	427	0.1152542372881356	0.08813209494324045	1.307744214662803	1.4273882177716056e-4	0.0036704268456984146
GO:0015935	6	6	0.005084745762711864	0.001238390092879257	4.10593220338983	2.067022193979385e-4	0.00413404438795877
GO:0046933	6	6	0.005084745762711864	0.001238390092879257	4.10593220338983	2.067022193979385e-4	0.00413404438795877
GO:0045259	7	8	0.005932203389830509	0.001651186790505676	3.592690677966102	3.160762792229335e-4	0.005516857783298577
GO:0006396	8	10	0.006779661016949152	0.0020639834881320948	3.2847457627118644	3.371413089793575e-4	0.005516857783298577
GO:0022625	5	5	0.00423728813559322	0.0010319917440660474	4.1059322033898304	8.514372271370417e-4	0.012771558407055626
GO:0006364	6	7	0.005084745762711864	0.0014447884416924665	3.519370460048426	0.0011460247663209943	0.014734604138412785
GO:0015078	6	7	0.005084745762711864	0.0014447884416924665	3.519370460048426	0.0011460247663209943	0.014734604138412785
GO:0001522	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0009451	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0009982	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0043022	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0033308	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0051470	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0033286	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0033288	4	4	0.003389830508474576	8.25593395252838e-4	4.1059322033898304	0.003504938449464639	0.028454636563944893
GO:0006189	6	8	0.005084745762711864	0.001651186790505676	3.079449152542373	0.003635870227615181	0.028454636563944893
GO:0005524	164	570	0.13898305084745763	0.11764705882352941	1.18135593220339	0.005716432451231335	0.04287324338423501
GO:0003678	9	16	0.007627118644067797	0.003302373581011352	2.30958686440678	0.00613169953719502	0.044148236667804146
