pathway_id	pathway_name	count	total_in_pathway	gene_ratio	fold_enrichment	pvalue	padj	comparison	direction
sco02010	ABC transporters - Streptomyces coelicolor	108	193	0.040268456375838924	1.663525402510693	1.0177126301756736e-10	1.0380668827791871e-8	T3vsT1	Up
sco02024	Quorum sensing - Streptomyces coelicolor	60	101	0.02237136465324385	1.7660088156466656	8.548712978960824e-8	4.35984361927002e-6	T3vsT1	Up
sco01310	Nitrogen cycle - Streptomyces coelicolor	12	13	0.0044742729306487695	2.744106005850972	1.8534936610779015e-5	6.301878447664865e-4	T3vsT1	Up
sco01057	Biosynthesis of type II polyketide products - Streptomyces coelicolor	10	11	0.0037285607755406414	2.7025286421259573	1.4024093493375381e-4	0.003576143840810722	T3vsT1	Up
sco00500	Starch and sucrose metabolism - Streptomyces coelicolor	30	54	0.011185682326621925	1.6515452812991964	7.352446562938396e-4	0.014998990988394327	T3vsT1	Up
sco01056	Biosynthesis of type II polyketide backbone - Streptomyces coelicolor	6	6	0.0022371364653243847	2.972781506338553	0.0014434731237963142	0.02453904310453734	T3vsT1	Up
sco00053	Ascorbate and aldarate metabolism - Streptomyces coelicolor	11	15	0.004101416853094705	2.180039771314939	0.001948320571071528	0.028389814035613695	T3vsT1	Up
sco00253	Tetracycline biosynthesis - Streptomyces coelicolor	7	8	0.002609992542878449	2.601183818046234	0.0027390575530570893	0.031042652267980347	T3vsT1	Up
sco00975	Biosynthesis of various siderophores - Streptomyces coelicolor	7	8	0.002609992542878449	2.601183818046234	0.0027390575530570893	0.031042652267980347	T3vsT1	Up
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	16	26	0.005965697240865026	1.829404003900648	0.0032482866053286847	0.03313252337435258	T3vsT1	Up
sco00946	Degradation of flavonoids - Streptomyces coelicolor	8	10	0.002982848620432513	2.3782252050708426	0.0036142303332467483	0.033513772181015304	T3vsT1	Up
sco00511	Other glycan degradation - Streptomyces coelicolor	9	13	0.003355704697986577	2.058079504388229	0.009380119758257147	0.07973101794518575	T3vsT1	Up
sco03010	Ribosome - Streptomyces coelicolor	55	78	0.026974006866110838	2.7572276505577142	1.0559097605599536e-25	9.925551749263565e-24	T3vsT1	Down
sco01100	Metabolic pathways - Streptomyces coelicolor	408	1066	0.20009808729769496	1.4966060506796641	4.813451862522487e-23	2.262322375385569e-21	T3vsT1	Down
sco01240	Biosynthesis of cofactors - Streptomyces coelicolor	91	164	0.04462972045120157	2.169711958277013	1.8494324846510664e-16	5.7948884519066745e-15	T3vsT1	Down
sco01230	Biosynthesis of amino acids - Streptomyces coelicolor	79	148	0.03874448258950466	2.0872281059873017	3.107377189789502e-13	7.30233639600533e-12	T3vsT1	Down
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	202	515	0.09906817067189799	1.533729174304937	1.3606867789231554e-12	2.558091144375532e-11	T3vsT1	Down
sco01232	Nucleotide metabolism - Streptomyces coelicolor	35	49	0.01716527709661599	2.7930358018636587	1.981055702869909e-11	3.1036539344961904e-10	T3vsT1	Down
sco00240	Pyrimidine metabolism - Streptomyces coelicolor	29	37	0.014222658165767533	3.0647906366395823	2.3685561481574886e-11	3.180632541811485e-10	T3vsT1	Down
sco00970	Aminoacyl-tRNA biosynthesis - Streptomyces coelicolor	24	95	0.011770475723393821	0.9878526625538835	2.072495180896503e-9	2.435181837553391e-8	T3vsT1	Down
sco00260	Glycine, serine and threonine metabolism - Streptomyces coelicolor	30	44	0.014713094654242276	2.666079629051674	3.3211024922061517e-9	3.468707047415314e-8	T3vsT1	Down
sco00860	Porphyrin metabolism - Streptomyces coelicolor	28	42	0.01373222167729279	2.606833415072748	2.4052115574337234e-8	2.2608988639877e-7	T3vsT1	Down
sco00230	Purine metabolism - Streptomyces coelicolor	40	71	0.0196174595389897	2.2029578155544347	3.151363186603985e-8	2.6929830867343144e-7	T3vsT1	Down
sco00550	Peptidoglycan biosynthesis - Streptomyces coelicolor	23	33	0.011280039234919078	2.7253258430306	1.2568220917699118e-7	9.845106385530976e-7	T3vsT1	Down
sco00190	Oxidative phosphorylation - Streptomyces coelicolor	36	67	0.01765571358509073	2.101029916625797	7.477974739968561e-7	5.4071509658234215e-6	T3vsT1	Down
sco03030	DNA replication - Streptomyces coelicolor	15	20	0.007356547327121138	2.9326875919568414	5.020767519275735e-6	3.3710867629422796e-5	T3vsT1	Down
sco01200	Carbon metabolism - Streptomyces coelicolor	62	148	0.030407062285434036	1.6380777540659837	9.0887462428466e-6	5.695614312183869e-5	T3vsT1	Down
sco03440	Homologous recombination - Streptomyces coelicolor	16	23	0.00784698381559588	2.7201739983367808	1.1657455354365593e-5	6.848755020689786e-5	T3vsT1	Down
sco03410	Base excision repair - Streptomyces coelicolor	15	21	0.007356547327121138	2.7930358018636587	1.340770304150218e-5	7.413671093536499e-5	T3vsT1	Down
sco03018	RNA degradation - Streptomyces coelicolor	11	15	0.005394801373222168	2.867516756580023	4.925934274987689e-5	2.572432343604682e-4	T3vsT1	Down
sco00670	One carbon pool by folate - Streptomyces coelicolor	15	23	0.007356547327121138	2.550163123440732	7.061492378233752e-5	3.493580439757751e-4	T3vsT1	Down
sco03430	Mismatch repair - Streptomyces coelicolor	13	19	0.0063756743501716525	2.675434294416768	1.0542429626654305e-4	4.954941924527524e-4	T3vsT1	Down
sco00730	Thiamine metabolism - Streptomyces coelicolor	10	13	0.004904364884747425	3.0078847096993244	1.5304671955210816e-4	6.850662684713413e-4	T3vsT1	Down
sco00710	Carbon fixation by Calvin cycle - Streptomyces coelicolor	14	22	0.006866110838646395	2.4883409871148956	1.8313729347772044e-4	7.824957084957146e-4	T3vsT1	Down
sco01250	Biosynthesis of nucleotide sugars - Streptomyces coelicolor	23	45	0.011280039234919078	1.9985722848891068	2.0461299086212774e-4	8.171312613947606e-4	T3vsT1	Down
sco00520	Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor	27	56	0.013241785188818049	1.8852991662579697	2.0862925822844953e-4	8.171312613947606e-4	T3vsT1	Down
sco00030	Pentose phosphate pathway - Streptomyces coelicolor	21	40	0.010299166257969592	2.052881314369789	2.372075090761165e-4	8.91900234126198e-4	T3vsT1	Down
sco00250	Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor	19	36	0.009318293281020108	2.0637431202659253	4.284755934208259e-4	0.0015491040685214476	T3vsT1	Down
sco03060	Protein export - Streptomyces coelicolor	13	23	0.0063756743501716525	2.2101413736486344	8.700581589088789e-4	0.0030290913680531342	T3vsT1	Down
sco00010	Glycolysis / Gluconeogenesis - Streptomyces coelicolor	26	58	0.012751348700343305	1.7528707446178822	0.0010998670411965486	0.003692410781159842	T3vsT1	Down
sco00680	Methane metabolism - Streptomyces coelicolor	16	31	0.00784698381559588	2.0181936116692243	0.0016527979474372726	0.005357345071003573	T3vsT1	Down
sco03070	Bacterial secretion system - Streptomyces coelicolor	10	16	0.004904364884747425	2.443906326630701	0.001962038355318375	0.006147720179997576	T3vsT1	Down
sco01210	2-Oxocarboxylic acid metabolism - Streptomyces coelicolor	23	52	0.011280039234919078	1.7295337080771116	0.0025908940580850717	0.007856259401935378	T3vsT1	Down
sco01120	Microbial metabolism in diverse environments - Streptomyces coelicolor	114	356	0.05590975968612065	1.2521587471276403	0.003106653377930327	0.009125794297670336	T3vsT1	Down
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis - Streptomyces coelicolor	8	12	0.00392349190779794	2.606833415072748	0.0032270492661339704	0.009192200939896764	T3vsT1	Down
sco03020	RNA polymerase - Streptomyces coelicolor	4	4	0.00196174595389897	3.910250122609122	0.004268055158919766	0.011799917204072294	T3vsT1	Down
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor	14	28	0.006866110838646395	1.955125061304561	0.004654566370891751	0.01197868947130342	T3vsT1	Down
sco00300	Lysine biosynthesis - Streptomyces coelicolor	11	20	0.005394801373222168	2.1506375674350173	0.004715016068491772	0.01197868947130342	T3vsT1	Down
sco00785	Lipoic acid metabolism - Streptomyces coelicolor	11	20	0.005394801373222168	2.1506375674350173	0.004715016068491772	0.01197868947130342	T3vsT1	Down
sco00270	Cysteine and methionine metabolism - Streptomyces coelicolor	17	37	0.008337420304070623	1.7966014076852725	0.005703856176640772	0.014109538963269278	T3vsT1	Down
sco03420	Nucleotide excision repair - Streptomyces coelicolor	7	11	0.0034330554193231977	2.4883409871148956	0.008598581203590736	0.02072478546506485	T3vsT1	Down
sco00340	Histidine metabolism - Streptomyces coelicolor	11	22	0.005394801373222168	1.955125061304561	0.01179835057897593	0.02772612386059344	T3vsT1	Down
sco00220	Arginine biosynthesis - Streptomyces coelicolor	14	31	0.006866110838646395	1.7659194102105713	0.013964541698206337	0.032016266332473065	T3vsT1	Down
sco00900	Terpenoid backbone biosynthesis - Streptomyces coelicolor	11	23	0.005394801373222168	1.8701196238565367	0.017478395169095964	0.039118312997500494	T3vsT1	Down
sco00564	Glycerophospholipid metabolism - Streptomyces coelicolor	11	25	0.005394801373222168	1.7205100539480138	0.03452298058126295	0.07546884127066784	T3vsT1	Down
sco00052	Galactose metabolism - Streptomyces coelicolor	14	35	0.006866110838646395	1.5641000490436487	0.04304609596140788	0.09196211409937138	T3vsT1	Down
sco00333	Prodigiosin biosynthesis - Streptomyces coelicolor	18	26	0.009221311475409836	2.827750630517024	1.8223870727049112e-6	1.7312677190696658e-4	T2vsT1	Up
sco01110	Biosynthesis of secondary metabolites - Streptomyces coelicolor	170	515	0.08709016393442623	1.3482910233964664	3.969562762621345e-6	0.00018855423122451389	T2vsT1	Up
sco00920	Sulfur metabolism - Streptomyces coelicolor	12	19	0.006147540983606557	2.579702329594478	3.8671416407410296e-4	0.012245948529013262	T2vsT1	Up
