Category	Up	Down	Net	Interpretation
C - Energy production	205	120	+85	代謝リモデリング
D - Cell division	1	10	-9	細胞分裂の停止
E - Amino acid metabolism	95	107	-12	アミノ酸代謝の抑制傾向
F - Nucleotide metabolism	7	17	-10	ヌクレオチド合成の抑制
G - Carbohydrate metabolism	81	49	+32	糖代謝の活性化
H - Coenzyme metabolism	76	26	+50	補酵素合成の活性化
I - Lipid metabolism	32	14	+18	脂質代謝の活性化
J - Translation	20	118	-98	リボソーム合成の大幅抑制
K - Transcription	168	218	-50	転写調節の変動
L - Replication/Repair	43	59	-16	DNA複製の抑制
M - Cell envelope	36	31	+5	細胞壁維持（ほぼ均衡）
O - Protein modification	61	56	+5	タンパク質修飾（ほぼ均衡）
P - Inorganic ion transport	227	102	+125	イオン輸送の活性化
Q - Secondary metabolism	12	0	+12	二次代謝の一方向的誘導
R - General function	1064	645	+419	多機能遺伝子の活性化
S - Unknown	443	319	+124	未知機能遺伝子の活性化
T - Signal transduction	100	97	+3	シグナル伝達（ほぼ均衡）
U - Secretion	42	46	-4	分泌系（ほぼ均衡）
V - Defense	53	41	+12	防御機構の活性化
