Pathway	T2vsT1_Status	T3vsT1_GeneCount	T3vsT1_FE	T3vsT1_pvalue	Interpretation
Biosynthesis of amino acids	n.s.	79	2.09	3.1e-13	アミノ酸合成の後期抑制
Glycine, serine, threonine	n.s.	30	2.67	3.3e-9	アミノ酸代謝の後期抑制
Porphyrin metabolism	n.s.	28	2.61	2.4e-8	ポルフィリン合成の後期抑制
Oxidative phosphorylation	n.s.	36	2.10	7.5e-7	エネルギー代謝の後期抑制
Peptidoglycan biosynthesis	n.s.	23	2.73	1.3e-7	細胞壁合成停止
Carbon metabolism	n.s.	62	1.64	9.1e-6	炭素代謝の後期抑制
Base excision repair	n.s.	15	2.79	1.3e-5	DNA修復の後期抑制
RNA degradation	n.s.	11	2.87	4.9e-5	RNA分解の後期抑制
One carbon pool by folate	n.s.	15	2.55	7.1e-5	葉酸代謝の後期抑制
Carbon fixation	n.s.	14	2.49	1.8e-4	炭素固定の後期抑制
Pentose phosphate pathway	n.s.	21	2.05	2.4e-4	PPP経路の後期抑制
Glycolysis / Gluconeogenesis	n.s.	26	1.75	1.1e-3	解糖系の後期抑制
