Pathway	T2vsT1_GeneCount	T2vsT1_FE	T2vsT1_pvalue	T3vsT1_GeneCount	T3vsT1_FE	T3vsT1_pvalue	FE_Change	Interpretation
Ribosome	59	3.34	8.0e-35	55	2.76	1.1e-25	↓	T2で最大抑制、T3で緩和
Biosynthesis of cofactors	61	1.64	1.5e-5	91	2.17	1.8e-16	↑	抑制が持続・強化
Pyrimidine metabolism	20	2.39	3.2e-5	29	3.06	2.4e-11	↑	抑制が持続・強化
Nucleotide metabolism	24	2.16	4.6e-5	35	2.79	2.0e-11	↑	抑制が持続・強化
Homologous recombination	13	2.49	4.5e-4	16	2.72	1.2e-5	↑	DNA修復の持続的抑制
Thiamine metabolism	9	3.05	4.5e-4	10	3.01	1.5e-4	→	持続的な抑制
Aminoacyl-tRNA biosynthesis	15	0.70	1.4e-3	24	0.99	2.1e-9	↑	tRNA合成の持続的抑制
DNA replication	11	2.43	1.7e-3	15	2.93	5.0e-6	↑	抑制が持続・強化
Amino sugar/nucleotide sugar	22	1.73	3.7e-3	27	1.89	2.1e-4	↑	持続的な抑制
Biosynthesis of nucleotide sugars	18	1.76	6.7e-3	23	2.00	2.0e-4	↑	抑制が持続・強化
Ubiquinone biosynthesis	7	2.57	8.1e-3	8	2.61	3.2e-3	→	持続的な抑制
Alanine, aspartate, glutamate	15	1.84	8.3e-3	19	2.06	4.3e-4	↑	抑制が持続・強化
Purine metabolism	25	1.55	1.1e-2	40	2.20	3.2e-8	↑	抑制が持続・強化
Mismatch repair	9	2.09	1.5e-2	13	2.68	1.1e-4	↑	抑制が持続・強化
