SCO_ID	cistron_id	regulator_flag	source
SCO0037	cistron26	1	CastroMelchor_2010
SCO0038	cistron26	1	CastroMelchor_2010
SCO0047	cistron31	1	CastroMelchor_2010
SCO0062	cistron43	1	CastroMelchor_2010
SCO0063	cistron43	1	CastroMelchor_2010
SCO0064	cistron43	1	CastroMelchor_2010
SCO0089	cistron59	1	CastroMelchor_2010
SCO0110	cistron75	1	CastroMelchor_2010
SCO0116	cistron80	1	CastroMelchor_2010
SCO0132	cistron90	1	CastroMelchor_2010
SCO0147	cistron100	1	CastroMelchor_2010
SCO0148	cistron100	1	CastroMelchor_2010
SCO0155	cistron106	1	CastroMelchor_2010
SCO0157	cistron108	1	CastroMelchor_2010
SCO0158	cistron108	1	CastroMelchor_2010
SCO0159	cistron108	1	CastroMelchor_2010
SCO0160	cistron109	1	CastroMelchor_2010
SCO0161	cistron109	1	CastroMelchor_2010
SCO0166	cistron114	1	CastroMelchor_2010
SCO0168	cistron116	1	CastroMelchor_2010
SCO0169	cistron116	1	CastroMelchor_2010
SCO0173	cistron120	1	CastroMelchor_2010
SCO0174	cistron120	1	CastroMelchor_2010
SCO0193	cistron130	1	CastroMelchor_2010
SCO0194	cistron131	1	CastroMelchor_2010
SCO0203	cistron137	1	CastroMelchor_2010
SCO0204	cistron138	1	CastroMelchor_2010
SCO0229	cistron154	1	CastroMelchor_2010
SCO0230	cistron154	1	CastroMelchor_2010
SCO0233	cistron157	1	CastroMelchor_2010
SCO0236	cistron159	1	CastroMelchor_2010
SCO0241	cistron164	1	CastroMelchor_2010
SCO0250	cistron171	1	CastroMelchor_2010
SCO0253	cistron174	1	CastroMelchor_2010
SCO0255	cistron176	1	CastroMelchor_2010
SCO0262	cistron180	1	CastroMelchor_2010
SCO0266	cistron184	1	CastroMelchor_2010
SCO0275	cistron190	1	CastroMelchor_2010
SCO0276	cistron190	1	CastroMelchor_2010
SCO0282	cistron195	1	CastroMelchor_2010
SCO0288	cistron201	1	CastroMelchor_2010
SCO0289	cistron201	1	CastroMelchor_2010
SCO0298	cistron208	1	CastroMelchor_2010
