idx	TF_name	TF_SCO	TF_description	TG_name	TG_SCO	experiment	evidence	regulatory_function	evidence_classification	PubMed ID	Reference DOI	Year	Notes	TF_gene_id	TG_gene_id	source
	redD	SCO5877	Transcriptional regulator RedD	redV	SCO5882	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31655	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redU	SCO5883	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31660	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD		SCO5884	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31665	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD		SCO5885	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31670	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redR	SCO5886	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31675	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redQ	SCO5887	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redE ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31680	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redP	SCO5888	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31685	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redO	SCO5889	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31690	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redN	SCO5890	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31695	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redM	SCO5891	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31700	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redL	SCO5892	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31705	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redK	SCO5893	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31710	ZorroAranda2022_Curated
	redD	SCO5877	Transcriptional regulator RedD	redJ	SCO5894	DB	PA	activation	Weak	2294088	10.1128/jb.172.1.326-333.1990	1990	"Transcription Unit redBF ""Cerdeño AM, Bibb MJ, Challis GL. Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes. Chemistry & Biology. 2001;8:817–29."""	SC_RS31630	SC_RS31715	ZorroAranda2022_Curated
