Network_module,pvalue,Ontology,Enrichment class or term,Classification,qvalue,significant_fdr_0.01,
3,2.66E-10,,Other,Protein class,3.48E-09,1,
10,4.93E-08,,Other,Protein class,3.18E-07,1,
10,0,,"Adaptations, atypical conditions",Protein class,0,1,
11,7.82E-12,,"Adaptations, atypical conditions",Protein class,1.39E-10,1,
11,2.09E-07,,PKS,Protein class,1.16E-06,1,
13,7.24E-05,,Transport/binding proteins,Protein class,0.00016392,1,
14,3.50E-09,,Anaerobic respiration,Protein class,3.16E-08,1,
20,1.66E-08,,Secondary metabolism,Protein class,1.25E-07,1,
27,1.07E-07,,AraC,Protein class,6.49E-07,1,
28,1.43E-09,,Amino acids and amines,Protein class,1.43E-08,1,
33,7.58E-07,,Transport/binding proteins,Protein class,3.62E-06,1,
37,7.86E-12,,Histidine,Protein class,1.39E-10,1,
41,1.25E-05,,Transport/binding proteins,Protein class,4.22E-05,1,
45,3.71E-05,,Transport/binding proteins,Protein class,9.76E-05,1,
49,1.30E-05,,sigma factor,Protein class,4.34E-05,1,
55,0,,Electron transport,Protein class,0,1,
56,2.03E-05,,Anaerobic respiration,Protein class,6.14E-05,1,
56,1.06E-12,,Electron transport,Protein class,2.65E-11,1,
56,1.88E-05,,Fatty acid and phosphatidic acid biosynth,Protein class,5.87E-05,1,
58,1.63E-05,,sigma factor,Protein class,5.17E-05,1,
62,8.16E-08,,Secondary metabolism,Protein class,5.04E-07,1,
64,2.19E-11,,Notclassified,Protein class,3.25E-10,1,
67,8.67E-10,,Amino acids and amines,Protein class,9.35E-09,1,
68,2.30E-05,,Polysaccharides -,Protein class,6.81E-05,1,
68,2.72E-12,,Secondary metabolism,Protein class,6.22E-11,1,
71,3.91E-05,,Others,Protein class,0.000101948,1,
73,1.53E-09,,Secondary metabolism,Protein class,1.45E-08,1,
77,1.98E-05,,Gram +ve exported/lipoprotein,Protein class,6.07E-05,1,
85,2.33E-05,,"Unknown function, no known homologs",Protein class,6.86E-05,1,
85,3.14E-12,,"Adaptations, atypical conditions",Protein class,6.91E-11,1,
88,5.98E-07,,Other,Protein class,3.00E-06,1,
104,2.39E-06,,PKS,Protein class,1.00E-05,1,
115,6.29E-12,,Electron transport,Protein class,1.24E-10,1,
116,9.10E-10,,PKS,Protein class,9.62E-09,1,
118,8.75E-05,,Notclassified,Protein class,0.000190249,1,
124,3.78E-06,,Plasmid-related functions,Protein class,1.49E-05,1,
136,5.13E-10,,Amino acids and amines,Protein class,6.01E-09,1,
138,4.09E-10,,Secondary metabolism,Protein class,4.89E-09,1,
167,4.67E-12,,PKS,Protein class,9.52E-11,1,
172,8.61E-06,,Sensor kinase,Protein class,3.03E-05,1,
175,0,,Histidine,Protein class,0,1,
176,0,,"Ribosomal proteins - synthesis, modification",Protein class,0,1,
179,1.46E-08,,"Gram +ve peptidoglycan, teichoic acid",Protein class,1.15E-07,1,
180,2.90E-06,,Plasmid-related functions,Protein class,1.18E-05,1,
183,7.99E-06,,Serine/threonine,Protein class,2.85E-05,1,
185,1.69E-08,,Cell division,Protein class,1.25E-07,1,
185,2.50E-10,,"Gram +ve peptidoglycan, teichoic acid",Protein class,3.43E-09,1,
189,1.62E-05,,"DNA- replication, repair, restr./modific'n",Protein class,5.17E-05,1,
193,4.74E-05,,Others,Protein class,0.000115959,1,
196,8.67E-10,,Amino acids and amines,Protein class,9.35E-09,1,
206,1.10E-06,,Amino acids and amines,Protein class,5.07E-06,1,
209,0,,Serine/threonine,Protein class,0,1,
210,8.67E-10,,Amino acids and amines,Protein class,9.35E-09,1,
213,0,,Anaerobic respiration,Protein class,0,1,
213,4.58E-13,,PKS,Protein class,1.33E-11,1,
216,0,,Electron transport,Protein class,0,1,
218,6.47E-07,,Serine/threonine,Protein class,3.18E-06,1,
241,1.40E-07,,Anaerobic respiration,Protein class,8.26E-07,1,
251,5.19E-09,,PKS,Protein class,4.61E-08,1,
254,3.24E-06,,Serine/threonine,Protein class,1.31E-05,1,
255,1.47E-09,,PKS,Protein class,1.43E-08,1,
265,1.53E-08,,Festorage,Protein class,1.18E-07,1,
266,5.73E-06,,Degradation of polysaccharides,Protein class,2.12E-05,1,
268,8.57E-12,,Secondary metabolism,Protein class,1.47E-10,1,
269,6.78E-10,,Secondary metabolism,Protein class,7.77E-09,1,
284,0,,Secondary metabolism,Protein class,0,1,
302,3.31E-08,,Anaerobic respiration,Protein class,2.22E-07,1,
303,0,,Serine/threonine,Protein class,0,1,
306,5.53E-09,,Sulfur metabolism,Protein class,4.83E-08,1,
308,2.08E-11,,Chaperones,Protein class,3.17E-10,1,
308,1.13E-05,,Carbon compounds,Protein class,3.86E-05,1,
308,2.42E-06,,"Ribosomal proteins - synthesis, modification",Protein class,1.00E-05,1,
311,3.17E-05,,"Unknown function, no known homologs",Protein class,8.63E-05,1,
