SCO_ID	gene_name	description	is_global_regulator	regulator_type	source
SCO0204	osdR	Putative luxR family two-component response regulator	False	TCS_response_regulator;TF_LUXR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0310		Putative tetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0561	furA	Fe regulatory protein (Ferric uptake regulator homolog)	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0599	rsbA	Putative anti-sigma factor kinase (Putative regulator of sig8)	False	sigma_factor;anti-sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0600	sigB	RNA polymerase sigma factor sig8 (SigB)	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0608	slbR	Putative regulatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO0877		Putative transcriptional regulatory protein	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1104	rrdA	Putative tetR-family transcriptional regulatory protein	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1135	xdhR	Putative tetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1480		Uncharacterized protein	False	TF_ARAC_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1489	bldD	Putative DNA-binding protein	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1568	pqrA	Putative tetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1576	argR	Arginine repressor	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1614	epuRI	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1678	gntR	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1697	soxR	Putative merR-family transcriptional regulator	False	TF_MERR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1712		Putative TetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1745	abrA2		True	global_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1839		Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO1950	whiA	Probable cell division protein WhiA	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2120	macR	Putative two-component system regulator	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2127		Uncharacterized protein SCO2127	False	TF_ARAC_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2140		Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2281	aor1	Putative two-component system response-regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2792	adpA, bldH	AraC-family transcriptional regulator	True	global_regulator;TF_ARAC_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2935	hpdR		True	global_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2950	hupA	DNA-binding protein HU 1 (HSl)	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2958	nnaR	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO2964	stgR	Putative lysR-family transcriptional regulator	False	TF_LYSR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3013	mtrA	Putative two-component system response regulator	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3034	whiB	Transcriptional regulator WhiB	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3063	draR	Putative two-component system reponse regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3129		Putative TetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3133	tamR	Putative MarR-family regulator	False	TF_MARR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3198	fruR	Putative deoR-family transcriptional regulator	False	TF_DEOR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3201		Putative tetR-family transcriptional regulator	False	TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3202	hrdD	RNA polymerase principal sigma factor HrdD	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3217	cdaR	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3226	absA2	Two component system response regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3323	bldN	Putative RNA polymerase sigma factor	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3356	sigE	RNA polymerase sigma-E factor	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3358	cseB	Transcriptional regulatory protein CseB	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3361	lrpA	Putative AsnC-family transcriptional regulator	False	TF_ASNC_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3375		Putative Lsr2-like protein	False	TF_LSR2_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3549	bldG	Anti-sigma-B factor antagonist (Anti-anti-sigma-B factor)	False	sigma_factor;anti-sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3571	crp	Putative transcriptional regulator	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3579	wblA	Probable Transcriptional regulator	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3606		Putative regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3668	hspR	Putative heat shock protein HspR	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3832	bkdR	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3859		Putative DNA-binding protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3892	sigT	Putative RNA polymerase sigma factor	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3925	ssgR	Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO3932		Putative gntR-family transcriptional regulator	False	TF_GNTR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4035	sigF	RNA polymerase sigma-F factor	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4117		Putative membrane protein	True	global_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4118	atrA	Putative tetR-family transcriptional regulator	True	global_regulator;TF_TETR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4159	glnR	Transcriptional regulatory protein GlnR	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4184	amfC	Aerial mycelium formation (AmfC)	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4228	phoU	Phosphate-specific transport system accessory protein PhoU	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4230	phoP	Putative response regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4425	afsS	Sigma-like protein	True	global_regulator;sigma_factor;sigma-like	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4426	afsR, afsB	Regulatory protein AfsR	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4543	whiJ	Uncharacterized protein	False	TF_ARAC_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4596	abrC3	Putative two-component system response regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4907	afsQ1	Transcriptional regulatory protein AfsQ1	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO4908	sigQ	Putative RNA polymerase sigma factor	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5033	oxyR	Hydrogen peroxide sensing regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5082	actII-orf1	Putative transcriptional regulatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5085	actII-orf4	Probable actinorhodin operon activatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5206	catR	Hydrogen peroxide sensitive repressor	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5216	sigR	ECF RNA polymerase sigma factor SigR (Sigma-R factor)	True	global_regulator;sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5217	rsrA	Anti-sigma factor RsrA (Regulator of SigR)	False	sigma_factor;anti-sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5231	dasR	HTH-type transcriptional repressor DasR	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5243	sigH	RNA polymerase sigma factor (SigH protein)	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5260	atrA*		True	global_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5283		Putative two-component system response regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5351		Putative regulatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5403	RapA1	Probable two-component system response regulator	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5405	absC	Putative transcriptional regulator	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5552	ndgR	Putative regulator	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5582	nsdA	Putative regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5621	whiG	RNA polymerase sigma factor WhiG	False	sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5778	gluR	Two-component system regulator	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5785		Putative two-component regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5803	lexA	LexA repressor	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5819	whiH	Sporulation transcription factor, WhiH	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5820	hrdB	RNA polymerase principal sigma factor HrdB	True	global_regulator;sigma_factor	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5877	redD	Transcriptional regulator RedD	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO5881	redZ	Response regulator	True	global_regulator;TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6008	rok7B7	Probable transcriptional repressor protein	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6029	whiI	Two-component regulator	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6256		Putative transcriptional regulator	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6265	scbR	Gamma-butyrolactone binding protein	True	global_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6266	scbA	2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase	False	regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6280	kasO	Putative regulatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6286	scbR2	Putative regulatory protein	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6294	hypR	Putative gntR-family regulatory protein	False	TF_GNTR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6459	nmtR	Putative regulatory protein	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6685	ramR	Response regulator RamR	False	TCS_response_regulator	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO6974		Putative GntR-family regulatory protein	False	TF_GNTR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7168	agl3R	Putative gntR-family transcriptional regulator	False	TF_GNTR_family	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7173		Putative transcriptional regulator	True	global_regulator;TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
SCO7427	nsrR	HTH-type transcriptional repressor NsrR	False	TF	Zorro-Aranda_et_al_2022_SciRep_12_2704
