term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
J	Translation	118	155	118/2075	3.036	3.155813105392417e-41	SC_RS04090;SC_RS05395;SC_RS07700;SC_RS08570;SC_RS09340;SC_RS09430;SC_RS09480;SC_RS09500;SC_RS09515;SC_RS09625;SC_RS09985;SC_RS09990;SC_RS10005;SC_RS10010;SC_RS10015;SC_RS10265;SC_RS10800;SC_RS11115;SC_RS12020;SC_RS12330;SC_RS12420;SC_RS13435;SC_RS14535;SC_RS14570;SC_RS14860;SC_RS14865;SC_RS14905;SC_RS14940;SC_RS15035;SC_RS15040;SC_RS15145;SC_RS15465;SC_RS17745;SC_RS17750;SC_RS18625;SC_RS18630;SC_RS18700;SC_RS21080;SC_RS21100;SC_RS21545;SC_RS21625;SC_RS21675;SC_RS21685;SC_RS21690;SC_RS21945;SC_RS22725;SC_RS23095;SC_RS23360;SC_RS25350;SC_RS25420;SC_RS25425;SC_RS25440;SC_RS25445;SC_RS25475;SC_RS25480;SC_RS25485;SC_RS25490;SC_RS25665;SC_RS25670;SC_RS25675;SC_RS25680;SC_RS25685;SC_RS25690;SC_RS25695;SC_RS25700;SC_RS25705;SC_RS25710;SC_RS25715;SC_RS25720;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25755;SC_RS25760;SC_RS25765;SC_RS25785;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25815;SC_RS25830;SC_RS25835;SC_RS25895;SC_RS25910;SC_RS25915;SC_RS25920;SC_RS26355;SC_RS26990;SC_RS27715;SC_RS28235;SC_RS28975;SC_RS29675;SC_RS29680;SC_RS29690;SC_RS29920;SC_RS30035;SC_RS30070;SC_RS30175;SC_RS30185;SC_RS30190;SC_RS30195;SC_RS30345;SC_RS30350;SC_RS30360;SC_RS30710;SC_RS30730;SC_RS30745;SC_RS30755;SC_RS30760;SC_RS30890;SC_RS30990;SC_RS31175;SC_RS31195;SC_RS32995	5.680463589706351e-40
E	Amino acid metabolism	107	301	107/2075	1.418	2.446713484824123e-05	SC_RS07095;SC_RS07385;SC_RS07390;SC_RS08020;SC_RS08180;SC_RS08185;SC_RS08190;SC_RS08565;SC_RS09090;SC_RS09390;SC_RS09395;SC_RS09445;SC_RS09455;SC_RS09580;SC_RS09585;SC_RS09605;SC_RS09720;SC_RS09805;SC_RS09810;SC_RS10850;SC_RS10890;SC_RS11270;SC_RS11290;SC_RS11360;SC_RS11705;SC_RS11740;SC_RS12160;SC_RS12165;SC_RS12220;SC_RS12225;SC_RS12230;SC_RS12250;SC_RS12290;SC_RS12405;SC_RS12560;SC_RS12620;SC_RS12830;SC_RS13085;SC_RS13440;SC_RS13935;SC_RS13975;SC_RS13985;SC_RS14790;SC_RS15140;SC_RS15220;SC_RS15765;SC_RS16030;SC_RS16670;SC_RS16890;SC_RS17415;SC_RS17470;SC_RS17920;SC_RS18015;SC_RS18695;SC_RS19115;SC_RS20280;SC_RS20430;SC_RS21640;SC_RS21660;SC_RS22480;SC_RS22525;SC_RS22530;SC_RS22535;SC_RS22745;SC_RS22945;SC_RS23355;SC_RS23650;SC_RS23810;SC_RS24110;SC_RS24505;SC_RS24630;SC_RS24655;SC_RS24905;SC_RS25400;SC_RS25860;SC_RS25880;SC_RS25885;SC_RS26085;SC_RS26750;SC_RS27080;SC_RS27095;SC_RS27840;SC_RS28070;SC_RS28470;SC_RS28475;SC_RS28955;SC_RS28990;SC_RS29530;SC_RS29555;SC_RS29560;SC_RS29615;SC_RS29650;SC_RS29800;SC_RS29830;SC_RS30695;SC_RS30925;SC_RS30930;SC_RS31110;SC_RS31115;SC_RS31120;SC_RS31125;SC_RS32305;SC_RS33360;SC_RS34530;SC_RS34535;SC_RS35015;SC_RS39005	0.00022020421363417108
L	Replication/Repair	59	156	59/2075	1.508	0.00025699077866563476	SC_RS04440;SC_RS07710;SC_RS08015;SC_RS08865;SC_RS09360;SC_RS09560;SC_RS10325;SC_RS10910;SC_RS12030;SC_RS12045;SC_RS12360;SC_RS12470;SC_RS12480;SC_RS12485;SC_RS12700;SC_RS13025;SC_RS13235;SC_RS14870;SC_RS16780;SC_RS17300;SC_RS18030;SC_RS18875;SC_RS19295;SC_RS19840;SC_RS19850;SC_RS20790;SC_RS21510;SC_RS21515;SC_RS21525;SC_RS21535;SC_RS21700;SC_RS22460;SC_RS22465;SC_RS22570;SC_RS22605;SC_RS22640;SC_RS23785;SC_RS25040;SC_RS25600;SC_RS26150;SC_RS26200;SC_RS26205;SC_RS26795;SC_RS27995;SC_RS29235;SC_RS29655;SC_RS30015;SC_RS30045;SC_RS31035;SC_RS31075;SC_RS31250;SC_RS31315;SC_RS31355;SC_RS31425;SC_RS31845;SC_RS32540;SC_RS33560;SC_RS39810;SC_RS40475	0.0015419446719938086
D	Cell division	10	14	10/2075	2.849	0.00034683337919677224	SC_RS12450;SC_RS12455;SC_RS12490;SC_RS12495;SC_RS16945;SC_RS16950;SC_RS17600;SC_RS21405;SC_RS32080;SC_RS32525	0.0015607502063854752
F	Nucleotide metabolism	17	38	17/2075	1.784	0.006410231089454691	SC_RS09785;SC_RS12255;SC_RS12915;SC_RS14950;SC_RS17410;SC_RS17625;SC_RS19030;SC_RS20485;SC_RS20525;SC_RS21015;SC_RS25225;SC_RS26745;SC_RS28310;SC_RS28315;SC_RS30895;SC_RS31265;SC_RS38505	0.023076831922036887
U	Secretion	46	148	46/2075	1.239	0.056584872154379	SC_RS06835;SC_RS09385;SC_RS09410;SC_RS09545;SC_RS09550;SC_RS11280;SC_RS11755;SC_RS12465;SC_RS14475;SC_RS15275;SC_RS15945;SC_RS16660;SC_RS17235;SC_RS17295;SC_RS17500;SC_RS17610;SC_RS17615;SC_RS17715;SC_RS17865;SC_RS19175;SC_RS20205;SC_RS20390;SC_RS20960;SC_RS21745;SC_RS21875;SC_RS23210;SC_RS24650;SC_RS24790;SC_RS24795;SC_RS24810;SC_RS24825;SC_RS24860;SC_RS25410;SC_RS25770;SC_RS26955;SC_RS29915;SC_RS30000;SC_RS30490;SC_RS30815;SC_RS30820;SC_RS30880;SC_RS31100;SC_RS31520;SC_RS32240;SC_RS35940;SC_RS39515	0.169754616463137
T	Signal transduction	97	344	97/2075	1.125	0.09766451292987441	SC_RS06285;SC_RS06290;SC_RS08025;SC_RS08710;SC_RS09170;SC_RS09370;SC_RS09450;SC_RS09770;SC_RS09995;SC_RS10410;SC_RS10810;SC_RS11065;SC_RS11765;SC_RS12110;SC_RS12590;SC_RS12650;SC_RS12670;SC_RS12675;SC_RS13300;SC_RS13525;SC_RS14360;SC_RS14750;SC_RS14935;SC_RS14990;SC_RS15130;SC_RS16120;SC_RS16125;SC_RS16610;SC_RS16970;SC_RS16975;SC_RS17160;SC_RS17425;SC_RS17590;SC_RS17740;SC_RS17805;SC_RS17850;SC_RS18840;SC_RS18910;SC_RS19025;SC_RS19130;SC_RS19170;SC_RS19845;SC_RS20210;SC_RS20745;SC_RS20755;SC_RS20910;SC_RS21225;SC_RS21230;SC_RS21360;SC_RS21375;SC_RS21610;SC_RS21750;SC_RS21850;SC_RS22495;SC_RS22770;SC_RS22850;SC_RS23600;SC_RS24055;SC_RS24400;SC_RS24510;SC_RS24595;SC_RS24700;SC_RS25775;SC_RS26035;SC_RS26045;SC_RS26690;SC_RS26775;SC_RS27100;SC_RS27400;SC_RS28095;SC_RS28220;SC_RS28375;SC_RS28385;SC_RS28595;SC_RS28625;SC_RS28630;SC_RS28960;SC_RS28995;SC_RS29295;SC_RS29310;SC_RS29360;SC_RS29905;SC_RS30025;SC_RS30030;SC_RS30355;SC_RS30770;SC_RS31465;SC_RS31470;SC_RS31545;SC_RS31585;SC_RS32110;SC_RS33340;SC_RS33550;SC_RS34420;SC_RS38310;SC_RS38820;SC_RS40135	0.25113731896253416
O	Chaperones/PTM	56	195	56/2075	1.145	0.1353323352275111	SC_RS05115;SC_RS07325;SC_RS09435;SC_RS10270;SC_RS12325;SC_RS12410;SC_RS12725;SC_RS12895;SC_RS12935;SC_RS13325;SC_RS13355;SC_RS14820;SC_RS15250;SC_RS15290;SC_RS16590;SC_RS16665;SC_RS16680;SC_RS16770;SC_RS17270;SC_RS17400;SC_RS17405;SC_RS18085;SC_RS19290;SC_RS20480;SC_RS20490;SC_RS21130;SC_RS21180;SC_RS21990;SC_RS22710;SC_RS23550;SC_RS23665;SC_RS24315;SC_RS24360;SC_RS24960;SC_RS25200;SC_RS25780;SC_RS25965;SC_RS25970;SC_RS26395;SC_RS26835;SC_RS28090;SC_RS28245;SC_RS28655;SC_RS29475;SC_RS30200;SC_RS30205;SC_RS30690;SC_RS30900;SC_RS31225;SC_RS31230;SC_RS31440;SC_RS32905;SC_RS34010;SC_RS34625;SC_RS34635;SC_RS35150	0.2810154504532682
K	Transcription	218	822	218/2075	1.058	0.167205512796106	SC_RS02915;SC_RS03695;SC_RS04050;SC_RS04060;SC_RS04345;SC_RS04460;SC_RS04520;SC_RS04835;SC_RS04925;SC_RS04975;SC_RS05030;SC_RS05120;SC_RS06045;SC_RS06280;SC_RS07000;SC_RS07085;SC_RS07425;SC_RS07440;SC_RS07910;SC_RS07920;SC_RS08005;SC_RS08260;SC_RS08435;SC_RS08880;SC_RS09025;SC_RS09060;SC_RS09100;SC_RS09210;SC_RS09265;SC_RS09365;SC_RS09415;SC_RS09420;SC_RS09425;SC_RS09855;SC_RS10090;SC_RS10280;SC_RS10470;SC_RS11090;SC_RS11390;SC_RS11550;SC_RS11780;SC_RS12095;SC_RS12540;SC_RS12565;SC_RS12645;SC_RS12950;SC_RS13145;SC_RS13190;SC_RS13245;SC_RS13430;SC_RS13625;SC_RS13905;SC_RS13965;SC_RS14235;SC_RS14245;SC_RS14375;SC_RS14590;SC_RS14725;SC_RS14825;SC_RS15270;SC_RS15295;SC_RS15310;SC_RS15335;SC_RS15850;SC_RS16060;SC_RS16165;SC_RS16330;SC_RS16395;SC_RS16855;SC_RS17040;SC_RS17075;SC_RS17165;SC_RS17285;SC_RS17455;SC_RS17670;SC_RS17945;SC_RS17975;SC_RS18140;SC_RS18415;SC_RS18455;SC_RS18490;SC_RS18705;SC_RS18905;SC_RS19195;SC_RS19550;SC_RS19990;SC_RS20140;SC_RS20165;SC_RS20200;SC_RS20250;SC_RS20265;SC_RS20295;SC_RS20475;SC_RS20710;SC_RS20740;SC_RS20810;SC_RS20905;SC_RS20965;SC_RS21185;SC_RS21235;SC_RS21290;SC_RS21350;SC_RS21355;SC_RS21605;SC_RS21645;SC_RS21680;SC_RS21715;SC_RS22035;SC_RS22050;SC_RS22150;SC_RS22155;SC_RS22190;SC_RS22245;SC_RS22545;SC_RS22780;SC_RS22800;SC_RS22955;SC_RS22980;SC_RS22985;SC_RS23025;SC_RS23085;SC_RS23170;SC_RS23260;SC_RS23300;SC_RS23345;SC_RS23500;SC_RS23535;SC_RS23565;SC_RS23710;SC_RS23750;SC_RS23860;SC_RS23960;SC_RS24095;SC_RS24205;SC_RS24270;SC_RS24390;SC_RS24435;SC_RS24570;SC_RS24625;SC_RS24660;SC_RS24870;SC_RS24895;SC_RS25300;SC_RS25370;SC_RS25375;SC_RS25415;SC_RS25450;SC_RS25455;SC_RS25495;SC_RS25515;SC_RS25805;SC_RS25930;SC_RS25990;SC_RS26275;SC_RS26290;SC_RS26410;SC_RS26490;SC_RS26695;SC_RS26865;SC_RS26925;SC_RS26965;SC_RS27045;SC_RS27105;SC_RS27300;SC_RS27345;SC_RS27500;SC_RS27820;SC_RS28115;SC_RS28300;SC_RS28335;SC_RS28380;SC_RS28505;SC_RS28600;SC_RS28620;SC_RS28795;SC_RS28965;SC_RS29355;SC_RS29600;SC_RS29770;SC_RS29775;SC_RS29825;SC_RS29960;SC_RS29970;SC_RS29990;SC_RS30020;SC_RS30140;SC_RS30495;SC_RS30605;SC_RS30735;SC_RS31080;SC_RS31130;SC_RS31260;SC_RS31445;SC_RS32025;SC_RS32155;SC_RS32850;SC_RS33045;SC_RS33095;SC_RS33325;SC_RS33480;SC_RS33720;SC_RS34005;SC_RS35020;SC_RS35195;SC_RS35265;SC_RS36075;SC_RS36185;SC_RS36200;SC_RS37295;SC_RS37785;SC_RS38065;SC_RS38950;SC_RS39690;SC_RS39790;SC_RS39970;SC_RS40390;SC_RS40820;SC_RS40940	0.2810154504532682
V	Defense	41	142	41/2075	1.151	0.1692495815312154	SC_RS07160;SC_RS08140;SC_RS09335;SC_RS09775;SC_RS09780;SC_RS10000;SC_RS10665;SC_RS11295;SC_RS11305;SC_RS11310;SC_RS11315;SC_RS12025;SC_RS12500;SC_RS12530;SC_RS12890;SC_RS13615;SC_RS14810;SC_RS17855;SC_RS17875;SC_RS18645;SC_RS18690;SC_RS19080;SC_RS21310;SC_RS21570;SC_RS22340;SC_RS23365;SC_RS24685;SC_RS24935;SC_RS25315;SC_RS25365;SC_RS27350;SC_RS27895;SC_RS28985;SC_RS29535;SC_RS29545;SC_RS30050;SC_RS30440;SC_RS31750;SC_RS32105;SC_RS38275;SC_RS39225	0.2810154504532682
