term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
P	Inorganic ion transport	204	491	204/2014	1.707	3.254263940214621e-18	SC_RS02340;SC_RS02345;SC_RS02350;SC_RS02820;SC_RS03210;SC_RS03275;SC_RS03280;SC_RS03285;SC_RS03375;SC_RS03380;SC_RS04160;SC_RS04280;SC_RS04290;SC_RS04295;SC_RS04575;SC_RS04580;SC_RS04605;SC_RS04610;SC_RS04615;SC_RS04815;SC_RS05045;SC_RS05220;SC_RS05225;SC_RS05365;SC_RS05455;SC_RS05470;SC_RS05475;SC_RS05970;SC_RS05975;SC_RS05980;SC_RS06025;SC_RS06700;SC_RS06705;SC_RS06710;SC_RS07110;SC_RS07115;SC_RS07210;SC_RS07235;SC_RS07240;SC_RS07245;SC_RS07270;SC_RS07275;SC_RS07280;SC_RS07650;SC_RS07670;SC_RS08685;SC_RS08800;SC_RS08805;SC_RS09665;SC_RS09670;SC_RS09675;SC_RS10550;SC_RS10725;SC_RS11255;SC_RS11440;SC_RS11460;SC_RS11465;SC_RS11520;SC_RS11525;SC_RS12765;SC_RS13555;SC_RS13560;SC_RS14135;SC_RS14140;SC_RS14145;SC_RS14195;SC_RS14200;SC_RS14250;SC_RS14575;SC_RS15365;SC_RS15370;SC_RS15375;SC_RS15695;SC_RS15705;SC_RS16065;SC_RS16070;SC_RS16075;SC_RS16565;SC_RS16570;SC_RS16575;SC_RS16750;SC_RS16760;SC_RS16765;SC_RS16825;SC_RS16830;SC_RS16880;SC_RS17570;SC_RS18515;SC_RS18810;SC_RS18815;SC_RS19320;SC_RS19390;SC_RS19395;SC_RS19400;SC_RS19405;SC_RS20300;SC_RS20305;SC_RS20665;SC_RS20885;SC_RS20890;SC_RS20895;SC_RS20900;SC_RS21220;SC_RS21250;SC_RS21920;SC_RS21925;SC_RS21930;SC_RS21935;SC_RS22390;SC_RS24195;SC_RS25280;SC_RS25500;SC_RS25505;SC_RS26380;SC_RS26840;SC_RS26845;SC_RS27115;SC_RS27745;SC_RS27750;SC_RS27755;SC_RS27760;SC_RS27810;SC_RS28345;SC_RS28350;SC_RS28575;SC_RS29090;SC_RS29095;SC_RS29320;SC_RS29325;SC_RS29445;SC_RS29450;SC_RS29805;SC_RS30450;SC_RS30455;SC_RS30550;SC_RS30555;SC_RS30650;SC_RS30655;SC_RS30775;SC_RS30780;SC_RS30785;SC_RS30790;SC_RS30795;SC_RS31860;SC_RS31865;SC_RS32670;SC_RS32675;SC_RS32680;SC_RS32805;SC_RS32810;SC_RS32815;SC_RS33070;SC_RS33115;SC_RS33180;SC_RS33185;SC_RS33395;SC_RS33400;SC_RS33405;SC_RS33725;SC_RS34040;SC_RS34045;SC_RS34050;SC_RS34985;SC_RS35035;SC_RS35205;SC_RS35210;SC_RS35215;SC_RS35630;SC_RS36815;SC_RS37265;SC_RS37365;SC_RS37370;SC_RS37375;SC_RS37420;SC_RS38050;SC_RS38055;SC_RS38060;SC_RS38120;SC_RS38125;SC_RS38405;SC_RS39245;SC_RS39250;SC_RS39255;SC_RS39635;SC_RS39640;SC_RS39645;SC_RS39720;SC_RS39725;SC_RS39920;SC_RS39925;SC_RS39930;SC_RS39975;SC_RS39980;SC_RS39985;SC_RS40015;SC_RS40020;SC_RS40025;SC_RS40170;SC_RS40575;SC_RS40580;SC_RS40585;SC_RS40590;SC_RS40635;SC_RS40640	6.508527880429242e-17
G	Carbohydrate metabolism	75	179	75/2014	1.722	1.3103353972398826e-07	SC_RS02230;SC_RS03385;SC_RS03760;SC_RS03770;SC_RS04600;SC_RS04620;SC_RS04690;SC_RS04810;SC_RS05675;SC_RS05755;SC_RS05985;SC_RS06750;SC_RS07230;SC_RS07250;SC_RS07580;SC_RS07665;SC_RS07890;SC_RS11050;SC_RS13160;SC_RS14080;SC_RS14190;SC_RS15535;SC_RS15615;SC_RS15620;SC_RS15640;SC_RS15835;SC_RS16080;SC_RS17010;SC_RS17015;SC_RS17020;SC_RS17095;SC_RS19445;SC_RS19450;SC_RS20495;SC_RS20840;SC_RS20860;SC_RS22230;SC_RS22235;SC_RS24925;SC_RS25825;SC_RS27420;SC_RS29400;SC_RS30620;SC_RS30625;SC_RS30660;SC_RS30665;SC_RS32300;SC_RS32355;SC_RS33155;SC_RS33165;SC_RS33170;SC_RS33175;SC_RS33190;SC_RS33195;SC_RS33200;SC_RS33420;SC_RS33955;SC_RS35030;SC_RS35050;SC_RS35070;SC_RS35095;SC_RS35220;SC_RS35440;SC_RS35965;SC_RS36545;SC_RS37380;SC_RS37990;SC_RS38885;SC_RS38890;SC_RS39230;SC_RS39240;SC_RS39655;SC_RS39665;SC_RS39705;SC_RS40380	1.3103353972398824e-06
C	Energy production	169	499	169/2014	1.392	4.83182420556421e-07	SC_RS02255;SC_RS02535;SC_RS02555;SC_RS02590;SC_RS02650;SC_RS02740;SC_RS02755;SC_RS02845;SC_RS02945;SC_RS02960;SC_RS03020;SC_RS03100;SC_RS03115;SC_RS03215;SC_RS03475;SC_RS03505;SC_RS03515;SC_RS03570;SC_RS03595;SC_RS03605;SC_RS03650;SC_RS03690;SC_RS03735;SC_RS04005;SC_RS04340;SC_RS04505;SC_RS04510;SC_RS05060;SC_RS05090;SC_RS05155;SC_RS05235;SC_RS05260;SC_RS05375;SC_RS05890;SC_RS05995;SC_RS06135;SC_RS06390;SC_RS06410;SC_RS06785;SC_RS06795;SC_RS06805;SC_RS06880;SC_RS07585;SC_RS07845;SC_RS08300;SC_RS08305;SC_RS08310;SC_RS08335;SC_RS08365;SC_RS08385;SC_RS08390;SC_RS09115;SC_RS09200;SC_RS10070;SC_RS10475;SC_RS10520;SC_RS10570;SC_RS11040;SC_RS13140;SC_RS14045;SC_RS14395;SC_RS14415;SC_RS14435;SC_RS14480;SC_RS14505;SC_RS15045;SC_RS15570;SC_RS15955;SC_RS15980;SC_RS17370;SC_RS17960;SC_RS19425;SC_RS20855;SC_RS20970;SC_RS21125;SC_RS21910;SC_RS22030;SC_RS23030;SC_RS23035;SC_RS23515;SC_RS23540;SC_RS24080;SC_RS24965;SC_RS24975;SC_RS24980;SC_RS24985;SC_RS24995;SC_RS25000;SC_RS25005;SC_RS25010;SC_RS25015;SC_RS25020;SC_RS25025;SC_RS25030;SC_RS26060;SC_RS26065;SC_RS26370;SC_RS26895;SC_RS27025;SC_RS27415;SC_RS27520;SC_RS27525;SC_RS27535;SC_RS27545;SC_RS27690;SC_RS27695;SC_RS28785;SC_RS30545;SC_RS31890;SC_RS32145;SC_RS32165;SC_RS32210;SC_RS32495;SC_RS33110;SC_RS33450;SC_RS33495;SC_RS33735;SC_RS34400;SC_RS34405;SC_RS34570;SC_RS34670;SC_RS34675;SC_RS34990;SC_RS34995;SC_RS35130;SC_RS35295;SC_RS35575;SC_RS35890;SC_RS36110;SC_RS36115;SC_RS36125;SC_RS36135;SC_RS36145;SC_RS36245;SC_RS36900;SC_RS37215;SC_RS37400;SC_RS37425;SC_RS37765;SC_RS37770;SC_RS37795;SC_RS37810;SC_RS37820;SC_RS37825;SC_RS37840;SC_RS37845;SC_RS37850;SC_RS37980;SC_RS38030;SC_RS38270;SC_RS38390;SC_RS38395;SC_RS38665;SC_RS39140;SC_RS39145;SC_RS39270;SC_RS39650;SC_RS39755;SC_RS39825;SC_RS40320;SC_RS40520;SC_RS40535;SC_RS40610;SC_RS40615;SC_RS40620;SC_RS40710;SC_RS40965;SC_RS41220;SC_RS41240	3.2212161370428067e-06
R	General function	744	2848	744/2014	1.073	0.0034056081315045903	SC_RS01870;SC_RS02190;SC_RS02250;SC_RS02270;SC_RS02280;SC_RS02355;SC_RS02360;SC_RS02405;SC_RS02410;SC_RS02415;SC_RS02420;SC_RS02510;SC_RS02580;SC_RS02665;SC_RS02720;SC_RS02750;SC_RS02760;SC_RS02765;SC_RS02780;SC_RS02790;SC_RS02800;SC_RS02805;SC_RS02810;SC_RS02815;SC_RS02825;SC_RS02830;SC_RS02835;SC_RS02840;SC_RS02850;SC_RS02855;SC_RS02870;SC_RS02940;SC_RS02950;SC_RS02975;SC_RS02980;SC_RS02995;SC_RS03010;SC_RS03060;SC_RS03200;SC_RS03205;SC_RS03255;SC_RS03290;SC_RS03310;SC_RS03340;SC_RS03370;SC_RS03390;SC_RS03395;SC_RS03480;SC_RS03485;SC_RS03555;SC_RS03580;SC_RS03590;SC_RS03620;SC_RS03625;SC_RS03645;SC_RS03660;SC_RS03685;SC_RS03725;SC_RS03745;SC_RS03755;SC_RS03765;SC_RS03785;SC_RS03940;SC_RS04025;SC_RS04085;SC_RS04120;SC_RS04125;SC_RS04150;SC_RS04155;SC_RS04165;SC_RS04200;SC_RS04205;SC_RS04265;SC_RS04285;SC_RS04325;SC_RS04330;SC_RS04435;SC_RS04445;SC_RS04555;SC_RS04560;SC_RS04570;SC_RS04585;SC_RS04590;SC_RS04650;SC_RS04695;SC_RS04700;SC_RS04740;SC_RS04745;SC_RS04830;SC_RS04900;SC_RS04930;SC_RS05000;SC_RS05005;SC_RS05135;SC_RS05170;SC_RS05175;SC_RS05190;SC_RS05195;SC_RS05200;SC_RS05285;SC_RS05290;SC_RS05350;SC_RS05490;SC_RS05530;SC_RS05660;SC_RS05700;SC_RS05760;SC_RS05875;SC_RS05880;SC_RS05885;SC_RS05965;SC_RS05990;SC_RS06005;SC_RS06015;SC_RS06110;SC_RS06140;SC_RS06155;SC_RS06200;SC_RS06270;SC_RS06400;SC_RS06405;SC_RS06425;SC_RS06440;SC_RS06445;SC_RS06600;SC_RS06630;SC_RS06655;SC_RS06695;SC_RS06755;SC_RS06770;SC_RS06820;SC_RS06870;SC_RS07010;SC_RS07090;SC_RS07105;SC_RS07120;SC_RS07135;SC_RS07155;SC_RS07200;SC_RS07215;SC_RS07260;SC_RS07265;SC_RS07445;SC_RS07540;SC_RS07590;SC_RS07595;SC_RS07640;SC_RS07645;SC_RS07850;SC_RS07895;SC_RS07900;SC_RS07905;SC_RS07970;SC_RS08045;SC_RS08280;SC_RS08285;SC_RS08325;SC_RS08370;SC_RS08395;SC_RS08495;SC_RS08615;SC_RS08715;SC_RS08860;SC_RS09030;SC_RS09120;SC_RS09195;SC_RS09260;SC_RS09405;SC_RS09640;SC_RS09655;SC_RS09880;SC_RS09900;SC_RS09930;SC_RS10095;SC_RS10215;SC_RS10445;SC_RS10460;SC_RS10560;SC_RS10565;SC_RS10680;SC_RS10825;SC_RS10835;SC_RS10840;SC_RS10845;SC_RS11060;SC_RS11180;SC_RS11425;SC_RS11435;SC_RS11445;SC_RS11455;SC_RS11470;SC_RS11485;SC_RS11490;SC_RS11505;SC_RS11695;SC_RS11950;SC_RS11960;SC_RS12175;SC_RS12180;SC_RS12185;SC_RS12190;SC_RS12200;SC_RS12580;SC_RS12695;SC_RS13050;SC_RS13075;SC_RS13120;SC_RS13135;SC_RS13265;SC_RS13345;SC_RS13470;SC_RS13480;SC_RS13485;SC_RS13495;SC_RS13660;SC_RS13665;SC_RS13750;SC_RS14030;SC_RS14035;SC_RS14040;SC_RS14090;SC_RS14095;SC_RS14105;SC_RS14110;SC_RS14115;SC_RS14120;SC_RS14125;SC_RS14130;SC_RS14205;SC_RS14290;SC_RS14305;SC_RS14405;SC_RS14410;SC_RS14485;SC_RS14490;SC_RS14510;SC_RS14560;SC_RS14565;SC_RS14645;SC_RS14655;SC_RS14730;SC_RS14755;SC_RS14760;SC_RS14765;SC_RS14775;SC_RS14885;SC_RS15235;SC_RS15305;SC_RS15320;SC_RS15500;SC_RS15505;SC_RS15525;SC_RS15540;SC_RS15550;SC_RS15565;SC_RS15635;SC_RS15645;SC_RS15650;SC_RS15690;SC_RS15700;SC_RS15785;SC_RS15800;SC_RS15845;SC_RS15865;SC_RS15965;SC_RS16035;SC_RS16085;SC_RS16150;SC_RS16370;SC_RS16415;SC_RS16630;SC_RS16635;SC_RS16730;SC_RS16735;SC_RS16745;SC_RS16785;SC_RS16835;SC_RS16885;SC_RS17325;SC_RS17465;SC_RS17475;SC_RS17480;SC_RS17505;SC_RS17535;SC_RS17540;SC_RS17550;SC_RS17645;SC_RS17665;SC_RS17780;SC_RS17965;SC_RS17970;SC_RS18135;SC_RS18380;SC_RS18395;SC_RS18405;SC_RS18495;SC_RS18500;SC_RS18505;SC_RS18560;SC_RS18565;SC_RS18605;SC_RS18745;SC_RS18755;SC_RS18760;SC_RS18765;SC_RS18835;SC_RS18925;SC_RS18950;SC_RS18955;SC_RS19200;SC_RS19250;SC_RS19415;SC_RS19465;SC_RS19485;SC_RS19595;SC_RS19600;SC_RS19660;SC_RS19690;SC_RS19695;SC_RS19705;SC_RS19795;SC_RS19825;SC_RS19915;SC_RS19945;SC_RS20060;SC_RS20075;SC_RS20095;SC_RS20130;SC_RS20135;SC_RS20145;SC_RS20150;SC_RS20310;SC_RS20355;SC_RS20360;SC_RS20505;SC_RS20575;SC_RS20585;SC_RS20595;SC_RS20635;SC_RS20670;SC_RS20695;SC_RS20715;SC_RS20720;SC_RS20725;SC_RS20865;SC_RS20925;SC_RS20980;SC_RS20995;SC_RS21110;SC_RS21340;SC_RS21475;SC_RS21720;SC_RS21735;SC_RS21795;SC_RS21815;SC_RS21825;SC_RS22015;SC_RS22095;SC_RS22125;SC_RS22270;SC_RS22275;SC_RS22410;SC_RS22440;SC_RS22445;SC_RS22625;SC_RS22685;SC_RS22775;SC_RS22925;SC_RS22990;SC_RS23100;SC_RS23160;SC_RS23255;SC_RS23510;SC_RS23555;SC_RS23580;SC_RS23585;SC_RS23840;SC_RS23890;SC_RS24015;SC_RS24060;SC_RS24240;SC_RS24275;SC_RS24350;SC_RS24365;SC_RS24395;SC_RS24420;SC_RS24555;SC_RS24575;SC_RS24580;SC_RS24590;SC_RS24635;SC_RS24915;SC_RS24970;SC_RS25075;SC_RS25095;SC_RS25245;SC_RS25250;SC_RS25260;SC_RS25265;SC_RS25380;SC_RS25435;SC_RS25595;SC_RS25620;SC_RS25935;SC_RS25940;SC_RS25955;SC_RS25960;SC_RS26245;SC_RS26365;SC_RS26385;SC_RS26660;SC_RS26675;SC_RS26815;SC_RS26850;SC_RS26860;SC_RS26880;SC_RS27075;SC_RS27180;SC_RS27250;SC_RS27425;SC_RS27490;SC_RS27515;SC_RS27540;SC_RS27555;SC_RS27575;SC_RS27580;SC_RS27610;SC_RS27615;SC_RS27625;SC_RS27635;SC_RS27955;SC_RS27975;SC_RS28065;SC_RS28215;SC_RS28355;SC_RS28525;SC_RS28530;SC_RS28535;SC_RS28540;SC_RS28545;SC_RS28550;SC_RS28555;SC_RS28570;SC_RS28580;SC_RS28690;SC_RS28695;SC_RS28700;SC_RS28705;SC_RS28725;SC_RS28800;SC_RS28815;SC_RS28870;SC_RS28910;SC_RS29185;SC_RS29220;SC_RS29365;SC_RS29465;SC_RS29550;SC_RS29595;SC_RS29695;SC_RS29810;SC_RS29815;SC_RS29820;SC_RS29840;SC_RS29855;SC_RS30240;SC_RS30280;SC_RS30375;SC_RS30390;SC_RS30640;SC_RS30645;SC_RS30670;SC_RS30715;SC_RS31170;SC_RS31475;SC_RS31655;SC_RS31660;SC_RS31715;SC_RS31725;SC_RS31730;SC_RS31775;SC_RS31800;SC_RS31835;SC_RS31840;SC_RS31880;SC_RS31895;SC_RS31905;SC_RS31910;SC_RS31940;SC_RS31960;SC_RS31980;SC_RS31995;SC_RS32060;SC_RS32065;SC_RS32115;SC_RS32135;SC_RS32150;SC_RS32170;SC_RS32175;SC_RS32205;SC_RS32320;SC_RS32335;SC_RS32340;SC_RS32345;SC_RS32350;SC_RS32360;SC_RS32415;SC_RS32420;SC_RS32445;SC_RS32490;SC_RS32500;SC_RS32515;SC_RS32695;SC_RS32820;SC_RS32855;SC_RS33080;SC_RS33105;SC_RS33120;SC_RS33150;SC_RS33205;SC_RS33270;SC_RS33310;SC_RS33315;SC_RS33320;SC_RS33380;SC_RS33385;SC_RS33410;SC_RS33435;SC_RS33500;SC_RS33545;SC_RS33750;SC_RS33865;SC_RS33875;SC_RS33905;SC_RS33910;SC_RS33935;SC_RS33940;SC_RS33950;SC_RS34000;SC_RS34055;SC_RS34065;SC_RS34070;SC_RS34095;SC_RS34105;SC_RS34160;SC_RS34175;SC_RS34265;SC_RS34295;SC_RS34360;SC_RS34370;SC_RS34380;SC_RS34495;SC_RS34590;SC_RS34600;SC_RS34680;SC_RS34840;SC_RS34845;SC_RS34865;SC_RS34870;SC_RS34905;SC_RS34925;SC_RS34930;SC_RS34955;SC_RS34970;SC_RS34975;SC_RS35000;SC_RS35005;SC_RS35040;SC_RS35045;SC_RS35055;SC_RS35065;SC_RS35075;SC_RS35085;SC_RS35100;SC_RS35185;SC_RS35200;SC_RS35260;SC_RS35305;SC_RS35340;SC_RS35425;SC_RS35460;SC_RS35515;SC_RS35540;SC_RS35570;SC_RS35585;SC_RS35590;SC_RS35595;SC_RS35600;SC_RS35605;SC_RS35675;SC_RS35685;SC_RS35690;SC_RS35735;SC_RS35740;SC_RS35785;SC_RS35790;SC_RS36080;SC_RS36235;SC_RS36240;SC_RS36385;SC_RS36390;SC_RS36400;SC_RS36420;SC_RS36445;SC_RS36455;SC_RS36465;SC_RS36515;SC_RS36520;SC_RS36600;SC_RS36605;SC_RS36680;SC_RS36690;SC_RS36695;SC_RS36700;SC_RS36705;SC_RS36715;SC_RS36720;SC_RS36755;SC_RS36785;SC_RS36790;SC_RS36820;SC_RS36855;SC_RS36865;SC_RS36870;SC_RS36875;SC_RS36905;SC_RS36910;SC_RS36920;SC_RS36930;SC_RS36950;SC_RS36975;SC_RS36980;SC_RS36985;SC_RS37020;SC_RS37025;SC_RS37150;SC_RS37185;SC_RS37275;SC_RS37320;SC_RS37325;SC_RS37410;SC_RS37455;SC_RS37495;SC_RS37520;SC_RS37620;SC_RS37680;SC_RS37695;SC_RS37700;SC_RS37725;SC_RS37775;SC_RS37780;SC_RS37805;SC_RS37830;SC_RS37835;SC_RS37855;SC_RS37865;SC_RS37870;SC_RS37880;SC_RS37885;SC_RS37900;SC_RS37975;SC_RS38000;SC_RS38005;SC_RS38010;SC_RS38025;SC_RS38035;SC_RS38040;SC_RS38070;SC_RS38200;SC_RS38245;SC_RS38265;SC_RS38335;SC_RS38340;SC_RS38345;SC_RS38350;SC_RS38355;SC_RS38420;SC_RS38440;SC_RS38530;SC_RS38585;SC_RS38595;SC_RS38625;SC_RS38725;SC_RS38780;SC_RS38905;SC_RS38945;SC_RS38955;SC_RS39050;SC_RS39075;SC_RS39080;SC_RS39085;SC_RS39095;SC_RS39115;SC_RS39130;SC_RS39135;SC_RS39150;SC_RS39165;SC_RS39175;SC_RS39235;SC_RS39280;SC_RS39365;SC_RS39390;SC_RS39455;SC_RS39460;SC_RS39590;SC_RS39615;SC_RS39660;SC_RS39675;SC_RS39700;SC_RS39715;SC_RS39730;SC_RS39765;SC_RS39820;SC_RS39860;SC_RS39875;SC_RS39880;SC_RS39935;SC_RS40030;SC_RS40035;SC_RS40040;SC_RS40045;SC_RS40075;SC_RS40080;SC_RS40085;SC_RS40150;SC_RS40200;SC_RS40405;SC_RS40445;SC_RS40490;SC_RS40525;SC_RS40550;SC_RS40555;SC_RS40625;SC_RS40865;SC_RS40875;SC_RS40880;SC_RS40905;SC_RS40955;SC_RS41045;SC_RS41110;SC_RS41160;SC_RS41205;SC_RS41245;SC_RS41275	0.01702804065752295
I	Lipid metabolism	26	68	26/2014	1.571	0.007345084383860644	SC_RS03520;SC_RS04660;SC_RS04945;SC_RS06685;SC_RS08320;SC_RS10485;SC_RS10685;SC_RS14515;SC_RS20350;SC_RS20545;SC_RS20915;SC_RS20920;SC_RS23950;SC_RS24670;SC_RS24930;SC_RS25625;SC_RS26160;SC_RS27495;SC_RS27590;SC_RS27605;SC_RS31680;SC_RS31690;SC_RS31740;SC_RS34115;SC_RS39185;SC_RS39855	0.029380337535442575
H	Coenzyme metabolism	51	156	51/2014	1.343	0.010701832206205958	SC_RS02365;SC_RS02595;SC_RS02865;SC_RS03470;SC_RS03510;SC_RS03720;SC_RS03730;SC_RS04000;SC_RS05370;SC_RS06780;SC_RS06800;SC_RS06995;SC_RS09220;SC_RS09885;SC_RS09890;SC_RS11510;SC_RS12195;SC_RS14440;SC_RS15950;SC_RS15970;SC_RS15975;SC_RS20610;SC_RS20825;SC_RS23520;SC_RS24070;SC_RS24075;SC_RS24090;SC_RS24675;SC_RS26810;SC_RS31710;SC_RS31900;SC_RS31985;SC_RS32075;SC_RS32140;SC_RS33100;SC_RS33505;SC_RS35110;SC_RS35115;SC_RS35700;SC_RS35840;SC_RS36105;SC_RS36120;SC_RS37800;SC_RS39055;SC_RS39265;SC_RS40160;SC_RS40330;SC_RS40495;SC_RS41005;SC_RS41115;SC_RS41120	0.035672774020686526
Q	Secondary metabolism	6	15	6/2014	1.643	0.13398730354042437	SC_RS24065;SC_RS27560;SC_RS27565;SC_RS27620;SC_RS36860;SC_RS38115	0.3828208672583554
N	Motility	1	2	1/2014	2.054	0.4275540093197706	SC_RS19895	0.9999999999998976
M	Cell wall	24	105	24/2014	0.939	0.6754595328121655	SC_RS02955;SC_RS04935;SC_RS08400;SC_RS09085;SC_RS09765;SC_RS12740;SC_RS14085;SC_RS15630;SC_RS16355;SC_RS17315;SC_RS18555;SC_RS19430;SC_RS20050;SC_RS20100;SC_RS20125;SC_RS20975;SC_RS28685;SC_RS32070;SC_RS32425;SC_RS32940;SC_RS33260;SC_RS33860;SC_RS35450;SC_RS36805	0.9999999999998976
L	Replication/Repair	35	156	35/2014	0.922	0.7402293444854808	SC_RS02430;SC_RS02435;SC_RS07785;SC_RS15625;SC_RS15685;SC_RS18370;SC_RS18535;SC_RS19040;SC_RS19760;SC_RS20110;SC_RS23240;SC_RS23925;SC_RS24085;SC_RS24680;SC_RS25235;SC_RS28080;SC_RS28720;SC_RS28920;SC_RS30320;SC_RS30385;SC_RS31700;SC_RS31845;SC_RS32160;SC_RS33255;SC_RS34685;SC_RS34950;SC_RS35105;SC_RS35120;SC_RS35125;SC_RS35720;SC_RS36215;SC_RS36405;SC_RS36735;SC_RS38940;SC_RS39745	0.9999999999998976
