term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
D	Cell division	3	14	3/303	5.852	0.013104924643162914	SC_RS12455;SC_RS19920;SC_RS32080	0.23588864357693246
R	General function	117	2848	117/303	1.122	0.06703321055331748	SC_RS02670;SC_RS02810;SC_RS03250;SC_RS03485;SC_RS03625;SC_RS04055;SC_RS04125;SC_RS04200;SC_RS04270;SC_RS04640;SC_RS04645;SC_RS04780;SC_RS04860;SC_RS05135;SC_RS05330;SC_RS05585;SC_RS05825;SC_RS06110;SC_RS06230;SC_RS06245;SC_RS07535;SC_RS07550;SC_RS07905;SC_RS08425;SC_RS08540;SC_RS08895;SC_RS09330;SC_RS09350;SC_RS09840;SC_RS09930;SC_RS10030;SC_RS10145;SC_RS10200;SC_RS10245;SC_RS10435;SC_RS10450;SC_RS11000;SC_RS11165;SC_RS11210;SC_RS12130;SC_RS12685;SC_RS13380;SC_RS13610;SC_RS13645;SC_RS13930;SC_RS15485;SC_RS15500;SC_RS16380;SC_RS16925;SC_RS17090;SC_RS17605;SC_RS17800;SC_RS18540;SC_RS19835;SC_RS19915;SC_RS20380;SC_RS21115;SC_RS21340;SC_RS22555;SC_RS23395;SC_RS23420;SC_RS23510;SC_RS23795;SC_RS24180;SC_RS24480;SC_RS24635;SC_RS24940;SC_RS26335;SC_RS26660;SC_RS27440;SC_RS27990;SC_RS28215;SC_RS28320;SC_RS28525;SC_RS28555;SC_RS29550;SC_RS31180;SC_RS31240;SC_RS31380;SC_RS31730;SC_RS31905;SC_RS31910;SC_RS32035;SC_RS32040;SC_RS32445;SC_RS32580;SC_RS33295;SC_RS33730;SC_RS34185;SC_RS34380;SC_RS34680;SC_RS34880;SC_RS34890;SC_RS35055;SC_RS35075;SC_RS35240;SC_RS35420;SC_RS35685;SC_RS35805;SC_RS36055;SC_RS36280;SC_RS36315;SC_RS36435;SC_RS36715;SC_RS36920;SC_RS37135;SC_RS37320;SC_RS37865;SC_RS38685;SC_RS38955;SC_RS39115;SC_RS39380;SC_RS39440;SC_RS39460;SC_RS40045;SC_RS40075;SC_RS40755	0.6032988949798574
O	Chaperones/PTM	9	195	9/303	1.26	0.2857392958205102	SC_RS05590;SC_RS06075;SC_RS09135;SC_RS15160;SC_RS17270;SC_RS24960;SC_RS27510;SC_RS28655;SC_RS29420	0.7475290332401319
G	Carbohydrate metabolism	8	179	8/303	1.221	0.33315428345297093	SC_RS04810;SC_RS10905;SC_RS13175;SC_RS17020;SC_RS25065;SC_RS33200;SC_RS35070;SC_RS40360	0.7475290332401319
F	Nucleotide metabolism	2	38	2/303	1.437	0.4080069315537922	SC_RS17410;SC_RS27670	0.7475290332401319
E	Amino acid metabolism	12	301	12/303	1.089	0.42328841436892567	SC_RS02600;SC_RS03150;SC_RS08180;SC_RS08185;SC_RS08315;SC_RS09910;SC_RS11915;SC_RS23355;SC_RS34805;SC_RS37065;SC_RS38135;SC_RS39740	0.7475290332401319
I	Lipid metabolism	3	68	3/303	1.205	0.45642950492658085	SC_RS04660;SC_RS09845;SC_RS39185	0.7475290332401319
C	Energy production	19	499	19/303	1.04	0.46429831544972977	SC_RS03040;SC_RS03130;SC_RS05830;SC_RS06120;SC_RS06170;SC_RS07820;SC_RS07950;SC_RS15980;SC_RS20320;SC_RS21125;SC_RS34510;SC_RS34670;SC_RS34675;SC_RS36110;SC_RS36175;SC_RS39015;SC_RS39140;SC_RS39290;SC_RS39825	0.7475290332401319
T	Signal transduction	13	344	13/303	1.032	0.49448801451851765	SC_RS03920;SC_RS04670;SC_RS05300;SC_RS05715;SC_RS06185;SC_RS08040;SC_RS13105;SC_RS28630;SC_RS31365;SC_RS34165;SC_RS35525;SC_RS37270;SC_RS38670	0.7475290332401319
J	Translation	6	155	6/303	1.057	0.5040603718015729	SC_RS09480;SC_RS11045;SC_RS19155;SC_RS26355;SC_RS29675;SC_RS40605	0.7475290332401319
H	Coenzyme metabolism	6	156	6/303	1.05	0.5103756701330997	SC_RS05370;SC_RS07660;SC_RS14255;SC_RS24070;SC_RS32075;SC_RS33670	0.7475290332401319
K	Transcription	30	822	30/303	0.997	0.5370616105875374	SC_RS03135;SC_RS03600;SC_RS03710;SC_RS05485;SC_RS06310;SC_RS06430;SC_RS07805;SC_RS08720;SC_RS09080;SC_RS09835;SC_RS11030;SC_RS13145;SC_RS17795;SC_RS18160;SC_RS19190;SC_RS21600;SC_RS22420;SC_RS22780;SC_RS24380;SC_RS25370;SC_RS26965;SC_RS29350;SC_RS30140;SC_RS31385;SC_RS32025;SC_RS33745;SC_RS36220;SC_RS37035;SC_RS39850;SC_RS40705	0.7475290332401319
M	Cell wall	4	105	4/303	1.04	0.5398820795623175	SC_RS08400;SC_RS26400;SC_RS32875;SC_RS38515	0.7475290332401319
U	Secretion	5	148	5/303	0.923	0.6360001018326793	SC_RS07655;SC_RS11755;SC_RS17860;SC_RS18310;SC_RS24385	0.8177144166420163
V	Defense	4	142	4/303	0.769	0.7696040195106977	SC_RS26345;SC_RS29545;SC_RS39225;SC_RS39465	0.8777479113626033
P	Inorganic ion transport	15	491	15/303	0.834	0.8033645291641565	SC_RS05470;SC_RS05970;SC_RS09695;SC_RS10550;SC_RS10945;SC_RS14055;SC_RS16825;SC_RS24155;SC_RS25280;SC_RS26590;SC_RS27340;SC_RS30795;SC_RS32050;SC_RS32550;SC_RS35210	0.8777479113626033
L	Replication/Repair	4	156	4/303	0.7	0.8289841385091253	SC_RS02075;SC_RS31250;SC_RS34950;SC_RS38940	0.8777479113626033
