term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
R	General function	57	2848	57/144	1.15	0.11046726256396062	SC_RS02670;SC_RS03250;SC_RS03485;SC_RS03625;SC_RS04200;SC_RS04270;SC_RS04640;SC_RS04780;SC_RS05330;SC_RS05585;SC_RS05825;SC_RS06230;SC_RS07550;SC_RS08540;SC_RS09330;SC_RS09930;SC_RS10145;SC_RS10245;SC_RS10435;SC_RS11000;SC_RS11210;SC_RS12685;SC_RS13380;SC_RS15485;SC_RS16925;SC_RS17090;SC_RS17605;SC_RS19835;SC_RS21115;SC_RS23420;SC_RS24180;SC_RS24940;SC_RS26660;SC_RS27440;SC_RS28320;SC_RS28525;SC_RS29550;SC_RS31240;SC_RS31730;SC_RS31905;SC_RS31910;SC_RS32035;SC_RS32040;SC_RS32445;SC_RS32580;SC_RS33295;SC_RS34680;SC_RS34890;SC_RS35055;SC_RS35075;SC_RS36055;SC_RS36280;SC_RS36435;SC_RS37865;SC_RS38955;SC_RS39115;SC_RS40075	0.8608842464803811
D	Cell division	1	14	1/144	4.105	0.21805042840305708	SC_RS19920	0.8608842464803811
E	Amino acid metabolism	7	301	7/144	1.336	0.27009074598074484	SC_RS02600;SC_RS08185;SC_RS11915;SC_RS23355;SC_RS34805;SC_RS37065;SC_RS38135	0.8608842464803811
P	Inorganic ion transport	10	491	10/144	1.17	0.3502891523184741	SC_RS09695;SC_RS10945;SC_RS14055;SC_RS16825;SC_RS25280;SC_RS26590;SC_RS30795;SC_RS32050;SC_RS32550;SC_RS35210	0.8608842464803811
C	Energy production	10	499	10/144	1.152	0.36916541804908065	SC_RS03130;SC_RS05830;SC_RS07950;SC_RS15980;SC_RS20320;SC_RS34670;SC_RS34675;SC_RS36110;SC_RS39140;SC_RS39825	0.8608842464803811
T	Signal transduction	7	344	7/144	1.169	0.39132882775631334	SC_RS03920;SC_RS04670;SC_RS05715;SC_RS08040;SC_RS13105;SC_RS35525;SC_RS38670	0.8608842464803811
O	Chaperones/PTM	4	195	4/144	1.179	0.4419293066521208	SC_RS05590;SC_RS15160;SC_RS17270;SC_RS27510	0.8608842464803811
H	Coenzyme metabolism	3	156	3/144	1.105	0.5131313522315935	SC_RS05370;SC_RS07660;SC_RS14255	0.8608842464803811
M	Cell wall	2	105	2/144	1.095	0.5488731419189322	SC_RS32875;SC_RS38515	0.8608842464803811
K	Transcription	14	822	14/144	0.979	0.5757046263356596	SC_RS03135;SC_RS06430;SC_RS09835;SC_RS13145;SC_RS19190;SC_RS21600;SC_RS22780;SC_RS25370;SC_RS26965;SC_RS30140;SC_RS31385;SC_RS32025;SC_RS33745;SC_RS37035	0.8608842464803811
G	Carbohydrate metabolism	3	179	3/144	0.963	0.6067741157058235	SC_RS04810;SC_RS25065;SC_RS40360	0.8608842464803811
I	Lipid metabolism	1	68	1/144	0.845	0.6983966454688848	SC_RS39185	0.8608842464803811
U	Secretion	2	148	2/144	0.777	0.7333165645183746	SC_RS07655;SC_RS11755	0.8608842464803811
J	Translation	2	155	2/144	0.741	0.7564438443987762	SC_RS09480;SC_RS19155	0.8608842464803811
L	Replication/Repair	2	156	2/144	0.737	0.7596037468944539	SC_RS34950;SC_RS38940	0.8608842464803811
V	Defense	1	142	1/144	0.405	0.9190954785245631	SC_RS29545	0.9765389459323482
S	Unknown	18	1597	18/144	0.648	0.9890438792846806	SC_RS03665;SC_RS04710;SC_RS11130;SC_RS11215;SC_RS13370;SC_RS17265;SC_RS20325;SC_RS22665;SC_RS23185;SC_RS23730;SC_RS28520;SC_RS32020;SC_RS32200;SC_RS32440;SC_RS32865;SC_RS33880;SC_RS36450;SC_RS37030	0.9890438792846806
