term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
D	Cell division	3	14	3/336	5.277	0.01730347391281548	SC_RS12435;SC_RS12455;SC_RS32080	0.3114625304306786
V	Defense	10	142	10/336	1.734	0.06301452645312616	SC_RS06105;SC_RS06595;SC_RS11875;SC_RS26345;SC_RS30440;SC_RS38275;SC_RS38280;SC_RS39225;SC_RS39465;SC_RS40100	0.45815322807358355
C	Energy production	27	499	27/336	1.333	0.07635887134559725	SC_RS03040;SC_RS03130;SC_RS03820;SC_RS04840;SC_RS06120;SC_RS06170;SC_RS06390;SC_RS07820;SC_RS08365;SC_RS12945;SC_RS12955;SC_RS18675;SC_RS20855;SC_RS21125;SC_RS29645;SC_RS34510;SC_RS35130;SC_RS36115;SC_RS36175;SC_RS39015;SC_RS39290;SC_RS39965;SC_RS40335;SC_RS40485;SC_RS40610;SC_RS40615;SC_RS41080	0.45815322807358355
H	Coenzyme metabolism	9	156	9/336	1.421	0.1832665310399624	SC_RS06995;SC_RS24070;SC_RS32075;SC_RS33145;SC_RS33670;SC_RS37385;SC_RS40310;SC_RS40325;SC_RS40330	0.7172442153607991
F	Nucleotide metabolism	3	38	3/336	1.944	0.19923450426688863	SC_RS17410;SC_RS27670;SC_RS38765	0.7172442153607991
I	Lipid metabolism	4	68	4/336	1.449	0.29801131489830573	SC_RS04660;SC_RS07380;SC_RS08095;SC_RS09845	0.8940339446949173
O	Chaperones/PTM	9	195	9/336	1.137	0.3955074193626123	SC_RS05690;SC_RS06075;SC_RS06225;SC_RS09135;SC_RS10240;SC_RS24960;SC_RS28655;SC_RS29420;SC_RS40220	0.91739321212005
G	Carbohydrate metabolism	8	179	8/336	1.101	0.4423607494463709	SC_RS10905;SC_RS13175;SC_RS17020;SC_RS20860;SC_RS29005;SC_RS33200;SC_RS35070;SC_RS39795	0.91739321212005
R	General function	116	2848	116/336	1.003	0.5043505269962502	SC_RS02090;SC_RS02810;SC_RS02875;SC_RS03390;SC_RS03540;SC_RS03785;SC_RS03790;SC_RS04055;SC_RS04125;SC_RS04370;SC_RS04435;SC_RS04645;SC_RS04860;SC_RS04900;SC_RS04960;SC_RS05035;SC_RS05135;SC_RS06015;SC_RS06110;SC_RS06230;SC_RS06245;SC_RS06905;SC_RS07215;SC_RS07375;SC_RS07535;SC_RS07560;SC_RS07905;SC_RS08425;SC_RS08895;SC_RS08955;SC_RS09070;SC_RS09350;SC_RS09840;SC_RS10030;SC_RS10200;SC_RS10450;SC_RS10835;SC_RS10845;SC_RS11025;SC_RS11165;SC_RS11695;SC_RS12130;SC_RS13610;SC_RS13645;SC_RS13930;SC_RS14545;SC_RS14780;SC_RS15500;SC_RS16380;SC_RS17800;SC_RS18540;SC_RS19915;SC_RS20380;SC_RS21115;SC_RS21340;SC_RS21755;SC_RS22555;SC_RS23395;SC_RS23510;SC_RS23795;SC_RS24480;SC_RS24635;SC_RS26335;SC_RS27990;SC_RS28215;SC_RS28555;SC_RS29495;SC_RS30370;SC_RS30720;SC_RS31180;SC_RS31380;SC_RS32330;SC_RS32570;SC_RS33140;SC_RS33730;SC_RS33950;SC_RS34185;SC_RS34250;SC_RS34380;SC_RS34880;SC_RS35045;SC_RS35240;SC_RS35420;SC_RS35685;SC_RS35805;SC_RS35905;SC_RS36315;SC_RS36715;SC_RS36820;SC_RS36920;SC_RS37135;SC_RS37320;SC_RS37520;SC_RS37910;SC_RS38380;SC_RS38610;SC_RS38680;SC_RS38685;SC_RS38905;SC_RS39065;SC_RS39085;SC_RS39090;SC_RS39380;SC_RS39440;SC_RS39460;SC_RS39660;SC_RS40040;SC_RS40045;SC_RS40455;SC_RS40490;SC_RS40555;SC_RS40560;SC_RS40755;SC_RS40865;SC_RS41020;SC_RS41345	0.91739321212005
K	Transcription	33	822	33/336	0.989	0.5559784290023269	SC_RS02455;SC_RS03600;SC_RS03710;SC_RS05485;SC_RS06310;SC_RS07000;SC_RS07285;SC_RS07805;SC_RS07910;SC_RS08090;SC_RS08720;SC_RS09080;SC_RS10280;SC_RS11030;SC_RS16920;SC_RS17795;SC_RS18160;SC_RS18680;SC_RS21680;SC_RS22420;SC_RS24335;SC_RS24380;SC_RS29350;SC_RS29770;SC_RS36220;SC_RS36810;SC_RS37610;SC_RS37940;SC_RS38475;SC_RS38605;SC_RS39850;SC_RS40205;SC_RS40705	0.91739321212005
U	Secretion	6	148	6/336	0.998	0.560629185184475	SC_RS17860;SC_RS18310;SC_RS24385;SC_RS32410;SC_RS36440;SC_RS40545	0.91739321212005
