term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
P	Inorganic ion transport	9	491	9/79	1.92	0.043458062746819896	SC_RS03925;SC_RS07280;SC_RS13560;SC_RS22390;SC_RS35415;SC_RS35745;SC_RS35970;SC_RS38055;SC_RS39980	0.3314003747410837
C	Energy production	9	499	9/79	1.889	0.047342910677297664	SC_RS03130;SC_RS06390;SC_RS26370;SC_RS36175;SC_RS37730;SC_RS39965;SC_RS40335;SC_RS40610;SC_RS41080	0.3314003747410837
S	Unknown	18	1597	18/79	1.181	0.25391937468609854	SC_RS02130;SC_RS03550;SC_RS13490;SC_RS16315;SC_RS23015;SC_RS23185;SC_RS30940;SC_RS35445;SC_RS36430;SC_RS36560;SC_RS36615;SC_RS36845;SC_RS37155;SC_RS38225;SC_RS40770;SC_RS41015;SC_RS41150;SC_RS41305	0.9147112793367961
E	Amino acid metabolism	4	301	4/79	1.392	0.32373930751117064	SC_RS03150;SC_RS07390;SC_RS09910;SC_RS22480	0.9147112793367961
K	Transcription	9	822	9/79	1.147	0.384725140315086	SC_RS02455;SC_RS07000;SC_RS07285;SC_RS08090;SC_RS09080;SC_RS29770;SC_RS37610;SC_RS37940;SC_RS40705	0.9147112793367961
H	Coenzyme metabolism	2	156	2/79	1.343	0.44091733245988596	SC_RS06995;SC_RS37385	0.9147112793367961
I	Lipid metabolism	1	68	1/79	1.54	0.48054288317716876	SC_RS08095	0.9147112793367961
M	Cell wall	1	105	1/79	0.998	0.6371068187344229	SC_RS12970	0.9147112793367961
T	Signal transduction	3	344	3/79	0.913	0.6441116103473707	SC_RS09535;SC_RS19495;SC_RS40000	0.9147112793367961
V	Defense	1	142	1/79	0.738	0.7468969073547106	SC_RS40100	0.9147112793367961
L	Replication/Repair	1	156	1/79	0.671	0.7792495099587498	SC_RS36405	0.9147112793367961
G	Carbohydrate metabolism	1	179	1/79	0.585	0.8237621760638614	SC_RS39795	0.9147112793367961
O	Chaperones/PTM	1	195	1/79	0.537	0.8493747593841678	SC_RS06075	0.9147112793367961
R	General function	19	2848	19/79	0.699	0.9829610143128357	SC_RS02875;SC_RS04370;SC_RS04960;SC_RS05530;SC_RS06015;SC_RS06245;SC_RS06555;SC_RS08820;SC_RS10200;SC_RS12425;SC_RS24060;SC_RS26190;SC_RS29495;SC_RS30720;SC_RS34140;SC_RS35735;SC_RS40455;SC_RS40865;SC_RS41020	0.9829610143128357
