term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
T	Signal transduction	34	344	34/619	1.321	0.056147271470740355	SC_RS03920;SC_RS04670;SC_RS04865;SC_RS05295;SC_RS05300;SC_RS05715;SC_RS06185;SC_RS07525;SC_RS07750;SC_RS08040;SC_RS08710;SC_RS09535;SC_RS11065;SC_RS12380;SC_RS13105;SC_RS13455;SC_RS14750;SC_RS16090;SC_RS19495;SC_RS20345;SC_RS22705;SC_RS22915;SC_RS24700;SC_RS26265;SC_RS28630;SC_RS31585;SC_RS33160;SC_RS34060;SC_RS35525;SC_RS37270;SC_RS37545;SC_RS37675;SC_RS38670;SC_RS40000	0.4825949507321164
G	Carbohydrate metabolism	19	179	19/619	1.419	0.07609136365705564	SC_RS04810;SC_RS06675;SC_RS07050;SC_RS13175;SC_RS14170;SC_RS15835;SC_RS15855;SC_RS18320;SC_RS18855;SC_RS20860;SC_RS23645;SC_RS25065;SC_RS26535;SC_RS27420;SC_RS29005;SC_RS33170;SC_RS35070;SC_RS39795;SC_RS40360	0.4825949507321164
H	Coenzyme metabolism	16	156	16/619	1.371	0.12188902049486375	SC_RS06995;SC_RS07660;SC_RS12120;SC_RS12195;SC_RS15970;SC_RS20645;SC_RS24005;SC_RS24070;SC_RS24090;SC_RS33330;SC_RS37385;SC_RS38640;SC_RS39555;SC_RS39560;SC_RS39570;SC_RS40310	0.4825949507321164
I	Lipid metabolism	8	68	8/619	1.573	0.1335257049613828	SC_RS04660;SC_RS08095;SC_RS09845;SC_RS10065;SC_RS20915;SC_RS28760;SC_RS39185;SC_RS39855	0.4825949507321164
E	Amino acid metabolism	28	301	28/619	1.244	0.13405415298114345	SC_RS03150;SC_RS03460;SC_RS05460;SC_RS05465;SC_RS07390;SC_RS08185;SC_RS09910;SC_RS11705;SC_RS11915;SC_RS12215;SC_RS12520;SC_RS13200;SC_RS15840;SC_RS16670;SC_RS18180;SC_RS19050;SC_RS22480;SC_RS23635;SC_RS24000;SC_RS27080;SC_RS34805;SC_RS35985;SC_RS36025;SC_RS38135;SC_RS38205;SC_RS38930;SC_RS39180;SC_RS39740	0.4825949507321164
C	Energy production	43	499	43/619	1.152	0.18079167215683992	SC_RS02290;SC_RS02310;SC_RS03020;SC_RS03040;SC_RS03130;SC_RS03800;SC_RS05830;SC_RS06120;SC_RS06390;SC_RS07950;SC_RS08335;SC_RS08690;SC_RS11175;SC_RS12310;SC_RS12955;SC_RS14225;SC_RS14505;SC_RS15980;SC_RS20855;SC_RS21125;SC_RS21280;SC_RS25030;SC_RS26295;SC_RS26305;SC_RS26370;SC_RS26720;SC_RS27020;SC_RS27025;SC_RS28490;SC_RS29035;SC_RS30010;SC_RS32435;SC_RS36175;SC_RS37730;SC_RS38385;SC_RS39140;SC_RS39290;SC_RS39825;SC_RS39965;SC_RS40335;SC_RS40610;SC_RS41080;SC_RS41220	0.5423750164705198
V	Defense	13	142	13/619	1.224	0.2636103208501542	SC_RS03870;SC_RS05450;SC_RS12500;SC_RS12890;SC_RS13205;SC_RS13305;SC_RS13720;SC_RS26345;SC_RS29545;SC_RS34900;SC_RS34935;SC_RS39465;SC_RS40100	0.6122517592994038
D	Cell division	2	14	2/619	1.91	0.2821200784553905	SC_RS12455;SC_RS19920	0.6122517592994038
P	Inorganic ion transport	40	491	40/619	1.089	0.3061258796497019	SC_RS03925;SC_RS04575;SC_RS04820;SC_RS05470;SC_RS05970;SC_RS07280;SC_RS09695;SC_RS10945;SC_RS11440;SC_RS12340;SC_RS13410;SC_RS13560;SC_RS13820;SC_RS14060;SC_RS14200;SC_RS15820;SC_RS16825;SC_RS17005;SC_RS17905;SC_RS19405;SC_RS20895;SC_RS22390;SC_RS22935;SC_RS25085;SC_RS25280;SC_RS26600;SC_RS27340;SC_RS29140;SC_RS30795;SC_RS32550;SC_RS32715;SC_RS33115;SC_RS35415;SC_RS35745;SC_RS35970;SC_RS37280;SC_RS38055;SC_RS39255;SC_RS39720;SC_RS39980	0.6122517592994038
R	General function	217	2848	217/619	1.019	0.37913648276418166	SC_RS02830;SC_RS02875;SC_RS03250;SC_RS03485;SC_RS03620;SC_RS03625;SC_RS03745;SC_RS03750;SC_RS03805;SC_RS04150;SC_RS04155;SC_RS04200;SC_RS04250;SC_RS04370;SC_RS04425;SC_RS04430;SC_RS04640;SC_RS04645;SC_RS04665;SC_RS04780;SC_RS04860;SC_RS04960;SC_RS05070;SC_RS05290;SC_RS05310;SC_RS05330;SC_RS05530;SC_RS05585;SC_RS05825;SC_RS06015;SC_RS06110;SC_RS06245;SC_RS06510;SC_RS06555;SC_RS07105;SC_RS07135;SC_RS07140;SC_RS07215;SC_RS07510;SC_RS07535;SC_RS07590;SC_RS08425;SC_RS08470;SC_RS08540;SC_RS08615;SC_RS08715;SC_RS08820;SC_RS09315;SC_RS09330;SC_RS09350;SC_RS09400;SC_RS09475;SC_RS09565;SC_RS09840;SC_RS09930;SC_RS10030;SC_RS10155;SC_RS10200;SC_RS10435;SC_RS10495;SC_RS10845;SC_RS10880;SC_RS11000;SC_RS11095;SC_RS11165;SC_RS11210;SC_RS11275;SC_RS11625;SC_RS11645;SC_RS11710;SC_RS12015;SC_RS12185;SC_RS12210;SC_RS12425;SC_RS12685;SC_RS13210;SC_RS13295;SC_RS13310;SC_RS13345;SC_RS13380;SC_RS13645;SC_RS13655;SC_RS13960;SC_RS14175;SC_RS14490;SC_RS14510;SC_RS14745;SC_RS14880;SC_RS15170;SC_RS15280;SC_RS15485;SC_RS15915;SC_RS16925;SC_RS17090;SC_RS17335;SC_RS17605;SC_RS17780;SC_RS17930;SC_RS18280;SC_RS18375;SC_RS18605;SC_RS18710;SC_RS18715;SC_RS18835;SC_RS19095;SC_RS19345;SC_RS19605;SC_RS19835;SC_RS19930;SC_RS19935;SC_RS20625;SC_RS20775;SC_RS20925;SC_RS20940;SC_RS21585;SC_RS21970;SC_RS23010;SC_RS23305;SC_RS23315;SC_RS23405;SC_RS23420;SC_RS23430;SC_RS23580;SC_RS23585;SC_RS23590;SC_RS23655;SC_RS23755;SC_RS24060;SC_RS24135;SC_RS24180;SC_RS24475;SC_RS24520;SC_RS24635;SC_RS24940;SC_RS25055;SC_RS25060;SC_RS25115;SC_RS25935;SC_RS25940;SC_RS26095;SC_RS26105;SC_RS26190;SC_RS26225;SC_RS26245;SC_RS26660;SC_RS26850;SC_RS26870;SC_RS27440;SC_RS27555;SC_RS27855;SC_RS27985;SC_RS28155;SC_RS28215;SC_RS28635;SC_RS28945;SC_RS29185;SC_RS29495;SC_RS29550;SC_RS29630;SC_RS29640;SC_RS29820;SC_RS29885;SC_RS30720;SC_RS31180;SC_RS31240;SC_RS31325;SC_RS31380;SC_RS31730;SC_RS31980;SC_RS32035;SC_RS32175;SC_RS32515;SC_RS32610;SC_RS32770;SC_RS32975;SC_RS33500;SC_RS33825;SC_RS33950;SC_RS34140;SC_RS34185;SC_RS34265;SC_RS34370;SC_RS34680;SC_RS34830;SC_RS34890;SC_RS34920;SC_RS35055;SC_RS35240;SC_RS35420;SC_RS35585;SC_RS35590;SC_RS35685;SC_RS35735;SC_RS36055;SC_RS36155;SC_RS36280;SC_RS36315;SC_RS36435;SC_RS36700;SC_RS37020;SC_RS37135;SC_RS37165;SC_RS37275;SC_RS37320;SC_RS37580;SC_RS37865;SC_RS38805;SC_RS38875;SC_RS38955;SC_RS39115;SC_RS39280;SC_RS39355;SC_RS39440;SC_RS40240;SC_RS40455;SC_RS40865;SC_RS41020	0.6337821322657752
