term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
V	Defense	11	142	11/275	2.331	0.007571179436061737	SC_RS05450;SC_RS06105;SC_RS06595;SC_RS11875;SC_RS12500;SC_RS12890;SC_RS13205;SC_RS13305;SC_RS38275;SC_RS38280;SC_RS39465	0.12871005041304953
U	Secretion	10	148	10/275	2.033	0.025481599985320312	SC_RS11430;SC_RS11755;SC_RS15275;SC_RS19910;SC_RS20390;SC_RS24385;SC_RS27200;SC_RS32410;SC_RS36440;SC_RS40545	0.21659359987522264
H	Coenzyme metabolism	9	156	9/275	1.736	0.07541219194295046	SC_RS15970;SC_RS24005;SC_RS33145;SC_RS37385;SC_RS37800;SC_RS39555;SC_RS39560;SC_RS40325;SC_RS40330	0.4273357543433859
R	General function	105	2848	105/275	1.109	0.10231411974518637	SC_RS02090;SC_RS02875;SC_RS03390;SC_RS03540;SC_RS03745;SC_RS03750;SC_RS03785;SC_RS03790;SC_RS04250;SC_RS04435;SC_RS04900;SC_RS05035;SC_RS05310;SC_RS06230;SC_RS06510;SC_RS06690;SC_RS06905;SC_RS07105;SC_RS07140;SC_RS07215;SC_RS07375;SC_RS07510;SC_RS07560;SC_RS08615;SC_RS08715;SC_RS08955;SC_RS09070;SC_RS10200;SC_RS10835;SC_RS10845;SC_RS10880;SC_RS11025;SC_RS11095;SC_RS11645;SC_RS11695;SC_RS11710;SC_RS12015;SC_RS12210;SC_RS13210;SC_RS13295;SC_RS13345;SC_RS13655;SC_RS13960;SC_RS14175;SC_RS14510;SC_RS14545;SC_RS14780;SC_RS18280;SC_RS18375;SC_RS18605;SC_RS18835;SC_RS19345;SC_RS19835;SC_RS20360;SC_RS20925;SC_RS20940;SC_RS21115;SC_RS21755;SC_RS21970;SC_RS23305;SC_RS23315;SC_RS23405;SC_RS23430;SC_RS23580;SC_RS23585;SC_RS23590;SC_RS23655;SC_RS23755;SC_RS24135;SC_RS25935;SC_RS26245;SC_RS27985;SC_RS28635;SC_RS29630;SC_RS29640;SC_RS32330;SC_RS32570;SC_RS32610;SC_RS32975;SC_RS33140;SC_RS33500;SC_RS33950;SC_RS34185;SC_RS34370;SC_RS35045;SC_RS35240;SC_RS35905;SC_RS36820;SC_RS37165;SC_RS37520;SC_RS37910;SC_RS38380;SC_RS38610;SC_RS38680;SC_RS38805;SC_RS38905;SC_RS39065;SC_RS39085;SC_RS39090;SC_RS39660;SC_RS40040;SC_RS40490;SC_RS40555;SC_RS40560;SC_RS41345	0.4348350089170421
C	Energy production	21	499	21/275	1.266	0.15615454414702776	SC_RS03820;SC_RS04840;SC_RS08365;SC_RS12310;SC_RS12945;SC_RS12955;SC_RS14505;SC_RS18675;SC_RS20855;SC_RS21280;SC_RS24990;SC_RS26295;SC_RS26305;SC_RS26720;SC_RS35130;SC_RS36115;SC_RS39015;SC_RS39965;SC_RS40485;SC_RS40610;SC_RS40615	0.5309254500998943
O	Chaperones/PTM	9	195	9/275	1.389	0.20080929031737765	SC_RS05690;SC_RS06225;SC_RS10240;SC_RS22975;SC_RS28655;SC_RS29420;SC_RS31215;SC_RS31225;SC_RS40220	0.5689596558992367
G	Carbohydrate metabolism	8	179	8/275	1.345	0.24487284157987552	SC_RS14170;SC_RS15835;SC_RS18855;SC_RS20860;SC_RS23645;SC_RS29005;SC_RS33170;SC_RS39910	0.5946911866939835
D	Cell division	1	14	1/275	2.149	0.37720742063002594	SC_RS12435	0.7881337840310559
E	Amino acid metabolism	11	301	11/275	1.1	0.4172472974282061	SC_RS05465;SC_RS11705;SC_RS11915;SC_RS12215;SC_RS13200;SC_RS15840;SC_RS16670;SC_RS23635;SC_RS24000;SC_RS34805;SC_RS38205	0.7881337840310559
T	Signal transduction	11	344	11/275	0.962	0.5967771704884113	SC_RS07525;SC_RS08710;SC_RS10995;SC_RS13455;SC_RS14750;SC_RS16090;SC_RS20345;SC_RS26265;SC_RS31585;SC_RS33160;SC_RS40740	0.9949522342777324
I	Lipid metabolism	2	68	2/275	0.885	0.6660011407128539	SC_RS07380;SC_RS10065	0.9949522342777324
F	Nucleotide metabolism	1	38	1/275	0.792	0.7239655899315305	SC_RS38765	0.9949522342777324
P	Inorganic ion transport	14	491	14/275	0.858	0.7625868579114972	SC_RS04295;SC_RS04820;SC_RS07245;SC_RS11440;SC_RS13410;SC_RS14060;SC_RS17905;SC_RS25085;SC_RS26600;SC_RS31330;SC_RS35970;SC_RS37375;SC_RS40225;SC_RS40590	0.9949522342777324
K	Transcription	20	822	20/275	0.732	0.9506007061008556	SC_RS07910;SC_RS08620;SC_RS10280;SC_RS15270;SC_RS16920;SC_RS17670;SC_RS17900;SC_RS18680;SC_RS21680;SC_RS22980;SC_RS24140;SC_RS24335;SC_RS27300;SC_RS29370;SC_RS32025;SC_RS36810;SC_RS38475;SC_RS38605;SC_RS39915;SC_RS40205	0.9949522342777324
M	Cell wall	1	105	1/275	0.287	0.9718892229155963	SC_RS32070	0.9949522342777324
S	Unknown	40	1597	40/275	0.754	0.9849410969100133	SC_RS02930;SC_RS03545;SC_RS03665;SC_RS05315;SC_RS05515;SC_RS05850;SC_RS06255;SC_RS07305;SC_RS07565;SC_RS07720;SC_RS07880;SC_RS08205;SC_RS08735;SC_RS09235;SC_RS11585;SC_RS12315;SC_RS12515;SC_RS14835;SC_RS16260;SC_RS16435;SC_RS16440;SC_RS17225;SC_RS17825;SC_RS19135;SC_RS21190;SC_RS21345;SC_RS21620;SC_RS23320;SC_RS26260;SC_RS26670;SC_RS27255;SC_RS27920;SC_RS27980;SC_RS28005;SC_RS32020;SC_RS35270;SC_RS36160;SC_RS36470;SC_RS37915;SC_RS38795	0.9949522342777324
J	Translation	1	155	1/275	0.194	0.9949522342777324	SC_RS21625	0.9949522342777324
