term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
H	Coenzyme metabolism	8	156	8/198	2.143	0.03346117406641017	SC_RS05370;SC_RS12120;SC_RS14255;SC_RS20645;SC_RS24090;SC_RS33330;SC_RS38640;SC_RS39570	0.27576356125299695
K	Transcription	28	822	28/198	1.424	0.03447044515662462	SC_RS03135;SC_RS04460;SC_RS05075;SC_RS05485;SC_RS06045;SC_RS06430;SC_RS09835;SC_RS10530;SC_RS11410;SC_RS11515;SC_RS11810;SC_RS20330;SC_RS22780;SC_RS23710;SC_RS24470;SC_RS25370;SC_RS25945;SC_RS25990;SC_RS26855;SC_RS26965;SC_RS29355;SC_RS33745;SC_RS33895;SC_RS37035;SC_RS38785;SC_RS39260;SC_RS39630;SC_RS41225	0.27576356125299695
C	Energy production	17	499	17/198	1.424	0.0887607767572403	SC_RS02290;SC_RS03020;SC_RS03130;SC_RS03800;SC_RS11175;SC_RS14225;SC_RS20320;SC_RS26295;SC_RS26720;SC_RS26890;SC_RS27025;SC_RS29035;SC_RS32435;SC_RS34670;SC_RS34675;SC_RS36110;SC_RS41220	0.4733908093719483
P	Inorganic ion transport	15	491	15/198	1.277	0.1971960227349409	SC_RS04575;SC_RS12340;SC_RS14055;SC_RS15820;SC_RS17005;SC_RS19405;SC_RS22935;SC_RS26590;SC_RS32050;SC_RS33115;SC_RS35210;SC_RS35415;SC_RS37280;SC_RS39255;SC_RS39720	0.7887840909397636
E	Amino acid metabolism	9	301	9/198	1.25	0.29422531081864195	SC_RS02600;SC_RS12520;SC_RS18180;SC_RS19050;SC_RS23355;SC_RS27080;SC_RS36025;SC_RS37065;SC_RS38930	0.8351636475538037
J	Translation	5	155	5/198	1.348	0.3131863678326764	SC_RS04130;SC_RS09480;SC_RS15145;SC_RS19155;SC_RS32470	0.8351636475538037
I	Lipid metabolism	2	68	2/198	1.229	0.4870029408263493	SC_RS28760;SC_RS39185	0.9731352995627474
O	Chaperones/PTM	5	195	5/198	1.072	0.5020015016321253	SC_RS17270;SC_RS18085;SC_RS27085;SC_RS30155;SC_RS34235	0.9731352995627474
G	Carbohydrate metabolism	4	179	4/198	0.934	0.625113755849779	SC_RS07050;SC_RS15855;SC_RS26535;SC_RS27420	0.9731352995627474
L	Replication/Repair	3	156	3/198	0.804	0.7262814750795819	SC_RS26360;SC_RS29655;SC_RS32540	0.9731352995627474
T	Signal transduction	6	344	6/198	0.729	0.8379770543113775	SC_RS07750;SC_RS11065;SC_RS14750;SC_RS32600;SC_RS34060;SC_RS37675	0.9731352995627474
S	Unknown	33	1597	33/198	0.864	0.8515846859046612	SC_RS02295;SC_RS02610;SC_RS05720;SC_RS09485;SC_RS11130;SC_RS11415;SC_RS16130;SC_RS16705;SC_RS17265;SC_RS19045;SC_RS20275;SC_RS20325;SC_RS22665;SC_RS23445;SC_RS26420;SC_RS27405;SC_RS28735;SC_RS29935;SC_RS29940;SC_RS29945;SC_RS32200;SC_RS32865;SC_RS32955;SC_RS32960;SC_RS33880;SC_RS33890;SC_RS35270;SC_RS36450;SC_RS37030;SC_RS37570;SC_RS37735;SC_RS38230;SC_RS39275	0.9731352995627474
V	Defense	2	142	2/198	0.589	0.8585012026574633	SC_RS03870;SC_RS13720	0.9731352995627474
M	Cell wall	1	105	1/198	0.398	0.922636989592284	SC_RS32875	0.9731352995627474
R	General function	59	2848	59/198	0.866	0.9292137874307539	SC_RS02670;SC_RS03805;SC_RS04270;SC_RS04665;SC_RS05070;SC_RS06230;SC_RS07135;SC_RS07550;SC_RS07590;SC_RS08225;SC_RS08540;SC_RS09475;SC_RS09930;SC_RS10145;SC_RS10155;SC_RS10245;SC_RS11165;SC_RS11625;SC_RS11645;SC_RS14880;SC_RS15280;SC_RS17335;SC_RS18710;SC_RS18715;SC_RS19095;SC_RS19605;SC_RS19695;SC_RS19835;SC_RS19930;SC_RS19935;SC_RS20775;SC_RS21115;SC_RS23010;SC_RS24370;SC_RS24475;SC_RS25940;SC_RS26850;SC_RS26885;SC_RS28320;SC_RS29185;SC_RS29820;SC_RS31325;SC_RS31905;SC_RS31910;SC_RS32040;SC_RS32580;SC_RS32770;SC_RS33295;SC_RS33825;SC_RS35075;SC_RS35585;SC_RS35590;SC_RS36155;SC_RS36700;SC_RS37580;SC_RS38875;SC_RS39280;SC_RS39355;SC_RS40075	0.9731352995627474
U	Secretion	1	148	1/198	0.282	0.9731352995627474	SC_RS27215	0.9731352995627474
