term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0006412	GO:0006412	63	68	63/1215	3.694	1.1228824839735524e-32	SC_RS04090;SC_RS07700;SC_RS09500;SC_RS10005;SC_RS10010;SC_RS14865;SC_RS15035;SC_RS15040;SC_RS17745;SC_RS19245;SC_RS19255;SC_RS19265;SC_RS19270;SC_RS21545;SC_RS21675;SC_RS21685;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25425;SC_RS25440;SC_RS25445;SC_RS25475;SC_RS25480;SC_RS25665;SC_RS25670;SC_RS25675;SC_RS25680;SC_RS25685;SC_RS25690;SC_RS25695;SC_RS25700;SC_RS25705;SC_RS25710;SC_RS25715;SC_RS25720;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25755;SC_RS25760;SC_RS25765;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS27715;SC_RS28235;SC_RS28975;SC_RS28985;SC_RS29680;SC_RS30035;SC_RS30070;SC_RS30175;SC_RS30195;SC_RS30345;SC_RS30890;SC_RS32995	3.9974616429458465e-30
GO:0003735	GO:0003735	58	61	58/1215	3.792	8.117593696675815e-32	SC_RS04090;SC_RS07700;SC_RS09500;SC_RS10005;SC_RS10010;SC_RS14865;SC_RS15035;SC_RS15040;SC_RS17745;SC_RS19245;SC_RS19255;SC_RS19265;SC_RS19270;SC_RS21545;SC_RS21675;SC_RS21685;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25425;SC_RS25440;SC_RS25445;SC_RS25475;SC_RS25480;SC_RS25665;SC_RS25670;SC_RS25675;SC_RS25680;SC_RS25685;SC_RS25690;SC_RS25695;SC_RS25700;SC_RS25705;SC_RS25710;SC_RS25715;SC_RS25720;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25755;SC_RS25760;SC_RS25765;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS28975;SC_RS30035;SC_RS30070;SC_RS30175;SC_RS30195;SC_RS30345;SC_RS30890	1.444931678008295e-29
GO:0005840	GO:0005840	33	37	33/1215	3.557	2.3994052290124963e-16	SC_RS07700;SC_RS10010;SC_RS14865;SC_RS15040;SC_RS17745;SC_RS19255;SC_RS19265;SC_RS19270;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25445;SC_RS25665;SC_RS25670;SC_RS25680;SC_RS25710;SC_RS25715;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS28975;SC_RS30035;SC_RS30185;SC_RS30890	2.847294205094829e-14
GO:0003723	GO:0003723	27	39	27/1215	2.761	7.330313338011656e-09	SC_RS09335;SC_RS09775;SC_RS10000;SC_RS10850;SC_RS12405;SC_RS14745;SC_RS14865;SC_RS15040;SC_RS15050;SC_RS21565;SC_RS21625;SC_RS22260;SC_RS22265;SC_RS25425;SC_RS25665;SC_RS25685;SC_RS25795;SC_RS25815;SC_RS30075;SC_RS30180;SC_RS30735;SC_RS30740;SC_RS30760;SC_RS30895;SC_RS30935;SC_RS31300;SC_RS37480	6.523978870830373e-07
GO:0015934	GO:0015934	9	9	9/1215	3.988	3.835952460461639e-06	SC_RS04090;SC_RS25425;SC_RS25440;SC_RS25685;SC_RS25695;SC_RS25720;SC_RS25760;SC_RS25765;SC_RS30070	0.0002731198151848687
GO:0015986	GO:0015986	8	8	8/1215	3.988	1.5372412635669392e-05	SC_RS29015;SC_RS29020;SC_RS29025;SC_RS29030;SC_RS29035;SC_RS29040;SC_RS29045;SC_RS29050	0.0009120964830497172
GO:0006396	GO:0006396	9	10	9/1215	3.589	2.9750048176607582e-05	SC_RS09775;SC_RS10000;SC_RS15050;SC_RS18605;SC_RS21625;SC_RS23365;SC_RS30075;SC_RS30895;SC_RS30935	0.0015130024501246143
GO:0015935	GO:0015935	6	6	6/1215	3.988	0.0002464167835819463	SC_RS09500;SC_RS25475;SC_RS25480;SC_RS25690;SC_RS25755;SC_RS30345	0.009747152772796986
GO:0046933	GO:0046933	6	6	6/1215	3.988	0.0002464167835819463	SC_RS29015;SC_RS29030;SC_RS29035;SC_RS29040;SC_RS29045;SC_RS29050	0.009747152772796986
GO:0045259	GO:0045259	7	8	7/1215	3.489	0.0003849211402348739	SC_RS29015;SC_RS29020;SC_RS29025;SC_RS29035;SC_RS29040;SC_RS29045;SC_RS29050	0.01370319259236151
