term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0008643	GO:0008643	58	75	58/1608	2.33	3.599494488947751e-15	SC_RS02345;SC_RS02350;SC_RS03275;SC_RS03280;SC_RS03375;SC_RS03380;SC_RS03675;SC_RS03680;SC_RS04185;SC_RS04190;SC_RS04575;SC_RS04580;SC_RS04610;SC_RS04615;SC_RS05225;SC_RS05230;SC_RS06700;SC_RS06705;SC_RS07240;SC_RS07245;SC_RS07270;SC_RS07275;SC_RS09665;SC_RS09670;SC_RS11460;SC_RS11465;SC_RS11525;SC_RS11530;SC_RS14195;SC_RS14200;SC_RS15370;SC_RS15375;SC_RS16825;SC_RS17000;SC_RS17005;SC_RS29320;SC_RS29325;SC_RS30655;SC_RS32270;SC_RS32275;SC_RS33395;SC_RS33400;SC_RS35210;SC_RS35215;SC_RS37280;SC_RS37285;SC_RS37370;SC_RS37375;SC_RS38050;SC_RS38055;SC_RS39250;SC_RS39255;SC_RS39635;SC_RS39640;SC_RS39720;SC_RS39725;SC_RS39980;SC_RS39985	1.371407400289093e-12
GO:0140359	GO:0140359	132	268	132/1608	1.484	1.5916585265748107e-08	SC_RS02340;SC_RS02345;SC_RS02570;SC_RS02575;SC_RS03275;SC_RS03285;SC_RS03375;SC_RS03670;SC_RS03675;SC_RS03780;SC_RS04180;SC_RS04185;SC_RS04375;SC_RS04385;SC_RS04390;SC_RS04395;SC_RS04400;SC_RS04405;SC_RS04575;SC_RS04610;SC_RS05220;SC_RS05225;SC_RS05455;SC_RS05460;SC_RS05465;SC_RS05470;SC_RS05475;SC_RS05705;SC_RS05975;SC_RS05980;SC_RS05985;SC_RS06020;SC_RS06705;SC_RS06710;SC_RS07110;SC_RS07115;SC_RS07240;SC_RS07275;SC_RS07280;SC_RS08800;SC_RS08805;SC_RS09300;SC_RS09670;SC_RS09675;SC_RS10550;SC_RS11440;SC_RS11465;SC_RS11520;SC_RS11525;SC_RS12070;SC_RS12075;SC_RS12080;SC_RS12085;SC_RS12090;SC_RS13385;SC_RS13390;SC_RS13555;SC_RS13560;SC_RS14135;SC_RS14140;SC_RS14145;SC_RS14200;SC_RS15370;SC_RS15695;SC_RS16575;SC_RS16750;SC_RS16995;SC_RS17000;SC_RS18230;SC_RS18235;SC_RS18290;SC_RS19390;SC_RS19395;SC_RS19400;SC_RS20885;SC_RS20895;SC_RS21920;SC_RS23970;SC_RS25080;SC_RS25505;SC_RS26845;SC_RS27710;SC_RS27755;SC_RS27760;SC_RS27810;SC_RS29090;SC_RS29325;SC_RS29445;SC_RS29450;SC_RS30485;SC_RS30505;SC_RS30650;SC_RS30780;SC_RS30785;SC_RS30795;SC_RS31860;SC_RS31865;SC_RS32270;SC_RS32805;SC_RS33400;SC_RS33405;SC_RS33725;SC_RS34050;SC_RS34325;SC_RS35030;SC_RS35035;SC_RS35205;SC_RS35210;SC_RS36270;SC_RS37265;SC_RS37285;SC_RS37365;SC_RS37370;SC_RS38055;SC_RS38060;SC_RS38120;SC_RS38125;SC_RS38130;SC_RS38135;SC_RS39245;SC_RS39255;SC_RS39640;SC_RS39645;SC_RS39720;SC_RS39925;SC_RS39975;SC_RS39980;SC_RS40025;SC_RS40575;SC_RS40590;SC_RS40635;SC_RS40640	2.3763791691172293e-06
GO:0055085	GO:0055085	153	321	153/1608	1.436	1.8711647000923066e-08	SC_RS02345;SC_RS02350;SC_RS02405;SC_RS02720;SC_RS03010;SC_RS03275;SC_RS03280;SC_RS03375;SC_RS03380;SC_RS03395;SC_RS03480;SC_RS03500;SC_RS03675;SC_RS03680;SC_RS03785;SC_RS04155;SC_RS04185;SC_RS04190;SC_RS04575;SC_RS04580;SC_RS04610;SC_RS04615;SC_RS04785;SC_RS04830;SC_RS05225;SC_RS05230;SC_RS05320;SC_RS05455;SC_RS05705;SC_RS05885;SC_RS06700;SC_RS06705;SC_RS06930;SC_RS07010;SC_RS07110;SC_RS07240;SC_RS07245;SC_RS07270;SC_RS07275;SC_RS07925;SC_RS08780;SC_RS09260;SC_RS09665;SC_RS09670;SC_RS10095;SC_RS10430;SC_RS11140;SC_RS11460;SC_RS11465;SC_RS11490;SC_RS11525;SC_RS11530;SC_RS12070;SC_RS12765;SC_RS13495;SC_RS13560;SC_RS13575;SC_RS13750;SC_RS14065;SC_RS14195;SC_RS14200;SC_RS14250;SC_RS14560;SC_RS14755;SC_RS15370;SC_RS15375;SC_RS15540;SC_RS15695;SC_RS16150;SC_RS16370;SC_RS16750;SC_RS16785;SC_RS16825;SC_RS17000;SC_RS17005;SC_RS18145;SC_RS18230;SC_RS18760;SC_RS19400;SC_RS19725;SC_RS21110;SC_RS22410;SC_RS23510;SC_RS23970;SC_RS24240;SC_RS24350;SC_RS24395;SC_RS24420;SC_RS27540;SC_RS27575;SC_RS27750;SC_RS27810;SC_RS29090;SC_RS29320;SC_RS29325;SC_RS29450;SC_RS29840;SC_RS30650;SC_RS30655;SC_RS30790;SC_RS31380;SC_RS31865;SC_RS31980;SC_RS31995;SC_RS32065;SC_RS32270;SC_RS32275;SC_RS32420;SC_RS32810;SC_RS33395;SC_RS33400;SC_RS33500;SC_RS33640;SC_RS34330;SC_RS34345;SC_RS34835;SC_RS35005;SC_RS35100;SC_RS35210;SC_RS35215;SC_RS35635;SC_RS36235;SC_RS36300;SC_RS36680;SC_RS37235;SC_RS37280;SC_RS37285;SC_RS37370;SC_RS37375;SC_RS37865;SC_RS38010;SC_RS38050;SC_RS38055;SC_RS38945;SC_RS39175;SC_RS39180;SC_RS39250;SC_RS39255;SC_RS39330;SC_RS39380;SC_RS39635;SC_RS39640;SC_RS39720;SC_RS39725;SC_RS39830;SC_RS39980;SC_RS39985;SC_RS40020;SC_RS40580;SC_RS40585;SC_RS40865;SC_RS41175;SC_RS41245	2.3763791691172293e-06
GO:0042626	GO:0042626	122	245	122/1608	1.5	2.5816050253763164e-08	SC_RS02340;SC_RS02345;SC_RS02570;SC_RS03275;SC_RS03285;SC_RS03375;SC_RS03670;SC_RS03675;SC_RS03780;SC_RS04180;SC_RS04185;SC_RS04375;SC_RS04385;SC_RS04390;SC_RS04395;SC_RS04400;SC_RS04405;SC_RS04575;SC_RS04610;SC_RS05220;SC_RS05225;SC_RS05460;SC_RS05465;SC_RS05470;SC_RS05475;SC_RS05975;SC_RS05980;SC_RS05985;SC_RS06020;SC_RS06705;SC_RS06710;SC_RS07110;SC_RS07115;SC_RS07240;SC_RS07275;SC_RS07280;SC_RS08800;SC_RS08805;SC_RS09300;SC_RS09670;SC_RS09675;SC_RS10550;SC_RS11440;SC_RS11465;SC_RS11520;SC_RS11525;SC_RS12075;SC_RS12080;SC_RS12085;SC_RS12090;SC_RS13385;SC_RS13390;SC_RS13560;SC_RS14135;SC_RS14140;SC_RS14145;SC_RS14200;SC_RS15370;SC_RS15695;SC_RS16575;SC_RS16750;SC_RS16995;SC_RS17000;SC_RS18290;SC_RS19390;SC_RS19395;SC_RS19400;SC_RS20885;SC_RS20895;SC_RS23970;SC_RS25505;SC_RS26845;SC_RS27710;SC_RS27755;SC_RS27760;SC_RS27810;SC_RS29090;SC_RS29325;SC_RS29450;SC_RS30485;SC_RS30505;SC_RS30650;SC_RS30780;SC_RS30785;SC_RS30795;SC_RS31860;SC_RS31865;SC_RS32270;SC_RS32805;SC_RS33400;SC_RS33405;SC_RS33725;SC_RS34050;SC_RS34325;SC_RS35030;SC_RS35035;SC_RS35205;SC_RS35210;SC_RS37265;SC_RS37285;SC_RS37365;SC_RS37370;SC_RS38055;SC_RS38060;SC_RS38120;SC_RS38125;SC_RS38130;SC_RS38135;SC_RS39245;SC_RS39255;SC_RS39640;SC_RS39645;SC_RS39720;SC_RS39925;SC_RS39930;SC_RS39975;SC_RS39980;SC_RS40025;SC_RS40575;SC_RS40590;SC_RS40635;SC_RS40640	2.458978786670941e-06
GO:0016491	GO:0016491	129	264	129/1608	1.472	4.3025817736460316e-08	SC_RS02245;SC_RS02250;SC_RS02365;SC_RS02535;SC_RS02755;SC_RS02935;SC_RS02960;SC_RS03015;SC_RS03020;SC_RS03100;SC_RS03115;SC_RS03595;SC_RS03735;SC_RS03800;SC_RS03885;SC_RS04005;SC_RS04475;SC_RS04695;SC_RS04740;SC_RS04885;SC_RS05090;SC_RS05155;SC_RS05325;SC_RS05355;SC_RS05615;SC_RS05725;SC_RS05815;SC_RS05830;SC_RS06410;SC_RS06535;SC_RS06780;SC_RS06790;SC_RS06800;SC_RS06805;SC_RS06880;SC_RS07375;SC_RS07585;SC_RS07620;SC_RS07730;SC_RS07765;SC_RS08100;SC_RS08305;SC_RS08335;SC_RS08365;SC_RS08370;SC_RS08770;SC_RS09200;SC_RS09880;SC_RS10065;SC_RS10475;SC_RS11040;SC_RS11510;SC_RS11580;SC_RS12990;SC_RS13140;SC_RS14395;SC_RS14440;SC_RS14460;SC_RS14480;SC_RS15555;SC_RS15585;SC_RS15750;SC_RS16885;SC_RS18255;SC_RS21495;SC_RS21910;SC_RS23585;SC_RS24005;SC_RS27015;SC_RS27505;SC_RS27535;SC_RS27545;SC_RS27645;SC_RS27695;SC_RS28675;SC_RS28785;SC_RS28800;SC_RS29130;SC_RS31655;SC_RS31710;SC_RS32075;SC_RS33450;SC_RS33505;SC_RS33610;SC_RS33630;SC_RS33655;SC_RS33695;SC_RS33705;SC_RS34275;SC_RS34400;SC_RS34595;SC_RS34670;SC_RS35255;SC_RS35295;SC_RS35575;SC_RS35995;SC_RS36080;SC_RS36110;SC_RS36245;SC_RS36290;SC_RS36335;SC_RS37250;SC_RS37255;SC_RS37765;SC_RS37770;SC_RS37795;SC_RS37810;SC_RS37850;SC_RS37980;SC_RS38030;SC_RS38115;SC_RS38170;SC_RS38330;SC_RS38410;SC_RS38420;SC_RS38545;SC_RS38665;SC_RS38990;SC_RS39135;SC_RS39145;SC_RS39155;SC_RS39270;SC_RS39825;SC_RS40130;SC_RS40520;SC_RS40535;SC_RS40610;SC_RS40615;SC_RS41240	3.278567311518276e-06
GO:0004553	GO:0004553	32	49	32/1608	1.968	3.8184822473848355e-06	SC_RS03290;SC_RS03385;SC_RS03765;SC_RS04200;SC_RS04205;SC_RS04590;SC_RS04690;SC_RS05290;SC_RS05760;SC_RS06695;SC_RS07265;SC_RS08950;SC_RS14080;SC_RS15655;SC_RS15875;SC_RS21020;SC_RS30640;SC_RS31475;SC_RS31905;SC_RS33410;SC_RS33420;SC_RS33750;SC_RS34480;SC_RS34925;SC_RS35185;SC_RS37275;SC_RS37380;SC_RS39235;SC_RS39705;SC_RS39910;SC_RS40075;SC_RS40085	0.00024247362270893706
GO:0055052	GO:0055052	39	66	39/1608	1.78	1.2333875046414828e-05	SC_RS02340;SC_RS03285;SC_RS03670;SC_RS03780;SC_RS04160;SC_RS04180;SC_RS04375;SC_RS04385;SC_RS05220;SC_RS05455;SC_RS05970;SC_RS06710;SC_RS07280;SC_RS09300;SC_RS09675;SC_RS11440;SC_RS11520;SC_RS13385;SC_RS16995;SC_RS18290;SC_RS22885;SC_RS22890;SC_RS22895;SC_RS30505;SC_RS30795;SC_RS33405;SC_RS33725;SC_RS35205;SC_RS36265;SC_RS36270;SC_RS37265;SC_RS37365;SC_RS38060;SC_RS39245;SC_RS39645;SC_RS39975;SC_RS40575;SC_RS40635;SC_RS40640	0.0006713151989548642
GO:0070403	GO:0070403	34	58	34/1608	1.766	5.602457048503781e-05	SC_RS02245;SC_RS02365;SC_RS02535;SC_RS03100;SC_RS03735;SC_RS03800;SC_RS03885;SC_RS04475;SC_RS05155;SC_RS05355;SC_RS05615;SC_RS06805;SC_RS06880;SC_RS07585;SC_RS08100;SC_RS09200;SC_RS11040;SC_RS11510;SC_RS15750;SC_RS27520;SC_RS27555;SC_RS31710;SC_RS33120;SC_RS33450;SC_RS34570;SC_RS35295;SC_RS36125;SC_RS37765;SC_RS37850;SC_RS37980;SC_RS38030;SC_RS38170;SC_RS38545;SC_RS40415	0.0026681701693499257
GO:0010124	GO:0010124	8	8	8/1608	3.013	0.00014550406562482266	SC_RS21305;SC_RS39550;SC_RS39555;SC_RS39560;SC_RS39565;SC_RS39570;SC_RS39575;SC_RS39580	0.005543704900305743
GO:0006817	GO:0006817	8	8	8/1608	3.013	0.00014550406562482266	SC_RS22885;SC_RS22890;SC_RS22895;SC_RS22900;SC_RS23325;SC_RS36260;SC_RS36265;SC_RS36270	0.005543704900305743
