term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0015934	GO:0015934	2	9	2/59	18.249	0.004968181932842346	SC_RS25685;SC_RS25760	0.19699649277061126
GO:0006810	GO:0006810	2	12	2/59	13.686	0.008897031180663786	SC_RS25115;SC_RS32715	0.19699649277061126
GO:0006412	GO:0006412	4	68	4/59	4.831	0.009049365198046649	SC_RS25685;SC_RS25760;SC_RS25830;SC_RS29680	0.19699649277061126
GO:0016853	GO:0016853	2	16	2/59	10.265	0.01567948455920219	SC_RS15835;SC_RS18855	0.19699649277061126
GO:0004674	GO:0004674	2	19	2/59	8.644	0.02182804102717525	SC_RS16970;SC_RS24700	0.19699649277061126
GO:0008270	GO:0008270	4	90	4/59	3.65	0.023313573252616248	SC_RS13820;SC_RS22630;SC_RS28135;SC_RS33075	0.19699649277061126
GO:0005215	GO:0005215	2	24	2/59	6.843	0.03389230368868239	SC_RS25115;SC_RS32715	0.19699649277061126
GO:0004372	GO:0004372	1	3	1/59	27.373	0.036096799097757225	SC_RS26345	0.19699649277061126
GO:0006424	GO:0006424	1	3	1/59	27.373	0.036096799097757225	SC_RS29680	0.19699649277061126
GO:0015940	GO:0015940	1	3	1/59	27.373	0.036096799097757225	SC_RS13305	0.19699649277061126
GO:0030261	GO:0030261	1	3	1/59	27.373	0.036096799097757225	SC_RS16855	0.19699649277061126
GO:0019264	GO:0019264	1	3	1/59	27.373	0.036096799097757225	SC_RS26345	0.19699649277061126
GO:0003735	GO:0003735	3	61	3/59	4.039	0.03750532750486072	SC_RS25685;SC_RS25760;SC_RS25830	0.19699649277061126
GO:0015031	GO:0015031	1	4	1/59	20.53	0.04784200538714845	SC_RS20960	0.19699649277061126
GO:0016717	GO:0016717	1	4	1/59	20.53	0.04784200538714845	SC_RS20915	0.19699649277061126
GO:0046685	GO:0046685	1	4	1/59	20.53	0.04784200538714845	SC_RS20625	0.19699649277061126
GO:0009331	GO:0009331	1	4	1/59	20.53	0.04784200538714845	SC_RS30010	0.19699649277061126
GO:0046872	GO:0046872	8	350	8/59	1.877	0.05982985546469353	SC_RS12380;SC_RS20915;SC_RS22705;SC_RS23755;SC_RS26435;SC_RS28135;SC_RS28275;SC_RS33160	0.21097574247407677
GO:0006633	GO:0006633	2	34	2/59	4.831	0.06378657519506038	SC_RS20915;SC_RS28760	0.21097574247407677
GO:0006281	GO:0006281	2	36	2/59	4.562	0.0705437899725286	SC_RS08470;SC_RS09565	0.21097574247407677
