term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0046373	GO:0046373	2	3	2/93	34.731	0.0010799893909373731	SC_RS09930;SC_RS31910	0.04751953320124442
GO:0046556	GO:0046556	2	3	2/93	34.731	0.0010799893909373731	SC_RS09930;SC_RS31910	0.04751953320124442
GO:0006096	GO:0006096	2	15	2/93	6.946	0.032539825025286025	SC_RS17605;SC_RS36280	0.29397753541525606
GO:0006779	GO:0006779	1	3	1/93	17.366	0.05649829978265111	SC_RS32445	0.29397753541525606
GO:0015662	GO:0015662	1	3	1/93	17.366	0.05649829978265111	SC_RS06230	0.29397753541525606
GO:0019829	GO:0019829	1	3	1/93	17.366	0.05649829978265111	SC_RS06230	0.29397753541525606
GO:0016042	GO:0016042	1	3	1/93	17.366	0.05649829978265111	SC_RS39185	0.29397753541525606
GO:0019464	GO:0019464	1	3	1/93	17.366	0.05649829978265111	SC_RS29545	0.29397753541525606
GO:0000155	GO:0000155	4	76	4/93	2.742	0.057317284332632765	SC_RS04670;SC_RS08040;SC_RS13105;SC_RS35525	0.29397753541525606
GO:0043190	GO:0043190	3	47	3/93	3.325	0.060558249869430564	SC_RS14055;SC_RS32040;SC_RS32050	0.29397753541525606
GO:0004553	GO:0004553	3	49	3/93	3.19	0.06697546484032209	SC_RS04200;SC_RS31905;SC_RS40075	0.29397753541525606
GO:0005737	GO:0005737	3	51	3/93	3.065	0.07369117712799163	SC_RS07655;SC_RS09480;SC_RS29545	0.29397753541525606
GO:1990204	GO:1990204	1	4	1/93	13.024	0.07462007965051842	SC_RS05370	0.29397753541525606
GO:0019288	GO:0019288	1	4	1/93	13.024	0.07462007965051842	SC_RS23355	0.29397753541525606
GO:0009102	GO:0009102	1	4	1/93	13.024	0.07462007965051842	SC_RS08185	0.29397753541525606
GO:0019290	GO:0019290	1	4	1/93	13.024	0.07462007965051842	SC_RS31240	0.29397753541525606
GO:0019941	GO:0019941	1	4	1/93	13.024	0.07462007965051842	SC_RS10245	0.29397753541525606
GO:0016879	GO:0016879	1	4	1/93	13.024	0.07462007965051842	SC_RS19155	0.29397753541525606
GO:0004181	GO:0004181	1	4	1/93	13.024	0.07462007965051842	SC_RS27510	0.29397753541525606
GO:0006824	GO:0006824	1	4	1/93	13.024	0.07462007965051842	SC_RS32040	0.29397753541525606
GO:0070967	GO:0070967	2	24	2/93	4.341	0.07657810485664225	SC_RS34670;SC_RS36110	0.29397753541525606
GO:0010498	GO:0010498	1	5	1/93	10.419	0.09239746708958092	SC_RS10245	0.29397753541525606
GO:0008270	GO:0008270	4	90	4/93	2.315	0.0936140405527413	SC_RS09695;SC_RS11000;SC_RS25280;SC_RS27510	0.29397753541525606
GO:0016655	GO:0016655	1	6	1/93	8.683	0.10983693724674395	SC_RS07950	0.29397753541525606
GO:0009086	GO:0009086	1	6	1/93	8.683	0.10983693724674395	SC_RS05585	0.29397753541525606
GO:0006116	GO:0006116	1	6	1/93	8.683	0.10983693724674395	SC_RS34675	0.29397753541525606
GO:0003954	GO:0003954	1	6	1/93	8.683	0.10983693724674395	SC_RS34675	0.29397753541525606
GO:0046983	GO:0046983	1	6	1/93	8.683	0.10983693724674395	SC_RS03485	0.29397753541525606
GO:0047355	GO:0047355	1	6	1/93	8.683	0.10983693724674395	SC_RS17090	0.29397753541525606
GO:0019350	GO:0019350	1	6	1/93	8.683	0.10983693724674395	SC_RS17090	0.29397753541525606
GO:0005975	GO:0005975	4	98	4/93	2.126	0.11826512750290154	SC_RS04200;SC_RS31905;SC_RS40075;SC_RS40360	0.29397753541525606
GO:0051539	GO:0051539	2	32	2/93	3.256	0.124898640397809	SC_RS37035;SC_RS39825	0.29397753541525606
GO:0015078	GO:0015078	1	7	1/93	7.442	0.12694484483840604	SC_RS39115	0.29397753541525606
GO:0008033	GO:0008033	1	7	1/93	7.442	0.12694484483840604	SC_RS19155	0.29397753541525606
GO:0004176	GO:0004176	1	7	1/93	7.442	0.12694484483840604	SC_RS15160	0.29397753541525606
GO:0015803	GO:0015803	1	7	1/93	7.442	0.12694484483840604	SC_RS38135	0.29397753541525606
GO:0015645	GO:0015645	1	7	1/93	7.442	0.12694484483840604	SC_RS34950	0.29397753541525606
GO:0030151	GO:0030151	1	7	1/93	7.442	0.12694484483840604	SC_RS39825	0.29397753541525606
GO:0015297	GO:0015297	1	8	1/93	6.512	0.14372742636590255	SC_RS39115	0.3243080389794724
GO:0004673	GO:0004673	3	71	3/93	2.201	0.1549490827861909	SC_RS04670;SC_RS08040;SC_RS35525	0.33563787146610985
GO:1902600	GO:1902600	1	9	1/93	5.789	0.16019080229064334	SC_RS39115	0.33563787146610985
GO:0016788	GO:0016788	1	9	1/93	5.789	0.16019080229064334	SC_RS36055	0.33563787146610985
GO:0048038	GO:0048038	1	13	1/93	4.007	0.2229707163013034	SC_RS07950	0.43521094391398635
GO:0003995	GO:0003995	1	14	1/93	3.721	0.2379259570678553	SC_RS15980	0.43521094391398635
GO:0006812	GO:0006812	1	14	1/93	3.721	0.2379259570678553	SC_RS39115	0.43521094391398635
GO:0030170	GO:0030170	2	49	2/93	2.126	0.24201010354747954	SC_RS05585;SC_RS34805	0.43521094391398635
GO:0006352	GO:0006352	2	49	2/93	2.126	0.24201010354747954	SC_RS09835;SC_RS26965	0.43521094391398635
GO:0050660	GO:0050660	2	49	2/93	2.126	0.24201010354747954	SC_RS05370;SC_RS15980	0.43521094391398635
GO:0016491	GO:0016491	7	264	7/93	1.381	0.24233336649756054	SC_RS02670;SC_RS03130;SC_RS05830;SC_RS07950;SC_RS34670;SC_RS36110;SC_RS39825	0.43521094391398635
GO:0016853	GO:0016853	1	16	1/93	3.256	0.2669873961595928	SC_RS04810	0.46491503512796345
GO:0007165	GO:0007165	3	94	3/93	1.663	0.26943939535825157	SC_RS04670;SC_RS08040;SC_RS35525	0.46491503512796345
GO:0051537	GO:0051537	1	17	1/93	3.065	0.28110422617764175	SC_RS31730	0.4757148443006245
GO:0009236	GO:0009236	1	19	1/93	2.742	0.3085359473766928	SC_RS37065	0.5027993216509068
GO:0004674	GO:0004674	1	19	1/93	2.742	0.3085359473766928	SC_RS38670	0.5027993216509068
GO:0004519	GO:0004519	1	20	1/93	2.605	0.3218608866419161	SC_RS11000	0.5149774186270657
GO:0042626	GO:0042626	6	245	6/93	1.276	0.33003789350929363	SC_RS10945;SC_RS26590;SC_RS30795;SC_RS32550;SC_RS35210;SC_RS38135	0.5170876210231076
GO:0030246	GO:0030246	1	21	1/93	2.481	0.334931754526331	SC_RS40075	0.5170876210231076
GO:0006508	GO:0006508	3	111	3/93	1.408	0.3593157778849273	SC_RS05590;SC_RS15160;SC_RS27510	0.5374418898084683
GO:0009058	GO:0009058	1	23	1/93	2.265	0.36033035793976853	SC_RS34805	0.5374418898084683
GO:0003676	GO:0003676	2	67	2/93	1.555	0.36987936270924004	SC_RS09695;SC_RS11000	0.5424897319735521
GO:0000156	GO:0000156	1	25	1/93	2.084	0.3847690366997575	SC_RS04670	0.5491610160448591
GO:0003700	GO:0003700	10	464	10/93	1.123	0.3992680793791954	SC_RS03250;SC_RS04270;SC_RS09835;SC_RS13145;SC_RS19190;SC_RS22780;SC_RS25370;SC_RS26965;SC_RS32025;SC_RS34890	0.5491610160448591
GO:0000166	GO:0000166	2	72	2/93	1.447	0.4041856086775585	SC_RS09480;SC_RS19155	0.5491610160448591
GO:0140359	GO:0140359	6	268	6/93	1.166	0.4101715060121675	SC_RS10945;SC_RS26590;SC_RS30795;SC_RS32550;SC_RS35210;SC_RS38135	0.5491610160448591
GO:0003824	GO:0003824	3	121	3/93	1.292	0.4117878193076525	SC_RS04810;SC_RS05825;SC_RS07655	0.5491610160448591
GO:0005524	GO:0005524	12	570	12/93	1.097	0.41287985667247384	SC_RS04670;SC_RS06230;SC_RS08040;SC_RS12685;SC_RS13105;SC_RS19155;SC_RS26590;SC_RS32035;SC_RS32550;SC_RS34950;SC_RS35525;SC_RS38670	0.5491610160448591
