term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0046373	GO:0046373	2	3	2/150	21.533	0.0027987337946199123	SC_RS09930;SC_RS31910	0.17911896285567439
GO:0046556	GO:0046556	2	3	2/150	21.533	0.0027987337946199123	SC_RS09930;SC_RS31910	0.17911896285567439
GO:0008270	GO:0008270	8	90	8/150	2.871	0.006337493146915658	SC_RS09695;SC_RS11000;SC_RS13820;SC_RS22630;SC_RS25280;SC_RS27510;SC_RS28135;SC_RS33075	0.27039970760173476
GO:0016853	GO:0016853	3	16	3/150	6.056	0.012111530990284114	SC_RS04810;SC_RS15835;SC_RS18855	0.38756899168909165
GO:0030151	GO:0030151	2	7	2/150	9.229	0.018051969223735555	SC_RS27020;SC_RS39825	0.41783077420427567
GO:0004674	GO:0004674	3	19	3/150	5.1	0.01958581754082542	SC_RS16970;SC_RS24700;SC_RS38670	0.41783077420427567
GO:0015297	GO:0015297	2	8	2/150	8.075	0.023584985939177038	SC_RS20625;SC_RS39115	0.4217768702803399
GO:0015934	GO:0015934	2	9	2/150	7.178	0.0297149520642735	SC_RS25685;SC_RS25760	0.4217768702803399
GO:0006810	GO:0006810	2	12	2/150	5.383	0.05127884316880351	SC_RS25115;SC_RS32715	0.4217768702803399
GO:0043190	GO:0043190	4	47	4/150	2.749	0.05631506593799512	SC_RS14055;SC_RS20895;SC_RS32040;SC_RS32050	0.4217768702803399
GO:0006096	GO:0006096	2	15	2/150	4.307	0.07682683125280886	SC_RS17605;SC_RS36280	0.4217768702803399
GO:0016042	GO:0016042	1	3	1/150	10.767	0.0900514209018377	SC_RS39185	0.4217768702803399
GO:0006424	GO:0006424	1	3	1/150	10.767	0.0900514209018377	SC_RS29680	0.4217768702803399
GO:0004372	GO:0004372	1	3	1/150	10.767	0.0900514209018377	SC_RS26345	0.4217768702803399
GO:0006779	GO:0006779	1	3	1/150	10.767	0.0900514209018377	SC_RS32445	0.4217768702803399
GO:0030261	GO:0030261	1	3	1/150	10.767	0.0900514209018377	SC_RS16855	0.4217768702803399
GO:0019264	GO:0019264	1	3	1/150	10.767	0.0900514209018377	SC_RS26345	0.4217768702803399
GO:0019464	GO:0019464	1	3	1/150	10.767	0.0900514209018377	SC_RS29545	0.4217768702803399
GO:0015940	GO:0015940	1	3	1/150	10.767	0.0900514209018377	SC_RS13305	0.4217768702803399
GO:0019829	GO:0019829	1	3	1/150	10.767	0.0900514209018377	SC_RS06230	0.4217768702803399
GO:0015662	GO:0015662	1	3	1/150	10.767	0.0900514209018377	SC_RS06230	0.4217768702803399
GO:0004181	GO:0004181	1	4	1/150	8.075	0.11824065817253664	SC_RS27510	0.4217768702803399
GO:0009331	GO:0009331	1	4	1/150	8.075	0.11824065817253664	SC_RS30010	0.4217768702803399
GO:1990204	GO:1990204	1	4	1/150	8.075	0.11824065817253664	SC_RS05370	0.4217768702803399
GO:0009102	GO:0009102	1	4	1/150	8.075	0.11824065817253664	SC_RS08185	0.4217768702803399
