term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0006567	GO:0006567	2	4	2/47	51.543	0.0005459005106357509	SC_RS07390;SC_RS36175	0.0311163291062378
GO:0005507	GO:0005507	2	7	2/47	29.453	0.001875430537886003	SC_RS22390;SC_RS35745	0.05344977032975109
GO:0043190	GO:0043190	3	47	3/47	6.58	0.01029337903872746	SC_RS13560;SC_RS35415;SC_RS35970	0.17999182969093852
GO:0070968	GO:0070968	1	3	1/47	34.362	0.028826660700882654	SC_RS40335	0.17999182969093852
GO:0047429	GO:0047429	1	3	1/47	34.362	0.028826660700882654	SC_RS40000	0.17999182969093852
GO:0042626	GO:0042626	6	245	6/47	2.525	0.029646062522498563	SC_RS07280;SC_RS13560;SC_RS35415;SC_RS35970;SC_RS38055;SC_RS39980	0.17999182969093852
GO:0008080	GO:0008080	3	70	3/47	4.418	0.029774604059727226	SC_RS06555;SC_RS40455;SC_RS41020	0.17999182969093852
GO:0016746	GO:0016746	3	76	3/47	4.069	0.03673538032086189	SC_RS08095;SC_RS40455;SC_RS41020	0.17999182969093852
GO:0006164	GO:0006164	1	4	1/47	25.771	0.03825358076429827	SC_RS22480	0.17999182969093852
GO:0006526	GO:0006526	1	4	1/47	25.771	0.03825358076429827	SC_RS09910	0.17999182969093852
GO:0140359	GO:0140359	6	268	6/47	2.308	0.0432094657551407	SC_RS07280;SC_RS13560;SC_RS35415;SC_RS35970;SC_RS38055;SC_RS39980	0.17999182969093852
GO:0004659	GO:0004659	1	5	1/47	20.617	0.04759092464037306	SC_RS02875	0.17999182969093852
GO:0008800	GO:0008800	1	5	1/47	20.617	0.04759092464037306	SC_RS03150	0.17999182969093852
GO:0030655	GO:0030655	1	5	1/47	20.617	0.04759092464037306	SC_RS03150	0.17999182969093852
GO:0003954	GO:0003954	1	6	1/47	17.181	0.056839525165559526	SC_RS37730	0.17999182969093852
GO:0004146	GO:0004146	1	6	1/47	17.181	0.056839525165559526	SC_RS37385	0.17999182969093852
GO:0006116	GO:0006116	1	6	1/47	17.181	0.056839525165559526	SC_RS37730	0.17999182969093852
GO:0016407	GO:0016407	1	6	1/47	17.181	0.056839525165559526	SC_RS39795	0.17999182969093852
GO:0019200	GO:0019200	1	7	1/47	14.726	0.06600020760350511	SC_RS19495	0.18810059166998958
GO:0003755	GO:0003755	1	7	1/47	14.726	0.06600020760350511	SC_RS10200	0.18810059166998958
GO:0046654	GO:0046654	1	8	1/47	12.886	0.07507378971235903	SC_RS37385	0.20377171493354596
GO:0008745	GO:0008745	1	9	1/47	11.454	0.08406108181149467	SC_RS12970	0.21779462105705438
GO:0008299	GO:0008299	1	10	1/47	10.309	0.09296288684765257	SC_RS02875	0.23038628479635637
GO:0042834	GO:0042834	1	12	1/47	8.59	0.11051321104767393	SC_RS12970	0.2519701211886966
GO:0005829	GO:0005829	1	12	1/47	8.59	0.11051321104767393	SC_RS19495	0.2519701211886966
GO:0005576	GO:0005576	1	14	1/47	7.363	0.12773104091108647	SC_RS06075	0.2800257435358434
GO:0009132	GO:0009132	1	15	1/47	6.872	0.13621720134933502	SC_RS40000	0.28425809824423925
GO:0003678	GO:0003678	1	16	1/47	6.443	0.14462254121198137	SC_RS36405	0.28425809824423925
GO:0016853	GO:0016853	1	16	1/47	6.443	0.14462254121198137	SC_RS08820	0.28425809824423925
GO:0008643	GO:0008643	2	75	2/47	2.749	0.16417751685024054	SC_RS38055;SC_RS39980	0.30237846327826906
GO:0006355	GO:0006355	7	469	7/47	1.539	0.164451444940813	SC_RS02455;SC_RS07000;SC_RS07285;SC_RS29770;SC_RS37610;SC_RS37940;SC_RS40705	0.30237846327826906
GO:0050661	GO:0050661	1	20	1/47	5.154	0.17745065516952588	SC_RS37385	0.31092335344589866
GO:0008654	GO:0008654	1	21	1/47	4.909	0.18546305293264131	SC_RS08095	0.31092335344589866
GO:0030246	GO:0030246	1	21	1/47	4.909	0.18546305293264131	SC_RS05530	0.31092335344589866
GO:0055085	GO:0055085	5	321	5/47	1.606	0.197957062466411	SC_RS13560;SC_RS35970;SC_RS38055;SC_RS39980;SC_RS40865	0.31866063899107516
GO:0009058	GO:0009058	1	23	1/47	4.482	0.20125935094173167	SC_RS08820	0.31866063899107516
GO:0000156	GO:0000156	1	25	1/47	4.123	0.21675570557286694	SC_RS37610	0.3251335583593004
GO:0006260	GO:0006260	1	25	1/47	4.123	0.21675570557286694	SC_RS36405	0.3251335583593004
GO:0008236	GO:0008236	1	27	1/47	3.818	0.23195769070394048	SC_RS06075	0.33901508641345146
GO:0005975	GO:0005975	2	98	2/47	2.104	0.2457728298214911	SC_RS05530;SC_RS19495	0.3474448916509726
GO:0046872	GO:0046872	5	350	5/47	1.473	0.2499165010121031	SC_RS02875;SC_RS12970;SC_RS24060;SC_RS30720;SC_RS40000	0.3474448916509726
GO:0003700	GO:0003700	6	464	6/47	1.333	0.29218635676491356	SC_RS02455;SC_RS07000;SC_RS07285;SC_RS29770;SC_RS37940;SC_RS40705	0.396538627038097
GO:0071949	GO:0071949	1	46	1/47	2.241	0.3627017814484101	SC_RS06995	0.4807907335478924
GO:0050660	GO:0050660	1	49	1/47	2.104	0.3812473606384414	SC_RS26370	0.4938886262816173
GO:0005737	GO:0005737	1	51	1/47	2.021	0.3933165351561851	SC_RS08820	0.49820094453116776
GO:0055052	GO:0055052	1	66	1/47	1.562	0.4767782146128045	SC_RS07280	0.5844609490912105
GO:0003676	GO:0003676	1	67	1/47	1.539	0.4819239404787174	SC_RS03925	0.5844609490912105
GO:0003677	GO:0003677	7	684	7/47	1.055	0.5025892905428992	SC_RS02455;SC_RS07000;SC_RS07285;SC_RS29770;SC_RS37610;SC_RS37940;SC_RS40705	0.5968247825196928
GO:0005886	GO:0005886	1	85	1/47	1.213	0.5665116065839415	SC_RS40865	0.6566209891791704
GO:0000160	GO:0000160	1	88	1/47	1.171	0.5792286083536233	SC_RS37610	0.6566209891791704
GO:0008270	GO:0008270	1	90	1/47	1.145	0.5875029903182052	SC_RS03925	0.6566209891791704
GO:0016020	GO:0016020	4	427	4/47	0.966	0.604774713628228	SC_RS06245;SC_RS13560;SC_RS35415;SC_RS35970	0.6629261284001731
GO:0006508	GO:0006508	1	111	1/47	0.929	0.6653172225178596	SC_RS06075	0.7155298430852453
GO:0016491	GO:0016491	2	264	2/47	0.781	0.7350781443437576	SC_RS03130;SC_RS40610	0.775915819029522
GO:0022857	GO:0022857	1	183	1/47	0.563	0.8377217458676494	SC_RS40865	0.8681843548082911
GO:0016787	GO:0016787	1	230	1/47	0.448	0.8994455362669589	SC_RS05530	0.9155070637002974
GO:0005524	GO:0005524	2	570	2/47	0.362	0.9801586442710514	SC_RS36405;SC_RS37940	0.9801586442710514
