term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0016853	GO:0016853	5	16	5/249	6.081	0.000942522637316642	SC_RS04810;SC_RS11045;SC_RS15855;SC_RS18320;SC_RS35070	0.18850452746332838
GO:0004812	GO:0004812	2	4	2/249	9.729	0.014734068097777114	SC_RS15145;SC_RS34375	0.5617500643222834
GO:0008171	GO:0008171	2	4	2/249	9.729	0.014734068097777114	SC_RS13720;SC_RS39465	0.5617500643222834
GO:0000155	GO:0000155	9	76	9/249	2.304	0.015098891339061815	SC_RS04670;SC_RS04865;SC_RS07750;SC_RS08040;SC_RS13105;SC_RS28630;SC_RS34060;SC_RS35525;SC_RS37675	0.5617500643222834
GO:0004673	GO:0004673	8	71	8/249	2.192	0.02804027785487356	SC_RS04670;SC_RS04865;SC_RS07750;SC_RS08040;SC_RS28630;SC_RS34060;SC_RS35525;SC_RS37675	0.5617500643222834
GO:0008233	GO:0008233	4	24	4/249	3.243	0.032130791441487644	SC_RS24960;SC_RS27085;SC_RS28655;SC_RS31225	0.5617500643222834
GO:0000270	GO:0000270	2	6	2/249	6.486	0.03439874915741401	SC_RS24960;SC_RS28655	0.5617500643222834
GO:0008643	GO:0008643	8	75	8/249	2.076	0.037352611229117635	SC_RS04575;SC_RS13175;SC_RS14200;SC_RS16825;SC_RS17005;SC_RS37280;SC_RS39255;SC_RS39720	0.5617500643222834
GO:0055085	GO:0055085	24	321	24/249	1.455	0.03865632518133474	SC_RS04150;SC_RS04155;SC_RS04575;SC_RS06110;SC_RS11625;SC_RS12340;SC_RS14200;SC_RS15820;SC_RS16825;SC_RS16925;SC_RS17005;SC_RS24475;SC_RS29140;SC_RS29185;SC_RS31380;SC_RS33825;SC_RS35420;SC_RS35970;SC_RS37280;SC_RS37865;SC_RS38955;SC_RS39180;SC_RS39255;SC_RS39720	0.5617500643222834
GO:0015803	GO:0015803	2	7	2/249	5.559	0.04654896221005711	SC_RS05460;SC_RS38135	0.5617500643222834
GO:0019200	GO:0019200	2	7	2/249	5.559	0.04654896221005711	SC_RS06185;SC_RS14750	0.5617500643222834
GO:0008234	GO:0008234	2	7	2/249	5.559	0.04654896221005711	SC_RS24960;SC_RS28655	0.5617500643222834
GO:0009245	GO:0009245	2	7	2/249	5.559	0.04654896221005711	SC_RS04660;SC_RS28760	0.5617500643222834
GO:1902600	GO:1902600	2	9	2/249	4.324	0.07458867010490265	SC_RS39115;SC_RS40310	0.5617500643222834
GO:0000036	GO:0000036	2	9	2/249	4.324	0.07458867010490265	SC_RS04660;SC_RS28760	0.5617500643222834
GO:0000035	GO:0000035	2	9	2/249	4.324	0.07458867010490265	SC_RS04660;SC_RS28760	0.5617500643222834
GO:0008270	GO:0008270	8	90	8/249	1.73	0.08976717169724477	SC_RS06675;SC_RS07135;SC_RS09695;SC_RS11000;SC_RS25280;SC_RS27510;SC_RS32515;SC_RS33075	0.5617500643222834
GO:0043190	GO:0043190	5	47	5/249	2.07	0.09147288798789244	SC_RS12340;SC_RS13175;SC_RS20895;SC_RS35415;SC_RS35970	0.5617500643222834
GO:0016740	GO:0016740	3	22	3/249	2.653	0.10055170735257267	SC_RS10495;SC_RS11045;SC_RS39740	0.5617500643222834
GO:0007165	GO:0007165	8	94	8/249	1.656	0.1086233351651178	SC_RS04670;SC_RS04865;SC_RS07750;SC_RS08040;SC_RS28630;SC_RS34060;SC_RS35525;SC_RS37675	0.5617500643222834
GO:0042834	GO:0042834	2	12	2/249	3.243	0.12372092832788624	SC_RS05610;SC_RS12970	0.5617500643222834
GO:0005829	GO:0005829	2	12	2/249	3.243	0.12372092832788624	SC_RS06185;SC_RS14750	0.5617500643222834
GO:0005975	GO:0005975	8	98	8/249	1.588	0.12948971706608245	SC_RS04200;SC_RS05290;SC_RS06185;SC_RS14750;SC_RS35590;SC_RS37275;SC_RS37580;SC_RS40360	0.5617500643222834
GO:0006260	GO:0006260	3	25	3/249	2.335	0.13451779001008285	SC_RS09350;SC_RS11165;SC_RS29655	0.5617500643222834
GO:0140359	GO:0140359	18	268	18/249	1.307	0.1448769158095078	SC_RS04575;SC_RS05460;SC_RS05470;SC_RS10945;SC_RS12340;SC_RS13175;SC_RS14200;SC_RS15820;SC_RS20895;SC_RS27340;SC_RS29140;SC_RS30795;SC_RS32550;SC_RS35415;SC_RS35970;SC_RS38135;SC_RS39255;SC_RS39720	0.5617500643222834
GO:0019645	GO:0019645	1	3	1/249	6.486	0.14642017493817083	SC_RS03040	0.5617500643222834
GO:0004556	GO:0004556	1	3	1/249	6.486	0.14642017493817083	SC_RS37275	0.5617500643222834
GO:0004045	GO:0004045	1	3	1/249	6.486	0.14642017493817083	SC_RS32470	0.5617500643222834
GO:0008289	GO:0008289	1	3	1/249	6.486	0.14642017493817083	SC_RS02830	0.5617500643222834
GO:0004574	GO:0004574	1	3	1/249	6.486	0.14642017493817083	SC_RS37275	0.5617500643222834
GO:0006090	GO:0006090	1	3	1/249	6.486	0.14642017493817083	SC_RS04645	0.5617500643222834
GO:0009311	GO:0009311	1	3	1/249	6.486	0.14642017493817083	SC_RS37275	0.5617500643222834
GO:0065003	GO:0065003	1	3	1/249	6.486	0.14642017493817083	SC_RS27025	0.5617500643222834
GO:0006418	GO:0006418	1	3	1/249	6.486	0.14642017493817083	SC_RS34375	0.5617500643222834
GO:0006564	GO:0006564	1	3	1/249	6.486	0.14642017493817083	SC_RS11065	0.5617500643222834
GO:0016042	GO:0016042	1	3	1/249	6.486	0.14642017493817083	SC_RS39185	0.5617500643222834
GO:0046556	GO:0046556	1	3	1/249	6.486	0.14642017493817083	SC_RS09930	0.5617500643222834
GO:0005978	GO:0005978	1	3	1/249	6.486	0.14642017493817083	SC_RS38875	0.5617500643222834
GO:0019752	GO:0019752	1	3	1/249	6.486	0.14642017493817083	SC_RS12120	0.5617500643222834
GO:0046373	GO:0046373	1	3	1/249	6.486	0.14642017493817083	SC_RS09930	0.5617500643222834
GO:0006541	GO:0006541	1	3	1/249	6.486	0.14642017493817083	SC_RS39740	0.5617500643222834
