term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0016853	GO:0016853	4	16	4/206	5.88	0.0038595522599002073	SC_RS04820;SC_RS08820;SC_RS15835;SC_RS18855	0.4969534052437088
GO:0051287	GO:0051287	5	31	5/206	3.793	0.009113506750046827	SC_RS03820;SC_RS12310;SC_RS15275;SC_RS24990;SC_RS30010	0.4969534052437088
GO:0019200	GO:0019200	2	7	2/206	6.72	0.03280408451747069	SC_RS14750;SC_RS19495	0.4969534052437088
GO:0016620	GO:0016620	2	7	2/206	6.72	0.03280408451747069	SC_RS15275;SC_RS35130	0.4969534052437088
GO:0010124	GO:0010124	2	8	2/206	5.88	0.0425320367398729	SC_RS39555;SC_RS39560	0.4969534052437088
GO:0050660	GO:0050660	5	49	5/206	2.4	0.0554767733390738	SC_RS08365;SC_RS24005;SC_RS26305;SC_RS26370;SC_RS36115	0.4969534052437088
GO:0006396	GO:0006396	2	10	2/206	4.704	0.06465532605488265	SC_RS18605;SC_RS21625	0.4969534052437088
GO:0016779	GO:0016779	2	10	2/206	4.704	0.06465532605488265	SC_RS10835;SC_RS21625	0.4969534052437088
GO:0046872	GO:0046872	21	350	21/206	1.411	0.06618077537678199	SC_RS02875;SC_RS06230;SC_RS08600;SC_RS10835;SC_RS10845;SC_RS11875;SC_RS12310;SC_RS12970;SC_RS13455;SC_RS15970;SC_RS21115;SC_RS21970;SC_RS23755;SC_RS24005;SC_RS24060;SC_RS29005;SC_RS33140;SC_RS33160;SC_RS36810;SC_RS37165;SC_RS39085	0.4969534052437088
GO:0009058	GO:0009058	3	23	3/206	3.068	0.0717774826081632	SC_RS08820;SC_RS24000;SC_RS34805	0.4969534052437088
GO:0032259	GO:0032259	4	38	4/206	2.476	0.07597740708398894	SC_RS06105;SC_RS11875;SC_RS12890;SC_RS38280	0.4969534052437088
GO:0008237	GO:0008237	3	25	3/206	2.822	0.08770000351033148	SC_RS22630;SC_RS31215;SC_RS40220	0.4969534052437088
GO:0005829	GO:0005829	2	12	2/206	3.92	0.08973267012492667	SC_RS14750;SC_RS19495	0.4969534052437088
GO:0016787	GO:0016787	14	230	14/206	1.432	0.10983801970647315	SC_RS04435;SC_RS05530;SC_RS07105;SC_RS08715;SC_RS08955;SC_RS11695;SC_RS13455;SC_RS18715;SC_RS19835;SC_RS20360;SC_RS28655;SC_RS33140;SC_RS38380;SC_RS39085	0.4969534052437088
GO:0008289	GO:0008289	1	3	1/206	7.84	0.12223183083355514	SC_RS39090	0.4969534052437088
GO:0031179	GO:0031179	1	3	1/206	7.84	0.12223183083355514	SC_RS23305	0.4969534052437088
GO:0000917	GO:0000917	1	3	1/206	7.84	0.12223183083355514	SC_RS12435	0.4969534052437088
GO:0019829	GO:0019829	1	3	1/206	7.84	0.12223183083355514	SC_RS06230	0.4969534052437088
GO:0006564	GO:0006564	1	3	1/206	7.84	0.12223183083355514	SC_RS24000	0.4969534052437088
GO:0015662	GO:0015662	1	3	1/206	7.84	0.12223183083355514	SC_RS06230	0.4969534052437088
GO:0070968	GO:0070968	1	3	1/206	7.84	0.12223183083355514	SC_RS40335	0.4969534052437088
GO:0045127	GO:0045127	1	3	1/206	7.84	0.12223183083355514	SC_RS07525	0.4969534052437088
GO:0110001	GO:0110001	1	3	1/206	7.84	0.12223183083355514	SC_RS13205	0.4969534052437088
GO:0090529	GO:0090529	1	3	1/206	7.84	0.12223183083355514	SC_RS12435	0.4969534052437088
GO:0006424	GO:0006424	1	3	1/206	7.84	0.12223183083355514	SC_RS29680	0.4969534052437088
GO:0120549	GO:0120549	1	3	1/206	7.84	0.12223183083355514	SC_RS38905	0.4969534052437088
GO:0009691	GO:0009691	1	3	1/206	7.84	0.12223183083355514	SC_RS29640	0.4969534052437088
GO:0004372	GO:0004372	1	3	1/206	7.84	0.12223183083355514	SC_RS26345	0.4969534052437088
GO:0030261	GO:0030261	1	3	1/206	7.84	0.12223183083355514	SC_RS16855	0.4969534052437088
GO:0019264	GO:0019264	1	3	1/206	7.84	0.12223183083355514	SC_RS26345	0.4969534052437088
GO:0015940	GO:0015940	1	3	1/206	7.84	0.12223183083355514	SC_RS13305	0.4969534052437088
GO:0004177	GO:0004177	2	15	2/206	3.136	0.13151112928095215	SC_RS31215;SC_RS40220	0.4969534052437088
GO:0043190	GO:0043190	4	47	4/206	2.002	0.1376645006439559	SC_RS14060;SC_RS17905;SC_RS35415;SC_RS35970	0.4969534052437088
GO:0005886	GO:0005886	6	85	6/206	1.66	0.1518335696919992	SC_RS03745;SC_RS20940;SC_RS21755;SC_RS26600;SC_RS38805;SC_RS40865	0.4969534052437088
GO:0016421	GO:0016421	1	4	1/206	5.88	0.1595759536853287	SC_RS15970	0.4969534052437088
GO:0051131	GO:0051131	1	4	1/206	5.88	0.1595759536853287	SC_RS12015	0.4969534052437088
GO:0006567	GO:0006567	1	4	1/206	5.88	0.1595759536853287	SC_RS07390	0.4969534052437088
GO:0006164	GO:0006164	1	4	1/206	5.88	0.1595759536853287	SC_RS22480	0.4969534052437088
GO:0004565	GO:0004565	1	4	1/206	5.88	0.1595759536853287	SC_RS33950	0.4969534052437088
GO:0005992	GO:0005992	1	4	1/206	5.88	0.1595759536853287	SC_RS23635	0.4969534052437088
GO:0009331	GO:0009331	1	4	1/206	5.88	0.1595759536853287	SC_RS30010	0.4969534052437088
GO:0016818	GO:0016818	1	4	1/206	5.88	0.1595759536853287	SC_RS10845	0.4969534052437088
GO:0030552	GO:0030552	1	4	1/206	5.88	0.1595759536853287	SC_RS38765	0.4969534052437088
GO:0030639	GO:0030639	1	4	1/206	5.88	0.1595759536853287	SC_RS40545	0.4969534052437088
GO:0019941	GO:0019941	1	4	1/206	5.88	0.1595759536853287	SC_RS10240	0.4969534052437088
GO:0005980	GO:0005980	1	4	1/206	5.88	0.1595759536853287	SC_RS38905	0.4969534052437088
GO:0008171	GO:0008171	1	4	1/206	5.88	0.1595759536853287	SC_RS39465	0.4969534052437088
GO:0043093	GO:0043093	1	4	1/206	5.88	0.1595759536853287	SC_RS12435	0.4969534052437088
GO:0004075	GO:0004075	1	4	1/206	5.88	0.1595759536853287	SC_RS15970	0.4969534052437088
GO:0006865	GO:0006865	2	17	2/206	2.767	0.16135739244337705	SC_RS16670;SC_RS38205	0.4969534052437088
GO:0004252	GO:0004252	3	33	3/206	2.138	0.16349404595686953	SC_RS05690;SC_RS22975;SC_RS31225	0.4969534052437088
GO:0010498	GO:0010498	1	5	1/206	4.704	0.19533867906042113	SC_RS10240	0.4969534052437088
GO:0016226	GO:0016226	1	5	1/206	4.704	0.19533867906042113	SC_RS11645	0.4969534052437088
GO:0006086	GO:0006086	1	5	1/206	4.704	0.19533867906042113	SC_RS12955	0.4969534052437088
GO:0016773	GO:0016773	1	5	1/206	4.704	0.19533867906042113	SC_RS14750	0.4969534052437088
GO:0004739	GO:0004739	1	5	1/206	4.704	0.19533867906042113	SC_RS12955	0.4969534052437088
GO:0000271	GO:0000271	1	5	1/206	4.704	0.19533867906042113	SC_RS03820	0.4969534052437088
GO:0045254	GO:0045254	1	5	1/206	4.704	0.19533867906042113	SC_RS12955	0.4969534052437088
GO:0030655	GO:0030655	1	5	1/206	4.704	0.19533867906042113	SC_RS03150	0.4969534052437088
GO:0052699	GO:0052699	1	5	1/206	4.704	0.19533867906042113	SC_RS06510	0.4969534052437088
GO:0008652	GO:0008652	1	5	1/206	4.704	0.19533867906042113	SC_RS15275	0.4969534052437088
GO:0003908	GO:0003908	1	5	1/206	4.704	0.19533867906042113	SC_RS11875	0.4969534052437088
GO:0004659	GO:0004659	1	5	1/206	4.704	0.19533867906042113	SC_RS02875	0.4969534052437088
GO:0008800	GO:0008800	1	5	1/206	4.704	0.19533867906042113	SC_RS03150	0.4969534052437088
