term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0016853	GO:0016853	7	16	7/406	5.221	0.00016178041134906767	SC_RS04820;SC_RS08820;SC_RS13610;SC_RS15835;SC_RS15855;SC_RS18320;SC_RS18855	0.03866551831242718
GO:0043190	GO:0043190	9	47	9/406	2.285	0.01444389626406594	SC_RS12340;SC_RS14055;SC_RS14060;SC_RS17905;SC_RS20895;SC_RS32040;SC_RS32050;SC_RS35415;SC_RS35970	0.5930104549575843
GO:0046373	GO:0046373	2	3	2/406	7.956	0.01984972234167646	SC_RS09930;SC_RS31910	0.5930104549575843
GO:0006424	GO:0006424	2	3	2/406	7.956	0.01984972234167646	SC_RS29675;SC_RS29680	0.5930104549575843
GO:0000917	GO:0000917	2	3	2/406	7.956	0.01984972234167646	SC_RS12435;SC_RS32080	0.5930104549575843
GO:0090529	GO:0090529	2	3	2/406	7.956	0.01984972234167646	SC_RS12435;SC_RS32080	0.5930104549575843
GO:0046556	GO:0046556	2	3	2/406	7.956	0.01984972234167646	SC_RS09930;SC_RS31910	0.5930104549575843
GO:0006564	GO:0006564	2	3	2/406	7.956	0.01984972234167646	SC_RS11065;SC_RS24000	0.5930104549575843
GO:0010124	GO:0010124	3	8	3/406	4.475	0.023780953230473297	SC_RS39555;SC_RS39560;SC_RS39570	0.631516424675902
GO:0043093	GO:0043093	2	4	2/406	5.967	0.03750756263120302	SC_RS12435;SC_RS32080	0.6403076763469658
GO:0006567	GO:0006567	2	4	2/406	5.967	0.03750756263120302	SC_RS07390;SC_RS19050	0.6403076763469658
GO:0019941	GO:0019941	2	4	2/406	5.967	0.03750756263120302	SC_RS10240;SC_RS10245	0.6403076763469658
GO:0008171	GO:0008171	2	4	2/406	5.967	0.03750756263120302	SC_RS13720;SC_RS39465	0.6403076763469658
GO:0004812	GO:0004812	2	4	2/406	5.967	0.03750756263120302	SC_RS15145;SC_RS34375	0.6403076763469658
GO:0009101	GO:0009101	3	11	3/406	3.255	0.05805763075337196	SC_RS10905;SC_RS27420;SC_RS33170	0.6619775404047563
GO:0010498	GO:0010498	2	5	2/406	4.773	0.05908653043802786	SC_RS10240;SC_RS10245	0.6619775404047563
GO:0000166	GO:0000166	10	72	10/406	1.657	0.07563995272576982	SC_RS09480;SC_RS10835;SC_RS14225;SC_RS15145;SC_RS19155;SC_RS26355;SC_RS34375;SC_RS35045;SC_RS37910;SC_RS40615	0.6619775404047563
GO:0003954	GO:0003954	2	6	2/406	3.978	0.08380871566299561	SC_RS34675;SC_RS37730	0.6619775404047563
GO:0004146	GO:0004146	2	6	2/406	3.978	0.08380871566299561	SC_RS20645;SC_RS37385	0.6619775404047563
GO:0006116	GO:0006116	2	6	2/406	3.978	0.08380871566299561	SC_RS34675;SC_RS37730	0.6619775404047563
GO:0051536	GO:0051536	5	29	5/406	2.057	0.09011846920101498	SC_RS08180;SC_RS24005;SC_RS32075;SC_RS36810;SC_RS37035	0.6619775404047563
GO:0030246	GO:0030246	4	21	4/406	2.273	0.09317799507854142	SC_RS05530;SC_RS21340;SC_RS32330;SC_RS40075	0.6619775404047563
GO:0005886	GO:0005886	11	85	11/406	1.544	0.09610751676183593	SC_RS03745;SC_RS10450;SC_RS16710;SC_RS17335;SC_RS20940;SC_RS21755;SC_RS26600;SC_RS32040;SC_RS33115;SC_RS38805;SC_RS40865	0.6619775404047563
GO:0015803	GO:0015803	2	7	2/406	3.41	0.11099852135989131	SC_RS05460;SC_RS05465	0.6619775404047563
GO:0000162	GO:0000162	2	7	2/406	3.41	0.11099852135989131	SC_RS12215;SC_RS18180	0.6619775404047563
GO:0016620	GO:0016620	2	7	2/406	3.41	0.11099852135989131	SC_RS15275;SC_RS35130	0.6619775404047563
GO:0019200	GO:0019200	2	7	2/406	3.41	0.11099852135989131	SC_RS14750;SC_RS19495	0.6619775404047563
GO:0050660	GO:0050660	7	49	7/406	1.705	0.11169658921470288	SC_RS05370;SC_RS08365;SC_RS24005;SC_RS26305;SC_RS26370;SC_RS32075;SC_RS36115	0.6619775404047563
GO:0016491	GO:0016491	28	264	28/406	1.266	0.11185692360642777	SC_RS02310;SC_RS02670;SC_RS03020;SC_RS03130;SC_RS03800;SC_RS04055;SC_RS05830;SC_RS07375;SC_RS08365;SC_RS10065;SC_RS14225;SC_RS14505;SC_RS18675;SC_RS19045;SC_RS21280;SC_RS23585;SC_RS24005;SC_RS26305;SC_RS26720;SC_RS26890;SC_RS32075;SC_RS32435;SC_RS34510;SC_RS34670;SC_RS36110;SC_RS40485;SC_RS40610;SC_RS40615	0.6619775404047563
GO:0051287	GO:0051287	5	31	5/406	1.925	0.11271025006567799	SC_RS03820;SC_RS12310;SC_RS15275;SC_RS24990;SC_RS30010	0.6619775404047563
GO:0005975	GO:0005975	12	98	12/406	1.461	0.11600092980346426	SC_RS04820;SC_RS05530;SC_RS14750;SC_RS19495;SC_RS21340;SC_RS31905;SC_RS33950;SC_RS35590;SC_RS37275;SC_RS37580;SC_RS39910;SC_RS40075	0.6619775404047563
GO:0009058	GO:0009058	4	23	4/406	2.075	0.12110958696139931	SC_RS08820;SC_RS24000;SC_RS27080;SC_RS34805	0.6619775404047563
GO:0046654	GO:0046654	2	8	2/406	2.983	0.14007104406969728	SC_RS20645;SC_RS37385	0.6619775404047563
GO:0055085	GO:0055085	32	321	32/406	1.19	0.1680531898771763	SC_RS03785;SC_RS04575;SC_RS05035;SC_RS07245;SC_RS07905;SC_RS10560;SC_RS11625;SC_RS12340;SC_RS13295;SC_RS13345;SC_RS15820;SC_RS16670;SC_RS17005;SC_RS20380;SC_RS23510;SC_RS24475;SC_RS24480;SC_RS25085;SC_RS29185;SC_RS33500;SC_RS33825;SC_RS35210;SC_RS35970;SC_RS37280;SC_RS37375;SC_RS38805;SC_RS39180;SC_RS39255;SC_RS39380;SC_RS39720;SC_RS40225;SC_RS40865	0.6619775404047563
GO:0016874	GO:0016874	2	9	2/406	2.652	0.17052167596610773	SC_RS34380;SC_RS40605	0.6619775404047563
GO:0051920	GO:0051920	2	9	2/406	2.652	0.17052167596610773	SC_RS26335;SC_RS26850	0.6619775404047563
GO:0003684	GO:0003684	2	9	2/406	2.652	0.17052167596610773	SC_RS06675;SC_RS17670	0.6619775404047563
GO:0006281	GO:0006281	5	36	5/406	1.657	0.17933137999567964	SC_RS06675;SC_RS09565;SC_RS11875;SC_RS17670;SC_RS29655	0.6619775404047563
GO:0071949	GO:0071949	6	46	6/406	1.557	0.18391833412848216	SC_RS14225;SC_RS24005;SC_RS32075;SC_RS38640;SC_RS40325;SC_RS40485	0.6619775404047563
GO:0010181	GO:0010181	5	37	5/406	1.613	0.19413976418254392	SC_RS03020;SC_RS04900;SC_RS23585;SC_RS24990;SC_RS34510	0.6619775404047563
GO:0006396	GO:0006396	2	10	2/406	2.387	0.20191680637047124	SC_RS18605;SC_RS21625	0.6619775404047563
GO:0016779	GO:0016779	2	10	2/406	2.387	0.20191680637047124	SC_RS10835;SC_RS21625	0.6619775404047563
GO:0070726	GO:0070726	2	10	2/406	2.387	0.20191680637047124	SC_RS17335;SC_RS25935	0.6619775404047563
