term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0046373	GO:0046373	2	3	2/166	19.458	0.0034221463210493243	SC_RS09930;SC_RS31910	0.25494990091817465
GO:0046556	GO:0046556	2	3	2/166	19.458	0.0034221463210493243	SC_RS09930;SC_RS31910	0.25494990091817465
GO:0006567	GO:0006567	2	4	2/166	14.593	0.006690201491959231	SC_RS07390;SC_RS19050	0.3322800074339752
GO:0003954	GO:0003954	2	6	2/166	9.729	0.015983921157885723	SC_RS34675;SC_RS37730	0.46568621552629363
GO:0006116	GO:0006116	2	6	2/166	9.729	0.015983921157885723	SC_RS34675;SC_RS37730	0.46568621552629363
GO:0043190	GO:0043190	5	47	5/166	3.105	0.021340497311582295	SC_RS12340;SC_RS14055;SC_RS32040;SC_RS32050;SC_RS35415	0.46568621552629363
GO:0019200	GO:0019200	2	7	2/166	8.339	0.021877875897208427	SC_RS14750;SC_RS19495	0.46568621552629363
GO:0006352	GO:0006352	5	49	5/166	2.978	0.0251246128852467	SC_RS09835;SC_RS11410;SC_RS26855;SC_RS26965;SC_RS38785	0.4679459149877198
GO:0016987	GO:0016987	5	52	5/166	2.806	0.03156644958853629	SC_RS09835;SC_RS11410;SC_RS25945;SC_RS26855;SC_RS38785	0.5091104263877985
GO:0008643	GO:0008643	6	75	6/166	2.335	0.04250606744238711	SC_RS04575;SC_RS17005;SC_RS35210;SC_RS37280;SC_RS39255;SC_RS39720	0.5091104263877985
GO:0005975	GO:0005975	7	98	7/166	2.085	0.04986587631521444	SC_RS05530;SC_RS14750;SC_RS19495;SC_RS31905;SC_RS35590;SC_RS37580;SC_RS40075	0.5091104263877985
GO:0005829	GO:0005829	2	12	2/166	4.864	0.06147829715896334	SC_RS14750;SC_RS19495	0.5091104263877985
GO:0006564	GO:0006564	1	3	1/166	9.729	0.09932471079102372	SC_RS11065	0.5091104263877985
GO:0016042	GO:0016042	1	3	1/166	9.729	0.09932471079102372	SC_RS39185	0.5091104263877985
GO:0019752	GO:0019752	1	3	1/166	9.729	0.09932471079102372	SC_RS12120	0.5091104263877985
GO:0005978	GO:0005978	1	3	1/166	9.729	0.09932471079102372	SC_RS38875	0.5091104263877985
GO:0019829	GO:0019829	1	3	1/166	9.729	0.09932471079102372	SC_RS06230	0.5091104263877985
GO:0015662	GO:0015662	1	3	1/166	9.729	0.09932471079102372	SC_RS06230	0.5091104263877985
GO:0006424	GO:0006424	1	3	1/166	9.729	0.09932471079102372	SC_RS29680	0.5091104263877985
GO:0065003	GO:0065003	1	3	1/166	9.729	0.09932471079102372	SC_RS27025	0.5091104263877985
GO:0070968	GO:0070968	1	3	1/166	9.729	0.09932471079102372	SC_RS40335	0.5091104263877985
GO:0004372	GO:0004372	1	3	1/166	9.729	0.09932471079102372	SC_RS26345	0.5091104263877985
GO:0019264	GO:0019264	1	3	1/166	9.729	0.09932471079102372	SC_RS26345	0.5091104263877985
GO:0030261	GO:0030261	1	3	1/166	9.729	0.09932471079102372	SC_RS16855	0.5091104263877985
GO:0004045	GO:0004045	1	3	1/166	9.729	0.09932471079102372	SC_RS32470	0.5091104263877985
GO:0016853	GO:0016853	2	16	2/166	3.648	0.10232668821871897	SC_RS08820;SC_RS15855	0.5091104263877985
GO:0004812	GO:0004812	1	4	1/166	7.297	0.13020288055737855	SC_RS15145	0.5091104263877985
GO:0004096	GO:0004096	1	4	1/166	7.297	0.13020288055737855	SC_RS03805	0.5091104263877985
GO:1990204	GO:1990204	1	4	1/166	7.297	0.13020288055737855	SC_RS05370	0.5091104263877985
GO:0009331	GO:0009331	1	4	1/166	7.297	0.13020288055737855	SC_RS30010	0.5091104263877985
GO:0019288	GO:0019288	1	4	1/166	7.297	0.13020288055737855	SC_RS23355	0.5091104263877985
GO:0016783	GO:0016783	1	4	1/166	7.297	0.13020288055737855	SC_RS23010	0.5091104263877985
GO:0006164	GO:0006164	1	4	1/166	7.297	0.13020288055737855	SC_RS22480	0.5091104263877985
GO:0016879	GO:0016879	1	4	1/166	7.297	0.13020288055737855	SC_RS19155	0.5091104263877985
GO:0019941	GO:0019941	1	4	1/166	7.297	0.13020288055737855	SC_RS10245	0.5091104263877985
GO:0008171	GO:0008171	1	4	1/166	7.297	0.13020288055737855	SC_RS13720	0.5091104263877985
GO:0006824	GO:0006824	1	4	1/166	7.297	0.13020288055737855	SC_RS32040	0.5091104263877985
GO:0033014	GO:0033014	1	5	1/166	5.837	0.16002860289315113	SC_RS38930	0.5091104263877985
GO:0008615	GO:0008615	1	5	1/166	5.837	0.16002860289315113	SC_RS36025	0.5091104263877985
GO:0030655	GO:0030655	1	5	1/166	5.837	0.16002860289315113	SC_RS03150	0.5091104263877985
GO:0015851	GO:0015851	1	5	1/166	5.837	0.16002860289315113	SC_RS33115	0.5091104263877985
GO:0015205	GO:0015205	1	5	1/166	5.837	0.16002860289315113	SC_RS33115	0.5091104263877985
GO:0008800	GO:0008800	1	5	1/166	5.837	0.16002860289315113	SC_RS03150	0.5091104263877985
GO:0016226	GO:0016226	1	5	1/166	5.837	0.16002860289315113	SC_RS11645	0.5091104263877985
GO:0010498	GO:0010498	1	5	1/166	5.837	0.16002860289315113	SC_RS10245	0.5091104263877985
GO:0016773	GO:0016773	1	5	1/166	5.837	0.16002860289315113	SC_RS14750	0.5091104263877985
GO:0030246	GO:0030246	2	21	2/166	2.78	0.16059187946460757	SC_RS05530;SC_RS40075	0.5091104263877985
GO:0009058	GO:0009058	2	23	2/166	2.538	0.18531556652957973	SC_RS08820;SC_RS27080	0.5148188173146963
GO:0046933	GO:0046933	1	6	1/166	4.864	0.18883753924020422	SC_RS29035	0.5148188173146963
GO:0004146	GO:0004146	1	6	1/166	4.864	0.18883753924020422	SC_RS20645	0.5148188173146963
GO:0070967	GO:0070967	2	24	2/166	2.432	0.1978741996516973	SC_RS34670;SC_RS36110	0.5148188173146963
GO:0055085	GO:0055085	14	321	14/166	1.273	0.20865260425598062	SC_RS04575;SC_RS10560;SC_RS11625;SC_RS12340;SC_RS15820;SC_RS17005;SC_RS24475;SC_RS29185;SC_RS33825;SC_RS35210;SC_RS37280;SC_RS39255;SC_RS39720;SC_RS40865	0.5148188173146963
GO:0006260	GO:0006260	2	25	2/166	2.335	0.21053306806969485	SC_RS11165;SC_RS29655	0.5148188173146963
GO:0006072	GO:0006072	1	7	1/166	4.17	0.21666414979737017	SC_RS30010	0.5148188173146963
GO:0006950	GO:0006950	1	7	1/166	4.17	0.21666414979737017	SC_RS15280	0.5148188173146963
GO:0009245	GO:0009245	1	7	1/166	4.17	0.21666414979737017	SC_RS28760	0.5148188173146963
GO:0008033	GO:0008033	1	7	1/166	4.17	0.21666414979737017	SC_RS19155	0.5148188173146963
GO:0009228	GO:0009228	1	7	1/166	4.17	0.21666414979737017	SC_RS36025	0.5148188173146963
GO:0000162	GO:0000162	1	7	1/166	4.17	0.21666414979737017	SC_RS18180	0.5148188173146963
GO:0006364	GO:0006364	1	7	1/166	4.17	0.21666414979737017	SC_RS09475	0.5148188173146963
GO:0000166	GO:0000166	4	72	4/166	1.621	0.23243111739493125	SC_RS09480;SC_RS14225;SC_RS15145;SC_RS19155	0.5148188173146963
GO:0004553	GO:0004553	3	49	3/166	1.787	0.2352011472503476	SC_RS31905;SC_RS37580;SC_RS40075	0.5148188173146963
GO:0003700	GO:0003700	19	464	19/166	1.195	0.23703723428334944	SC_RS04270;SC_RS05485;SC_RS06045;SC_RS09835;SC_RS10530;SC_RS11515;SC_RS11810;SC_RS14025;SC_RS22050;SC_RS22780;SC_RS23710;SC_RS24470;SC_RS25370;SC_RS25990;SC_RS26885;SC_RS26965;SC_RS29770;SC_RS38785;SC_RS39260	0.5148188173146963
GO:0045259	GO:0045259	1	8	1/166	3.648	0.24354173374396715	SC_RS29035	0.5148188173146963
GO:0010124	GO:0010124	1	8	1/166	3.648	0.24354173374396715	SC_RS39570	0.5148188173146963
GO:0018104	GO:0018104	1	8	1/166	3.648	0.24354173374396715	SC_RS18085	0.5148188173146963
GO:0071972	GO:0071972	1	8	1/166	3.648	0.24354173374396715	SC_RS18085	0.5148188173146963
GO:0015986	GO:0015986	1	8	1/166	3.648	0.24354173374396715	SC_RS29035	0.5148188173146963
GO:0046654	GO:0046654	1	8	1/166	3.648	0.24354173374396715	SC_RS20645	0.5148188173146963
GO:0005737	GO:0005737	3	51	3/166	1.717	0.2537042963154697	SC_RS08820;SC_RS09480;SC_RS36025	0.5148188173146963
GO:0004672	GO:0004672	1	9	1/166	3.243	0.2695024681244719	SC_RS35590	0.5148188173146963
GO:0043546	GO:0043546	1	9	1/166	3.243	0.2695024681244719	SC_RS27025	0.5148188173146963
GO:0008745	GO:0008745	1	9	1/166	3.243	0.2695024681244719	SC_RS12970	0.5148188173146963
GO:0000036	GO:0000036	1	9	1/166	3.243	0.2695024681244719	SC_RS28760	0.5148188173146963
GO:0000035	GO:0000035	1	9	1/166	3.243	0.2695024681244719	SC_RS28760	0.5148188173146963
GO:0015934	GO:0015934	1	9	1/166	3.243	0.2695024681244719	SC_RS25760	0.5148188173146963
GO:0051920	GO:0051920	1	9	1/166	3.243	0.2695024681244719	SC_RS26850	0.5148188173146963
GO:0016788	GO:0016788	1	9	1/166	3.243	0.2695024681244719	SC_RS08225	0.5148188173146963
GO:0016491	GO:0016491	11	264	11/166	1.216	0.2939486559344614	SC_RS02670;SC_RS03020;SC_RS03130;SC_RS03800;SC_RS14225;SC_RS19045;SC_RS26720;SC_RS26890;SC_RS32435;SC_RS34670;SC_RS36110	0.541877029263679
GO:0016790	GO:0016790	1	10	1/166	2.919	0.2945774454386443	SC_RS33330	0.541877029263679
GO:0070726	GO:0070726	1	10	1/166	2.919	0.2945774454386443	SC_RS17335	0.541877029263679
GO:0003677	GO:0003677	26	684	26/166	1.109	0.31282686846598906	SC_RS03135;SC_RS04270;SC_RS05485;SC_RS06045;SC_RS09835;SC_RS10530;SC_RS11165;SC_RS11410;SC_RS11515;SC_RS11810;SC_RS16855;SC_RS22050;SC_RS23070;SC_RS23710;SC_RS24370;SC_RS24470;SC_RS25370;SC_RS25990;SC_RS26885;SC_RS29655;SC_RS29770;SC_RS37035;SC_RS37610;SC_RS38785;SC_RS39260;SC_RS41225	0.5684293097735655
GO:0009101	GO:0009101	1	11	1/166	2.653	0.3187967099799442	SC_RS27420	0.5722977082772492
GO:0005886	GO:0005886	4	85	4/166	1.373	0.3325029234832063	SC_RS17335;SC_RS32040;SC_RS33115;SC_RS40865	0.5897968523690208
GO:0006355	GO:0006355	18	469	18/166	1.12	0.3406862726663481	SC_RS05485;SC_RS09835;SC_RS10530;SC_RS11410;SC_RS11810;SC_RS14025;SC_RS22780;SC_RS23710;SC_RS24470;SC_RS25370;SC_RS26855;SC_RS26885;SC_RS26965;SC_RS29770;SC_RS33895;SC_RS37610;SC_RS38785;SC_RS39260	0.5928628447858929
GO:0042834	GO:0042834	1	12	1/166	2.432	0.3421892929636698	SC_RS12970	0.5928628447858929
GO:0006281	GO:0006281	2	36	2/166	1.621	0.3511380589917845	SC_RS09565;SC_RS29655	0.6013743768939758
GO:0000160	GO:0000160	4	88	4/166	1.327	0.35613429908298583	SC_RS07750;SC_RS20330;SC_RS29355;SC_RS37610	0.6030001200382373
GO:0006468	GO:0006468	1	14	1/166	2.085	0.38660567634488224	SC_RS35590	0.6360151776637105
GO:0051301	GO:0051301	1	14	1/166	2.085	0.38660567634488224	SC_RS30155	0.6360151776637105
GO:0016757	GO:0016757	2	39	2/166	1.497	0.38843879978119233	SC_RS26535;SC_RS27420	0.6360151776637105
GO:0009132	GO:0009132	1	15	1/166	1.946	0.40768277378366274	SC_RS31325	0.6602688401496277
GO:0003678	GO:0003678	1	16	1/166	1.824	0.42803984615465923	SC_RS09565	0.6853537016160341
GO:0008080	GO:0008080	3	70	3/166	1.251	0.4323707916235383	SC_RS05070;SC_RS06555;SC_RS28320	0.6853537016160341
GO:0004673	GO:0004673	3	71	3/166	1.233	0.44151774479946365	SC_RS07750;SC_RS34060;SC_RS37675	0.687706192164302
GO:0051537	GO:0051537	1	17	1/166	1.717	0.4477013465767603	SC_RS35585	0.687706192164302
GO:0004222	GO:0004222	1	17	1/166	1.717	0.4477013465767603	SC_RS30155	0.687706192164302
GO:0016817	GO:0016817	1	18	1/166	1.621	0.466690902597526	SC_RS31325	0.7095267027862124
GO:0071949	GO:0071949	2	46	2/166	1.269	0.4714304937975506	SC_RS14225;SC_RS38640	0.7095267027862124
GO:0009236	GO:0009236	1	19	1/166	1.536	0.48503134390036656	SC_RS37065	0.7174784619589577
GO:0000155	GO:0000155	3	76	3/166	1.152	0.4863444607909713	SC_RS07750;SC_RS34060;SC_RS37675	0.7174784619589577
GO:0050661	GO:0050661	1	20	1/166	1.459	0.5027447290873825	SC_RS20645	0.7233800607243802
GO:0050660	GO:0050660	2	49	2/166	1.191	0.5049095725861446	SC_RS05370;SC_RS26370	0.7233800607243802
GO:0030170	GO:0030170	2	49	2/166	1.191	0.5049095725861446	SC_RS12120;SC_RS27080	0.7233800607243802
GO:0016787	GO:0016787	8	230	8/166	1.015	0.5353566902837872	SC_RS05530;SC_RS07135;SC_RS07550;SC_RS10245;SC_RS18715;SC_RS19835;SC_RS33330;SC_RS36700	0.7596966366884218
GO:0008168	GO:0008168	2	53	2/166	1.101	0.5473723682354157	SC_RS03870;SC_RS13720	0.7691353617356262
GO:0016310	GO:0016310	1	23	1/166	1.269	0.5523321054074631	SC_RS14750	0.7691353617356262
GO:0005215	GO:0005215	1	24	1/166	1.216	0.567743318701192	SC_RS23840	0.771909698149279
GO:0008233	GO:0008233	1	24	1/166	1.216	0.567743318701192	SC_RS27085	0.771909698149279
