term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco03010	Ribosome	61	62	61/902	1.831	3.967382812310957e-16	SCO0436;SCO0569;SCO0570;SCO1150;SCO1505;SCO1598;SCO1599;SCO1998;SCO2563;SCO2596;SCO2597;SCO3124;SCO3425;SCO3427;SCO3429;SCO3430;SCO3880;SCO3906;SCO3908;SCO3909;SCO4635;SCO4648;SCO4649;SCO4652;SCO4653;SCO4659;SCO4660;SCO4701;SCO4702;SCO4703;SCO4704;SCO4705;SCO4706;SCO4707;SCO4708;SCO4709;SCO4710;SCO4711;SCO4712;SCO4713;SCO4714;SCO4715;SCO4716;SCO4717;SCO4718;SCO4719;SCO4720;SCO4721;SCO4726;SCO4727;SCO4728;SCO4730;SCO4734;SCO4735;SCO5359;SCO5564;SCO5571;SCO5591;SCO5595;SCO5624;SCO5736	5.395640624742902e-14
sco00333	Prodigiosin biosynthesis	21	26	21/902	1.503	0.0037601476288604907	SCO1815;SCO2387;SCO4501;SCO4681;SCO5878;SCO5879;SCO5882;SCO5886;SCO5887;SCO5888;SCO5889;SCO5890;SCO5891;SCO5892;SCO5893;SCO5894;SCO5895;SCO5896;SCO6264;SCO7266;SCO7810	0.2556900387625134
sco00770	Pantothenate and CoA biosynthesis	21	28	21/902	1.396	0.016816483273571898	SCO0462;SCO1706;SCO1996;SCO2256;SCO2769;SCO3072;SCO3345;SCO3380;SCO3383;SCO3420;SCO4744;SCO4913;SCO5512;SCO5513;SCO5514;SCO5883;SCO6411;SCO6414;SCO6415;SCO6562;SCO7154	0.7519327483840553
sco00240	Pyrimidine metabolism	26	37	26/902	1.308	0.0289948064356584	SCO1481;SCO1482;SCO1483;SCO1484;SCO1486;SCO1487;SCO1488;SCO1760;SCO1776;SCO1971;SCO2612;SCO3072;SCO3542;SCO3650;SCO3678;SCO4152;SCO4889;SCO4890;SCO5049;SCO5680;SCO5743;SCO5845;SCO6411;SCO6414;SCO6415;SCO7141	0.7519327483840553
sco00410	beta-Alanine metabolism	15	20	15/902	1.396	0.04281468696409632	SCO1706;SCO2726;SCO3072;SCO3247;SCO3383;SCO3420;SCO4913;SCO5459;SCO5676;SCO6411;SCO6412;SCO6414;SCO6415;SCO6732;SCO7034	0.7519327483840553
sco00290	Valine, leucine and isoleucine biosynthesis	13	17	13/902	1.423	0.047314558550766224	SCO2528;SCO2769;SCO3345;SCO4962;SCO4984;SCO5512;SCO5513;SCO5514;SCO5522;SCO5553;SCO5554;SCO7154;SCO7292	0.7519327483840553
sco01320	Sulfur cycle	7	8	7/902	1.629	0.05433614073420423	SCO0201;SCO1028;SCO6097;SCO6098;SCO6099;SCO6100;SCO6102	0.7519327483840553
sco00975	Biosynthesis of various siderophores	7	8	7/902	1.629	0.05433614073420423	SCO1865;SCO2016;SCO2782;SCO2783;SCO2784;SCO2785;SCO5799	0.7519327483840553
sco00521	Streptomycin biosynthesis	14	19	14/902	1.372	0.06172972505437579	SCO0400;SCO0749;SCO1077;SCO2126;SCO3243;SCO3899;SCO4285;SCO6110;SCO6179;SCO6573;SCO6984;SCO7194;SCO7254;SCO7443	0.7519327483840553
sco00520	Amino sugar and nucleotide sugar metabolism	36	56	36/902	1.197	0.06910871588541458	SCO0118;SCO0382;SCO0393;SCO0677;SCO0961;SCO1077;SCO1388;SCO1942;SCO2024;SCO2126;SCO2431;SCO2758;SCO2786;SCO2789;SCO2907;SCO2949;SCO3028;SCO3039;SCO3122;SCO3138;SCO3182;SCO4284;SCO4285;SCO4307;SCO4643;SCO4736;SCO4740;SCO4860;SCO4916;SCO5235;SCO5376;SCO5954;SCO6032;SCO6110;SCO6300;SCO7443	0.7519327483840553
sco04146	Peroxisome	15	21	15/902	1.33	0.07656303702270224	SCO0379;SCO0666;SCO0668;SCO0999;SCO1330;SCO2131;SCO2633;SCO2720;SCO2778;SCO3247;SCO4503;SCO6204;SCO6552;SCO6968;SCO7329	0.7519327483840553
sco00730	Thiamine metabolism	10	13	10/902	1.432	0.07771176025868574	SCO2104;SCO2107;SCO2109;SCO4723;SCO5211;SCO5486;SCO5562;SCO5563;SCO6149;SCO6768	0.7519327483840553
sco00909	Sesquiterpenoid and triterpenoid biosynthesis	4	4	4/902	1.861	0.08303932306578796	SCO5222;SCO5223;SCO6073;SCO6764	0.7519327483840553
sco01250	Biosynthesis of nucleotide sugars	29	45	29/902	1.2	0.09426031457632644	SCO0382;SCO0393;SCO0400;SCO0749;SCO0961;SCO1077;SCO1388;SCO1942;SCO2126;SCO2789;SCO2949;SCO3028;SCO3039;SCO3122;SCO3138;SCO3182;SCO3739;SCO4285;SCO4643;SCO4736;SCO4740;SCO4773;SCO4881;SCO4916;SCO5050;SCO6110;SCO6179;SCO7194;SCO7443	0.7519327483840553
sco01212	Fatty acid metabolism	30	47	30/902	1.188	0.10301791691661989	SCO1330;SCO1815;SCO2131;SCO2387;SCO2388;SCO2390;SCO2720;SCO2774;SCO3128;SCO3246;SCO3247;SCO3248;SCO4501;SCO4502;SCO4503;SCO4681;SCO5459;SCO5984;SCO6264;SCO6271;SCO6552;SCO6564;SCO6731;SCO6732;SCO6787;SCO6788;SCO6968;SCO7266;SCO7329;SCO7810	0.7519327483840553
sco01232	Nucleotide metabolism	31	49	31/902	1.178	0.11182890858512028	SCO0689;SCO0690;SCO1132;SCO1133;SCO1134;SCO1254;SCO1461;SCO1488;SCO1514;SCO1760;SCO1776;SCO2081;SCO2470;SCO2546;SCO2612;SCO2902;SCO3542;SCO3678;SCO4152;SCO4723;SCO4771;SCO4785;SCO4889;SCO4890;SCO4901;SCO4917;SCO4972;SCO5680;SCO5743;SCO5845;SCO7268	0.7519327483840553
sco00130	Ubiquinone and other terpenoid-quinone biosynthesis	9	12	9/902	1.396	0.11527697231412241	SCO2927;SCO4326;SCO4327;SCO4490;SCO4491;SCO4492;SCO4494;SCO4556;SCO4593	0.7519327483840553
sco00541	Biosynthesis of various nucleotide sugars	12	17	12/902	1.314	0.12283285318756149	SCO0393;SCO0400;SCO0749;SCO1388;SCO3039;SCO3122;SCO3182;SCO4773;SCO4881;SCO5050;SCO6179;SCO7194	0.7519327483840553
sco00071	Fatty acid degradation	22	34	22/902	1.204	0.13016088082070196	SCO0199;SCO1330;SCO1705;SCO1706;SCO2131;SCO2720;SCO2774;SCO3247;SCO3420;SCO4502;SCO4503;SCO4913;SCO5459;SCO5984;SCO6552;SCO6731;SCO6732;SCO6787;SCO6788;SCO6968;SCO7329;SCO7362	0.7519327483840553
sco00920	Sulfur metabolism	13	19	13/902	1.274	0.14414170203564586	SCO0201;SCO1028;SCO4164;SCO5854;SCO6094;SCO6095;SCO6096;SCO6097;SCO6098;SCO6099;SCO6100;SCO6102;SCO7545	0.7519327483840553
sco01055	Biosynthesis of vancomycin group antibiotics	5	6	5/902	1.551	0.14783815903871256	SCO0749;SCO3227;SCO3228;SCO3229;SCO6179	0.7519327483840553
sco00998	Biosynthesis of various antibiotics	5	6	5/902	1.551	0.14783815903871256	SCO0549;SCO0774;SCO2389;SCO3249;SCO6824	0.7519327483840553
sco00523	Polyketide sugar unit biosynthesis	5	6	5/902	1.551	0.14783815903871256	SCO0400;SCO0749;SCO3739;SCO6179;SCO7194	0.7519327483840553
