term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco03010	Ribosome	55	62	55/645	2.309	7.162593221156739e-17	SCO0436;SCO1150;SCO1505;SCO1598;SCO1599;SCO1998;SCO2563;SCO2596;SCO2597;SCO3124;SCO3880;SCO3906;SCO3908;SCO3909;SCO4635;SCO4648;SCO4649;SCO4652;SCO4653;SCO4659;SCO4660;SCO4701;SCO4702;SCO4703;SCO4704;SCO4705;SCO4706;SCO4707;SCO4708;SCO4709;SCO4710;SCO4711;SCO4712;SCO4713;SCO4714;SCO4715;SCO4716;SCO4717;SCO4718;SCO4719;SCO4720;SCO4721;SCO4726;SCO4727;SCO4728;SCO4730;SCO4734;SCO4735;SCO5359;SCO5564;SCO5571;SCO5591;SCO5595;SCO5624;SCO5736	8.595111865388088e-15
sco00240	Pyrimidine metabolism	29	37	29/645	2.04	6.469640237718366e-07	SCO1482;SCO1483;SCO1484;SCO1486;SCO1487;SCO1488;SCO1760;SCO1776;SCO2015;SCO2612;SCO2843;SCO3072;SCO3542;SCO3650;SCO3678;SCO4041;SCO4889;SCO4890;SCO4909;SCO4923;SCO5049;SCO5225;SCO5226;SCO5626;SCO5680;SCO5743;SCO5805;SCO5845;SCO5868	3.88178414263102e-05
sco01232	Nucleotide metabolism	35	49	35/645	1.859	2.0506380575269114e-06	SCO1254;SCO1461;SCO1479;SCO1488;SCO1514;SCO1760;SCO1776;SCO2081;SCO2470;SCO2546;SCO2612;SCO2843;SCO2902;SCO3405;SCO3542;SCO3629;SCO3678;SCO4041;SCO4723;SCO4770;SCO4771;SCO4785;SCO4889;SCO4890;SCO4909;SCO4917;SCO4923;SCO5225;SCO5226;SCO5626;SCO5680;SCO5743;SCO5805;SCO5845;SCO5868	6.927282369629224e-05
sco01240	Biosynthesis of cofactors	91	164	91/645	1.444	2.3090941232097415e-06	SCO0506;SCO1244;SCO1245;SCO1246;SCO1254;SCO1477;SCO1482;SCO1483;SCO1484;SCO1486;SCO1487;SCO1522;SCO1523;SCO1546;SCO1553;SCO1554;SCO1776;SCO1815;SCO1821;SCO1831;SCO1847;SCO1848;SCO1849;SCO1851;SCO1852;SCO1853;SCO1855;SCO1856;SCO1857;SCO1858;SCO1930;SCO1934;SCO2104;SCO2107;SCO2157;SCO2175;SCO2177;SCO2180;SCO2193;SCO2299;SCO2390;SCO2579;SCO2612;SCO2614;SCO2917;SCO2958;SCO3025;SCO3036;SCO3039;SCO3052;SCO3180;SCO3181;SCO3182;SCO3282;SCO3283;SCO3317;SCO3318;SCO3319;SCO3380;SCO3381;SCO3398;SCO3400;SCO3401;SCO3403;SCO3629;SCO3650;SCO4326;SCO4327;SCO4418;SCO4469;SCO4490;SCO4491;SCO4492;SCO4494;SCO4550;SCO4556;SCO4723;SCO4824;SCO4913;SCO5470;SCO5486;SCO5523;SCO5547;SCO5557a;SCO5562;SCO5563;SCO5568;SCO5626;SCO5711;SCO5859;SCO6031	6.927282369629224e-05
sco00970	Aminoacyl-tRNA biosynthesis	24	31	24/645	2.015	9.462041827252413e-06	SCO1473;SCO1501;SCO1508;SCO1531;SCO1594;SCO1595;SCO1818;SCO2076;SCO2504;SCO2571;SCO2615;SCO3303;SCO3304;SCO3397;SCO3792;SCO3795;SCO3961;SCO4235;SCO4839;SCO5498;SCO5499;SCO5501;SCO5547;SCO5699	0.00022708900385405792
sco00260	Glycine, serine and threonine metabolism	30	44	30/645	1.775	4.916973237533422e-05	SCO1087;SCO1378;SCO1808;SCO1864;SCO1865;SCO1866;SCO1867;SCO2037;SCO2180;SCO2640;SCO3077;SCO3614;SCO3615;SCO3920;SCO4209;SCO4293;SCO4828;SCO5354;SCO5355;SCO5356;SCO5469;SCO5470;SCO5471;SCO5472;SCO5515;SCO5657;SCO6467;SCO6740;SCO6799;SCO6800	0.0009833946475066844
sco01230	Biosynthesis of amino acids	79	148	79/645	1.389	7.839486516170279e-05	SCO1028;SCO1087;SCO1214;SCO1438;SCO1439;SCO1464;SCO1494;SCO1495;SCO1496;SCO1546;SCO1762;SCO1808;SCO1865;SCO1935;SCO1936;SCO1945;SCO1946;SCO1947;SCO2025;SCO2026;SCO2037;SCO2039;SCO2043;SCO2044;SCO2050;SCO2051;SCO2052;SCO2053;SCO2054;SCO2147;SCO2198;SCO2210;SCO2241;SCO2587;SCO2627;SCO2640;SCO2736;SCO2769;SCO3077;SCO3096;SCO3123;SCO3376;SCO3614;SCO3615;SCO3649;SCO3658;SCO3920;SCO3944;SCO3962;SCO4209;SCO4293;SCO4388;SCO4645;SCO4958;SCO4984;SCO5134;SCO5139;SCO5208;SCO5212;SCO5354;SCO5355;SCO5356;SCO5423;SCO5426;SCO5469;SCO5470;SCO5515;SCO5523;SCO5529;SCO5739;SCO5744;SCO5793;SCO5999;SCO6222;SCO6662;SCO6663;SCO7040;SCO7511;SCO7638	0.0013439119742006192
sco00860	Porphyrin metabolism	28	42	28/645	1.735	0.0001632943086047918	SCO1553;SCO1554;SCO1847;SCO1848;SCO1849;SCO1850;SCO1851;SCO1852;SCO1853;SCO1855;SCO1856;SCO1857;SCO1858;SCO1930;SCO1934;SCO2175;SCO2177;SCO2299;SCO2958;SCO3282;SCO3283;SCO3317;SCO3318;SCO3319;SCO4469;SCO5547;SCO5859;SCO6031	0.002449414629071877
sco00550	Peptidoglycan biosynthesis	23	33	23/645	1.814	0.00023525855728369599	SCO1212;SCO1213;SCO2084;SCO2085;SCO2086;SCO2087;SCO2088;SCO2089;SCO2090;SCO2509;SCO2949;SCO3811;SCO3846;SCO3847;SCO4013;SCO4133;SCO4439;SCO4643;SCO4847;SCO5039;SCO5560;SCO6060;SCO6131	0.003136780763782613
sco03030	DNA replication	15	20	15/645	1.952	0.0009251961794472565	SCO1827;SCO2003;SCO2064;SCO2299;SCO2564;SCO3541;SCO3878;SCO3907;SCO3911;SCO4067;SCO5494;SCO5812;SCO6084;SCO7284;SCO7522	0.01110235415336708
