term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco02010	ABC transporters	91	193	91/419	1.889	7.612342742080368e-13	SCO0290;SCO0291;SCO0292;SCO0322;SCO0449;SCO0531;SCO0532;SCO0533;SCO0707;SCO0708;SCO0709;SCO0710;SCO0808;SCO0809;SCO0810;SCO0811;SCO0950;SCO0951;SCO0952;SCO1063;SCO1064;SCO1065;SCO1367;SCO1368;SCO1707;SCO1898;SCO1899;SCO2414;SCO2415;SCO2416;SCO2417;SCO2418;SCO2419;SCO2420;SCO2421;SCO2422;SCO2505;SCO2795;SCO2796;SCO2797;SCO2930;SCO2931;SCO2932;SCO2933;SCO2944;SCO2945;SCO2946;SCO3706;SCO5117;SCO5118;SCO5119;SCO5120;SCO5233;SCO5234;SCO5647;SCO5648;SCO5667;SCO5668;SCO5686;SCO5687;SCO5688;SCO5774;SCO5775;SCO5776;SCO5777;SCO5923;SCO5924;SCO6229;SCO6230;SCO6231;SCO6567;SCO6568;SCO6569;SCO7028;SCO7029;SCO7030;SCO7165;SCO7166;SCO7167;SCO7181;SCO7182;SCO7183;SCO7184;SCO7544;SCO7545;SCO7546;SCO7555;SCO7556;SCO7557;SCO7689;SCO7690	9.058687863075638e-11
sco02024	Quorum sensing	50	101	50/419	1.984	3.308022262787827e-08	SCO0554;SCO0707;SCO0708;SCO0709;SCO0710;SCO1330;SCO1344;SCO1880;SCO2474;SCO2687;SCO2688;SCO2695;SCO2720;SCO2821;SCO2851;SCO3416;SCO3454;SCO3455;SCO3456;SCO4503;SCO5117;SCO5118;SCO5119;SCO5120;SCO5713;SCO5714;SCO5715;SCO5716;SCO6112;SCO6113;SCO6114;SCO6160;SCO6234;SCO6552;SCO6655;SCO6929;SCO6930;SCO7181;SCO7182;SCO7183;SCO7184;SCO7563;SCO7564;SCO7565;SCO7566;SCO7567;SCO7677;SCO7678;SCO7679;SCO7680	1.968273246358757e-06
sco01057	Biosynthesis of type II polyketide products	9	11	9/419	3.279	0.00011748995051498992	SCO1275;SCO5071;SCO5072;SCO5074;SCO5075;SCO5080;SCO5081;SCO5091;SCO5092	0.004660434703761267
sco01056	Biosynthesis of type II polyketide backbone	6	6	6/419	4.007	0.0002350975664226012	SCO1272;SCO5086;SCO5087;SCO5088;SCO5089;SCO5090	0.006994152601072386
sco00333	Prodigiosin biosynthesis	14	26	14/419	2.158	0.0013777523943734368	SCO4501;SCO5882;SCO5886;SCO5887;SCO5888;SCO5889;SCO5890;SCO5891;SCO5892;SCO5893;SCO5894;SCO5895;SCO5896;SCO6249	0.03279050698608779
sco00946	Degradation of flavonoids	7	10	7/419	2.805	0.003371962730572909	SCO0369;SCO0458;SCO1059;SCO2798;SCO5685;SCO6597;SCO6604	0.06687726082302936
sco00253	Tetracycline biosynthesis	6	8	6/419	3.005	0.00409729202223871	SCO1272;SCO1275;SCO5086;SCO5087;SCO5088;SCO5089	0.06965396437805807
sco00999	Biosynthesis of various plant secondary metabolites	6	9	6/419	2.671	0.009718173308001536	SCO0458;SCO1059;SCO2798;SCO5685;SCO6597;SCO6604	0.14455782795652286
sco03450	Non-homologous end-joining	5	7	5/419	2.862	0.012604984620526463	SCO0601;SCO5308;SCO5309;SCO6498;SCO7345	0.16666590776029436
sco01053	Biosynthesis of siderophore group nonribosomal peptides	4	5	4/419	3.206	0.015381587715356979	SCO7681;SCO7683;SCO7685;SCO7691	0.18304089381274805
