term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00785	Lipoic acid metabolism	2	20	2/31	5.416	0.05099863153599327	SCO2181;SCO2183	0.5271748533973564
sco00626	Naphthalene degradation	1	3	1/31	18.054	0.05440553336411976	SCO7362	0.5271748533973564
sco01210	2-Oxocarboxylic acid metabolism	3	52	3/31	3.125	0.0684520919884605	SCO1579;SCO2181;SCO2183	0.5271748533973564
sco00572	Arabinogalactan biosynthesis	1	4	1/31	13.54	0.07189564581382879	SCO5365	0.5271748533973564
sco00564	Glycerophospholipid metabolism	2	25	2/31	4.333	0.0760832846449641	SCO1228;SCO1419	0.5271748533973564
sco00620	Pyruvate metabolism	3	56	3/31	2.901	0.08173533403081144	SCO2181;SCO2183;SCO7362	0.5271748533973564
sco00010	Glycolysis / Gluconeogenesis	3	58	3/31	2.801	0.08877419956950744	SCO2181;SCO2183;SCO7362	0.5271748533973564
sco01053	Biosynthesis of siderophore group nonribosomal peptides	1	5	1/31	10.832	0.08907250251816987	SCO7685	0.5271748533973564
sco00523	Polyketide sugar unit biosynthesis	1	6	1/31	9.027	0.10594153024931487	SCO6179	0.5271748533973564
sco01055	Biosynthesis of vancomycin group antibiotics	1	6	1/31	9.027	0.10594153024931487	SCO6179	0.5271748533973564
sco00552	Teichoic acid biosynthesis	1	7	1/31	7.737	0.12250806495479676	SCO5365	0.5271748533973564
sco00071	Fatty acid degradation	2	34	2/31	3.186	0.12857381782942368	SCO6787;SCO7362	0.5271748533973564
sco00253	Tetracycline biosynthesis	1	8	1/31	6.77	0.1387773532241756	SCO7452	0.5271748533973564
sco00020	Citrate cycle (TCA cycle)	2	37	2/31	2.928	0.1476089589512598	SCO2181;SCO2183	0.5271748533973564
sco01057	Biosynthesis of type II polyketide products	1	11	1/31	4.924	0.1858528951054288	SCO7452	0.5582455462524084
sco00260	Glycine, serine and threonine metabolism	2	44	2/31	2.462	0.19399651039235108	SCO2036;SCO6799	0.5582455462524084
sco01250	Biosynthesis of nucleotide sugars	2	45	2/31	2.407	0.2007908084127196	SCO0382;SCO6179	0.5582455462524084
sco00625	Chloroalkane and chloroalkene degradation	1	12	1/31	4.513	0.20098392643140703	SCO7362	0.5582455462524084
sco01110	Biosynthesis of secondary metabolites	12	515	12/31	1.262	0.21418333971602152	SCO0185;SCO1228;SCO1579;SCO2036;SCO2181;SCO2183;SCO4290;SCO6035;SCO6179;SCO7338;SCO7362;SCO7452	0.5582455462524084
sco00500	Starch and sucrose metabolism	2	54	2/31	2.006	0.2629615522974343	SCO4290;SCO7338	0.5582455462524084
sco00541	Biosynthesis of various nucleotide sugars	1	17	1/31	3.186	0.2726481333310113	SCO6179	0.5582455462524084
sco02010	ABC transporters	5	193	5/31	1.403	0.2800478133241108	SCO1065;SCO6757;SCO7030;SCO7166;SCO7556	0.5582455462524084
sco00350	Tyrosine metabolism	1	18	1/31	3.009	0.28621486489944614	SCO7362	0.5582455462524084
sco00521	Streptomycin biosynthesis	1	19	1/31	2.851	0.2995365621830808	SCO6179	0.5582455462524084
sco03430	Mismatch repair	1	19	1/31	2.851	0.2995365621830808	SCO3907	0.5582455462524084
sco00410	beta-Alanine metabolism	1	20	1/31	2.708	0.31261750590134874	SCO6411	0.5582455462524084
sco03030	DNA replication	1	20	1/31	2.708	0.31261750590134874	SCO3907	0.5582455462524084
sco00480	Glutathione metabolism	1	20	1/31	2.708	0.31261750590134874	SCO6035	0.5582455462524084
sco00900	Terpenoid backbone biosynthesis	1	23	1/31	2.355	0.35045754617263886	SCO0185	0.5652541067300627
sco00760	Nicotinate and nicotinamide metabolism	1	23	1/31	2.355	0.35045754617263886	SCO7623	0.5652541067300627
sco03440	Homologous recombination	1	23	1/31	2.355	0.35045754617263886	SCO3907	0.5652541067300627
sco00561	Glycerolipid metabolism	1	25	1/31	2.166	0.3745557541739984	SCO1228	0.5761975451963666
sco00230	Purine metabolism	2	71	2/31	1.526	0.38029037982960195	SCO1513;SCO2546	0.5761975451963666
sco00770	Pantothenate and CoA biosynthesis	1	28	1/31	1.934	0.40908830676955066	SCO6411	0.581279496726605
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1	28	1/31	1.934	0.40908830676955066	SCO2036	0.581279496726605
sco00330	Arginine and proline metabolism	1	30	1/31	1.805	0.4310770806413166	SCO6035	0.581279496726605
sco01220	Degradation of aromatic compounds	1	31	1/31	1.747	0.44177241751221974	SCO7362	0.581279496726605
sco00220	Arginine biosynthesis	1	31	1/31	1.747	0.44177241751221974	SCO1579	0.581279496726605
sco00051	Fructose and mannose metabolism	1	33	1/31	1.641	0.46258242942946076	SCO0382	0.5930543967044368
sco00052	Galactose metabolism	1	35	1/31	1.547	0.48264078945186345	SCO6347	0.6033009868148292
sco00240	Pyrimidine metabolism	1	37	1/31	1.464	0.5019737737692754	SCO6411	0.6121631387430189
