term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00920	Sulfur metabolism	2	19	2/23	7.684	0.026651446457543443	SCO4789;SCO6095	0.6363388084276143
sco00670	One carbon pool by folate	2	23	2/23	6.348	0.03814649768179903	SCO4813;SCO4837	0.6363388084276143
sco03010	Ribosome	3	62	3/23	3.532	0.05017557843723219	SCO4705;SCO4720;SCO4734	0.6363388084276143
sco00906	Carotenoid biosynthesis	1	5	1/23	14.6	0.06671950070471121	SCO6760	0.6363388084276143
sco04981	Folate transport and metabolism	1	6	1/23	12.167	0.07954235105345178	SCO4837	0.6363388084276143
sco01320	Sulfur cycle	1	8	1/23	9.125	0.10468430700078367	SCO4789	0.661746242687557
sco00460	Cyanoamino acid metabolism	1	14	1/23	5.214	0.17622954393758633	SCO4837	0.661746242687557
sco03070	Bacterial secretion system	1	16	1/23	4.562	0.19883791839548437	SCO3768	0.661746242687557
sco00541	Biosynthesis of various nucleotide sugars	1	17	1/23	4.294	0.20991833203162616	SCO6182	0.661746242687557
sco00300	Lysine biosynthesis	1	20	1/23	3.65	0.24228693524167094	SCO5139	0.661746242687557
sco00785	Lipoic acid metabolism	1	20	1/23	3.65	0.24228693524167094	SCO3830	0.661746242687557
sco00790	Folate biosynthesis	1	21	1/23	3.476	0.2527916974414549	SCO2068	0.661746242687557
sco00230	Purine metabolism	2	71	2/23	2.056	0.2536979740793247	SCO4813;SCO4972	0.661746242687557
sco03060	Protein export	1	22	1/23	3.318	0.2631570719642816	SCO3768	0.661746242687557
sco03440	Homologous recombination	1	23	1/23	3.174	0.27338482534075814	SCO1519	0.661746242687557
sco00564	Glycerophospholipid metabolism	1	25	1/23	2.92	0.29343442834746825	SCO5559	0.661746242687557
sco00770	Pantothenate and CoA biosynthesis	1	28	1/23	2.607	0.32251962379719445	SCO2256	0.661746242687557
sco00910	Nitrogen metabolism	1	30	1/23	2.433	0.34126967628455185	SCO2959	0.661746242687557
sco00970	Aminoacyl-tRNA biosynthesis	1	31	1/23	2.355	0.35045754617263886	SCO5499	0.661746242687557
sco00680	Methane metabolism	1	31	1/23	2.355	0.35045754617263886	SCO4837	0.661746242687557
sco00640	Propanoate metabolism	1	33	1/23	2.212	0.36846688902947755	SCO3830	0.661746242687557
sco01240	Biosynthesis of cofactors	3	164	3/23	1.335	0.3932910726353057	SCO2068;SCO2256;SCO4837	0.661746242687557
sco00020	Citrate cycle (TCA cycle)	1	37	1/23	1.973	0.40306311547770257	SCO4855	0.661746242687557
sco02024	Quorum sensing	2	101	2/23	1.446	0.40737832654483863	SCO5115;SCO5716	0.661746242687557
sco00720	Other carbon fixation pathways	1	42	1/23	1.738	0.4437637982839873	SCO4855	0.661746242687557
sco00260	Glycine, serine and threonine metabolism	1	44	1/23	1.659	0.45928904352144106	SCO4837	0.661746242687557
sco00280	Valine, leucine and isoleucine degradation	1	45	1/23	1.622	0.4668953750193045	SCO3830	0.661746242687557
sco01250	Biosynthesis of nucleotide sugars	1	45	1/23	1.622	0.4668953750193045	SCO6182	0.661746242687557
sco01232	Nucleotide metabolism	1	49	1/23	1.49	0.4963096820156678	SCO4972	0.661746242687557
sco00650	Butanoate metabolism	1	49	1/23	1.49	0.4963096820156678	SCO4855	0.661746242687557
sco01210	2-Oxocarboxylic acid metabolism	1	52	1/23	1.404	0.5173448238767125	SCO3830	0.6657512563000495
sco00630	Glyoxylate and dicarboxylate metabolism	1	57	1/23	1.281	0.5505486632607116	SCO4837	0.6657512563000495
sco01120	Microbial metabolism in diverse environments	5	356	5/23	1.025	0.557518018584243	SCO4789;SCO4837;SCO4855;SCO4972;SCO5139	0.6657512563000495
sco01110	Biosynthesis of secondary metabolites	7	515	7/23	0.992	0.5886605272279597	SCO2256;SCO3830;SCO4813;SCO4837;SCO4855;SCO5559;SCO6760	0.6657512563000495
sco00190	Oxidative phosphorylation	1	67	1/23	1.09	0.6105203062525925	SCO4855	0.6657512563000495
sco01200	Carbon metabolism	2	148	2/23	0.986	0.6158199120775458	SCO4837;SCO4855	0.6657512563000495
sco01230	Biosynthesis of amino acids	2	148	2/23	0.986	0.6158199120775458	SCO4837;SCO5139	0.6657512563000495
sco02010	ABC transporters	2	193	2/23	0.756	0.7616489409780871	SCO4888;SCO6095	0.8017357273453549
sco01100	Metabolic pathways	13	1066	13/23	0.89	0.8211897450463337	SCO2068;SCO2256;SCO3830;SCO4789;SCO4813;SCO4837;SCO4855;SCO4972;SCO5139;SCO5499;SCO5559;SCO6182;SCO6760	0.823088807137622
sco02020	Two-component system	1	121	1/23	0.603	0.823088807137622	SCO2068	0.823088807137622
