term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00626	Naphthalene degradation	1	3	1/36	15.546	0.06299138897208577	SCO7362	0.6524251589028339
sco01059	Biosynthesis of enediyne antibiotics	1	3	1/36	15.546	0.06299138897208577	SCO7417	0.6524251589028339
sco03440	Homologous recombination	2	23	2/36	4.056	0.0853462194459452	SCO1475;SCO1827	0.6524251589028339
sco00564	Glycerophospholipid metabolism	2	25	2/36	3.731	0.09856209703450662	SCO1565;SCO1566	0.6524251589028339
sco01053	Biosynthesis of siderophore group nonribosomal peptides	1	5	1/36	9.328	0.10282418476878412	SCO7683	0.6524251589028339
sco00620	Pyruvate metabolism	3	56	3/36	2.499	0.11570549334763992	SCO0546;SCO1174;SCO7362	0.6524251589028339
sco04981	Folate transport and metabolism	1	6	1/36	7.773	0.12211828832214358	SCO4837	0.6524251589028339
sco00998	Biosynthesis of various antibiotics	1	6	1/36	7.773	0.12211828832214358	SCO0549	0.6524251589028339
sco01220	Degradation of aromatic compounds	2	31	2/36	3.009	0.14119629830543526	SCO6700;SCO7362	0.6524251589028339
sco00970	Aminoacyl-tRNA biosynthesis	2	31	2/36	3.009	0.14119629830543526	SCO4839;SCO5498	0.6524251589028339
sco00253	Tetracycline biosynthesis	1	8	1/36	5.83	0.159503776465493	SCO7452	0.6524251589028339
sco01057	Biosynthesis of type II polyketide products	1	11	1/36	4.24	0.21269591895365025	SCO7452	0.6524251589028339
sco00750	Vitamin B6 metabolism	1	11	1/36	4.24	0.21269591895365025	SCO0429	0.6524251589028339
sco00625	Chloroalkane and chloroalkene degradation	1	12	1/36	3.887	0.22968809336472254	SCO7362	0.6524251589028339
sco00260	Glycine, serine and threonine metabolism	2	44	2/36	2.12	0.24278676294845167	SCO4837;SCO6799	0.6524251589028339
sco01310	Nitrogen cycle	1	13	1/36	3.588	0.24632350346602422	SCO0219	0.6524251589028339
sco00460	Cyanoamino acid metabolism	1	14	1/36	3.331	0.26260943016183647	SCO4837	0.6524251589028339
sco01110	Biosynthesis of secondary metabolites	13	515	13/36	1.177	0.2918217315004313	SCO0549;SCO0838;SCO1174;SCO1566;SCO1579;SCO2019;SCO3059;SCO4323;SCO4837;SCO6984;SCO7362;SCO7417;SCO7452	0.6524251589028339
sco00350	Tyrosine metabolism	1	18	1/36	2.591	0.32439892817475147	SCO7362	0.6524251589028339
sco00562	Inositol phosphate metabolism	1	18	1/36	2.591	0.32439892817475147	SCO6984	0.6524251589028339
sco00521	Streptomycin biosynthesis	1	19	1/36	2.455	0.3390416967392961	SCO6984	0.6524251589028339
sco00780	Biotin metabolism	1	19	1/36	2.455	0.3390416967392961	SCO1244	0.6524251589028339
sco03430	Mismatch repair	1	19	1/36	2.455	0.3390416967392961	SCO1827	0.6524251589028339
sco00630	Glyoxylate and dicarboxylate metabolism	2	57	2/36	1.636	0.3474698867919953	SCO4323;SCO4837	0.6524251589028339
sco01120	Microbial metabolism in diverse environments	9	356	9/36	1.179	0.3482958987301045	SCO0219;SCO0429;SCO0546;SCO0851;SCO1174;SCO4837;SCO6700;SCO6984;SCO7362	0.6524251589028339
sco03030	DNA replication	1	20	1/36	2.332	0.35337573223169694	SCO1827	0.6524251589028339
sco00480	Glutathione metabolism	1	20	1/36	2.332	0.35337573223169694	SCO4444	0.6524251589028339
sco00010	Glycolysis / Gluconeogenesis	2	58	2/36	1.608	0.35540975061323726	SCO1174;SCO7362	0.6524251589028339
sco03410	Base excision repair	1	21	1/36	2.221	0.36740736191202195	SCO4495	0.6524251589028339
sco01230	Biosynthesis of amino acids	4	148	4/36	1.261	0.39341985833465276	SCO0546;SCO1579;SCO2019;SCO4837	0.6524251589028339
sco00670	One carbon pool by folate	1	23	1/36	2.028	0.3945880856357194	SCO4837	0.6524251589028339
sco02010	ABC transporters	5	193	5/36	1.208	0.399644848815902	SCO0709;SCO0808;SCO1707;SCO2229;SCO2323	0.6524251589028339
