term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco02010	ABC transporters	9	193	9/34	2.303	0.011705507622384847	SCO1787;SCO2404;SCO2944;SCO4886;SCO5958;SCO5959;SCO5961;SCO6062;SCO7184	0.45651479727300903
sco03060	Protein export	2	22	2/34	4.489	0.07142398294604864	SCO1944;SCO2128	0.6397551026176459
sco00680	Methane metabolism	2	31	2/34	3.186	0.12857381782942368	SCO3096;SCO6818	0.6397551026176459
sco03450	Non-homologous end-joining	1	7	1/34	7.055	0.13364900432300067	SCO7345	0.6397551026176459
sco00552	Teichoic acid biosynthesis	1	7	1/34	7.055	0.13364900432300067	SCO2997	0.6397551026176459
sco02024	Quorum sensing	4	101	4/34	1.956	0.14359518356981027	SCO1944;SCO5716;SCO6552;SCO7184	0.6397551026176459
sco00230	Purine metabolism	3	71	3/34	2.087	0.171088642137364	SCO0690;SCO0757;SCO6209	0.6397551026176459
sco01230	Biosynthesis of amino acids	5	148	5/34	1.668	0.17425901843895986	SCO0731;SCO1977;SCO3096;SCO6497;SCO6818	0.6397551026176459
sco00860	Porphyrin metabolism	2	42	2/34	2.352	0.20807819787620652	SCO6041;SCO6971	0.6397551026176459
sco00260	Glycine, serine and threonine metabolism	2	44	2/34	2.245	0.22314418026361574	SCO5472;SCO6818	0.6397551026176459
sco00280	Valine, leucine and isoleucine degradation	2	45	2/34	2.195	0.23071576499101143	SCO2444;SCO2779	0.6397551026176459
sco03018	RNA degradation	1	14	1/34	3.527	0.2498921173509674	SCO3096	0.6397551026176459
sco00450	Selenocompound metabolism	1	15	1/34	3.292	0.265209635675332	SCO0731	0.6397551026176459
sco03070	Bacterial secretion system	1	16	1/34	3.086	0.2802233811002351	SCO1944	0.6397551026176459
sco00780	Biotin metabolism	1	19	1/34	2.599	0.323499889801426	SCO1245	0.6397551026176459
sco03430	Mismatch repair	1	19	1/34	2.599	0.323499889801426	SCO5056	0.6397551026176459
sco00010	Glycolysis / Gluconeogenesis	2	58	2/34	1.703	0.3297530160556766	SCO3096;SCO6818	0.6397551026176459
sco00785	Lipoic acid metabolism	1	20	1/34	2.469	0.33735591615489074	SCO5472	0.6397551026176459
sco04146	Peroxisome	1	21	1/34	2.352	0.3509363253476176	SCO6552	0.6397551026176459
sco01200	Carbon metabolism	4	148	4/34	1.335	0.35168380647287095	SCO3096;SCO5472;SCO6497;SCO6818	0.6397551026176459
sco00710	Carbon fixation by Calvin cycle	1	22	1/34	2.245	0.3642464368905493	SCO6497	0.6397551026176459
sco00900	Terpenoid backbone biosynthesis	1	23	1/34	2.147	0.37729147077450914	SCO4234	0.6397551026176459
sco00670	One carbon pool by folate	1	23	1/34	2.147	0.37729147077450914	SCO5472	0.6397551026176459
sco00910	Nitrogen metabolism	1	30	1/34	1.646	0.4616029320347395	SCO1977	0.709055853762375
sco00970	Aminoacyl-tRNA biosynthesis	1	31	1/34	1.593	0.47270390250824995	SCO1501	0.709055853762375
sco00061	Fatty acid biosynthesis	1	31	1/34	1.593	0.47270390250824995	SCO6552	0.709055853762375
sco00071	Fatty acid degradation	1	34	1/34	1.452	0.5046902751216724	SCO6552	0.7192003520401098
sco00250	Alanine, aspartate and glutamate metabolism	1	36	1/34	1.372	0.5249595890687822	SCO1977	0.7192003520401098
sco00270	Cysteine and methionine metabolism	1	37	1/34	1.335	0.5347900053631586	SCO0731	0.7192003520401098
sco00030	Pentose phosphate pathway	1	40	1/34	1.235	0.5631111944925343	SCO6497	0.7320445528402946
sco01212	Fatty acid metabolism	1	47	1/34	1.051	0.6228402785871765	SCO6552	0.7780454740623252
sco01232	Nucleotide metabolism	1	49	1/34	1.008	0.6383962864101129	SCO0690	0.7780454740623252
sco01240	Biosynthesis of cofactors	3	164	3/34	0.903	0.6609174920899245	SCO1245;SCO6041;SCO6971	0.7810843088335471
sco00630	Glyoxylate and dicarboxylate metabolism	1	57	1/34	0.866	0.6946234247309853	SCO5472	0.7967739283678948
sco00190	Oxidative phosphorylation	1	67	1/34	0.737	0.7530703693844781	SCO6496	0.80309987021371
sco01120	Microbial metabolism in diverse environments	6	356	6/34	0.832	0.7593800102435115	SCO0690;SCO1977;SCO3096;SCO6209;SCO6497;SCO6818	0.80309987021371
sco01110	Biosynthesis of secondary metabolites	9	515	9/34	0.863	0.7619152614848017	SCO0731;SCO1977;SCO2779;SCO3096;SCO4234;SCO5472;SCO6041;SCO6497;SCO6818	0.80309987021371
sco02020	Two-component system	1	121	1/34	0.408	0.9234153374534463	SCO5584	0.9477157410706423
sco01100	Metabolic pathways	17	1066	17/34	0.788	0.9645113734628752	SCO0690;SCO0731;SCO0757;SCO1245;SCO1977;SCO2444;SCO2779;SCO3096;SCO4234;SCO5472;SCO6041;SCO6209;SCO6496;SCO6497;SCO6552;SCO6818;SCO6971	0.9645113734628752
