term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00260	Glycine, serine and threonine metabolism	5	44	5/58	3.29	0.015977423065463004	SCO1087;SCO1808;SCO2017;SCO4837;SCO6799	0.7251204526630709
sco00564	Glycerophospholipid metabolism	3	25	3/58	3.474	0.05248364341390682	SCO1228;SCO1565;SCO1566	0.7251204526630709
sco02010	ABC transporters	11	193	11/58	1.65	0.060939051785915965	SCO0532;SCO0709;SCO0808;SCO1065;SCO2229;SCO2323;SCO2747;SCO2980;SCO6757;SCO7166;SCO7556	0.7251204526630709
sco00680	Methane metabolism	3	31	3/58	2.801	0.08877419956950744	SCO1808;SCO4827;SCO4837	0.7251204526630709
sco01059	Biosynthesis of enediyne antibiotics	1	3	1/58	9.649	0.10015198513281073	SCO7417	0.7251204526630709
sco00405	Phenazine biosynthesis	1	4	1/58	7.237	0.13129231022964669	SCO3213	0.7251204526630709
sco00643	Styrene degradation	1	4	1/58	7.237	0.13129231022964669	SCO4580	0.7251204526630709
sco03430	Mismatch repair	2	19	2/58	3.047	0.137908712535507	SCO1827;SCO5494	0.7251204526630709
sco01110	Biosynthesis of secondary metabolites	22	515	22/58	1.237	0.14160319618993567	SCO0185;SCO0379;SCO0549;SCO0838;SCO1087;SCO1228;SCO1566;SCO1579;SCO1808;SCO2017;SCO3213;SCO4071;SCO4827;SCO4837;SCO4984;SCO5527;SCO6768;SCO6984;SCO7332;SCO7343;SCO7417;SCO7452	0.7251204526630709
sco03030	DNA replication	2	20	2/58	2.895	0.1499683526777681	SCO1827;SCO5494	0.7251204526630709
sco03410	Base excision repair	2	21	2/58	2.757	0.1622342091848867	SCO4495;SCO5494	0.7251204526630709
sco00900	Terpenoid backbone biosynthesis	2	23	2/58	2.517	0.1872744940466504	SCO0185;SCO6768	0.7251204526630709
sco03440	Homologous recombination	2	23	2/58	2.517	0.1872744940466504	SCO1475;SCO1827	0.7251204526630709
sco00998	Biosynthesis of various antibiotics	1	6	1/58	4.825	0.19042930853845574	SCO0549	0.7251204526630709
sco04981	Folate transport and metabolism	1	6	1/58	4.825	0.19042930853845574	SCO4837	0.7251204526630709
sco00561	Glycerolipid metabolism	2	25	2/58	2.316	0.2128251882982792	SCO1228;SCO1566	0.7251204526630709
