term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00260	Glycine, serine and threonine metabolism	5	44	5/71	2.687	0.03527175993289467	SCO1087;SCO2036;SCO2640;SCO4366;SCO4837	0.7903716165306809
sco00785	Lipoic acid metabolism	3	20	3/71	3.547	0.0492904095911918	SCO2181;SCO2183;SCO3830	0.7903716165306809
sco00710	Carbon fixation by Calvin cycle	3	22	3/71	3.225	0.06271695685271506	SCO0579;SCO1935;SCO4827	0.7903716165306809
sco00626	Naphthalene degradation	1	3	1/71	7.883	0.1216416243851524	SCO7362	0.7903716165306809
sco00680	Methane metabolism	3	31	3/71	2.289	0.14027528395632127	SCO4366;SCO4827;SCO4837	0.7903716165306809
sco00572	Arabinogalactan biosynthesis	1	4	1/71	5.912	0.15885131690821575	SCO5365	0.7903716165306809
sco00541	Biosynthesis of various nucleotide sugars	2	17	2/71	2.782	0.15957877218253766	SCO6179;SCO6182	0.7903716165306809
sco01230	Biosynthesis of amino acids	9	148	9/71	1.438	0.16686798169384023	SCO0579;SCO1087;SCO1935;SCO1977;SCO2036;SCO2054;SCO2640;SCO4366;SCO4837	0.7903716165306809
sco00071	Fatty acid degradation	3	34	3/71	2.087	0.171088642137364	SCO1330;SCO6787;SCO7362	0.7903716165306809
sco01210	2-Oxocarboxylic acid metabolism	4	52	4/71	1.819	0.17430094797326193	SCO2181;SCO2183;SCO2640;SCO3830	0.7903716165306809
sco01053	Biosynthesis of siderophore group nonribosomal peptides	1	5	1/71	4.73	0.19450597750494217	SCO7685	0.7903716165306809
sco00270	Cysteine and methionine metabolism	3	37	3/71	1.917	0.20365657525973666	SCO2640;SCO4366;SCO4827	0.7903716165306809
sco00020	Citrate cycle (TCA cycle)	3	37	3/71	1.917	0.20365657525973666	SCO2181;SCO2183;SCO4827	0.7903716165306809
sco00480	Glutathione metabolism	2	20	2/71	2.365	0.20600470262615803	SCO4444;SCO6035	0.7903716165306809
sco00620	Pyruvate metabolism	4	56	4/71	1.689	0.2092927348722546	SCO2181;SCO2183;SCO4827;SCO7362	0.7903716165306809
sco01055	Biosynthesis of vancomycin group antibiotics	1	6	1/71	3.941	0.22866970247337057	SCO6179	0.7903716165306809
sco00523	Polyketide sugar unit biosynthesis	1	6	1/71	3.941	0.22866970247337057	SCO6179	0.7903716165306809
sco04981	Folate transport and metabolism	1	6	1/71	3.941	0.22866970247337057	SCO4837	0.7903716165306809
sco01110	Biosynthesis of secondary metabolites	25	515	25/71	1.148	0.23478279908135855	SCO0185;SCO0579;SCO1087;SCO1814;SCO1934;SCO1935;SCO1977;SCO2036;SCO2054;SCO2181;SCO2183;SCO2256;SCO2640;SCO3830;SCO4071;SCO4290;SCO4366;SCO4827;SCO4837;SCO5559;SCO6035;SCO6179;SCO7338;SCO7362;SCO7452	0.7903716165306809
sco00030	Pentose phosphate pathway	3	40	3/71	1.774	0.23755210198866858	SCO0579;SCO1935;SCO3474	0.7903716165306809
sco00340	Histidine metabolism	2	22	2/71	2.15	0.23772463221242696	SCO0912;SCO2054	0.7903716165306809
sco02024	Quorum sensing	6	101	6/71	1.405	0.2517340184772313	SCO0708;SCO1330;SCO1880;SCO1944;SCO6645;SCO7680	0.7903716165306809
sco03440	Homologous recombination	2	23	2/71	2.056	0.2536979740793247	SCO1519;SCO3907	0.7903716165306809
sco00552	Teichoic acid biosynthesis	1	7	1/71	3.378	0.2614039828824504	SCO5365	0.7903716165306809
sco01200	Carbon metabolism	8	148	8/71	1.278	0.2844979103181858	SCO0579;SCO1935;SCO2181;SCO2183;SCO3474;SCO4366;SCO4827;SCO4837	0.7903716165306809
sco00564	Glycerophospholipid metabolism	2	25	2/71	1.892	0.28570474246788147	SCO1419;SCO5559	0.7903716165306809
sco00253	Tetracycline biosynthesis	1	8	1/71	2.956	0.2927678089681837	SCO7452	0.7903716165306809
sco01250	Biosynthesis of nucleotide sugars	3	45	3/71	1.577	0.29590943034029427	SCO0382;SCO6179;SCO6182	0.7903716165306809
sco00074	Mycolic acid biosynthesis	1	10	1/71	2.365	0.3516081526226545	SCO1814	0.7903716165306809
sco00910	Nitrogen metabolism	2	30	2/71	1.577	0.3648055349345517	SCO1977;SCO2959	0.7903716165306809
sco00330	Arginine and proline metabolism	2	30	2/71	1.577	0.3648055349345517	SCO4279;SCO6035	0.7903716165306809
sco00750	Vitamin B6 metabolism	1	11	1/71	2.15	0.3791910292935903	SCO4366	0.7903716165306809
sco01057	Biosynthesis of type II polyketide products	1	11	1/71	2.15	0.3791910292935903	SCO7452	0.7903716165306809
sco03420	Nucleotide excision repair	1	11	1/71	2.15	0.3791910292935903	SCO3109	0.7903716165306809
sco00970	Aminoacyl-tRNA biosynthesis	2	31	2/71	1.526	0.38029037982960195	SCO5499;SCO6384	0.7903716165306809
sco00500	Starch and sucrose metabolism	3	54	3/71	1.314	0.4022506548893259	SCO0721;SCO4290;SCO7338	0.7903716165306809
sco02020	Two-component system	6	121	6/71	1.173	0.4053669735009101	SCO0382;SCO2286;SCO2428;SCO3555;SCO4157;SCO7075	0.7903716165306809
sco00625	Chloroalkane and chloroalkene degradation	1	12	1/71	1.971	0.4056163511881676	SCO7362	0.7903716165306809
sco00051	Fructose and mannose metabolism	2	33	2/71	1.433	0.4107840491110691	SCO0382;SCO0579	0.7903716165306809
sco00511	Other glycan degradation	1	13	1/71	1.819	0.430932031491491	SCO0948	0.7903716165306809
sco00360	Phenylalanine metabolism	2	35	2/71	1.351	0.44055252089752756	SCO7470;SCO7471	0.7903716165306809
sco00010	Glycolysis / Gluconeogenesis	3	58	3/71	1.223	0.4484130643736173	SCO2181;SCO2183;SCO7362	0.7903716165306809
sco00460	Cyanoamino acid metabolism	1	14	1/71	1.689	0.4551840277484562	SCO4837	0.7903716165306809
sco03018	RNA degradation	1	14	1/71	1.689	0.4551840277484562	SCO3896	0.7903716165306809
sco00261	Monobactam biosynthesis	1	14	1/71	1.689	0.4551840277484562	SCO2640	0.7903716165306809
sco00240	Pyrimidine metabolism	2	37	2/71	1.278	0.46950631482816885	SCO3650;SCO5868	0.7903716165306809
sco04122	Sulfur relay system	1	15	1/71	1.577	0.4784164205591826	SCO4294	0.7903716165306809
sco00040	Pentose and glucuronate interconversions	1	16	1/71	1.478	0.5006714891531118	SCO1880	0.7903716165306809
sco03070	Bacterial secretion system	1	16	1/71	1.478	0.5006714891531118	SCO1944	0.7903716165306809
sco00350	Tyrosine metabolism	1	18	1/71	1.314	0.5424101963215173	SCO7362	0.7903716165306809
sco00190	Oxidative phosphorylation	3	67	3/71	1.059	0.5465786683239664	SCO1934;SCO4567;SCO7101	0.7903716165306809
sco01100	Metabolic pathways	45	1066	45/71	0.998	0.561841593743424	SCO0185;SCO0382;SCO0579;SCO0912;SCO1087;SCO1330;SCO1814;SCO1880;SCO1934;SCO1935;SCO1977;SCO2036;SCO2054;SCO2181;SCO2183;SCO2256;SCO2286;SCO2546;SCO2640;SCO2777;SCO3474;SCO3650;SCO3830;SCO4071;SCO4279;SCO4290;SCO4366;SCO4444;SCO4567;SCO4827;SCO4837;SCO5365;SCO5499;SCO5559;SCO5868;SCO6035;SCO6179;SCO6182;SCO6787;SCO7101;SCO7338;SCO7362;SCO7452;SCO7470;SCO7471	0.7903716165306809
sco00521	Streptomycin biosynthesis	1	19	1/71	1.245	0.5619700253770097	SCO6179	0.7903716165306809
sco03430	Mismatch repair	1	19	1/71	1.245	0.5619700253770097	SCO3907	0.7903716165306809
sco00280	Valine, leucine and isoleucine degradation	2	45	2/71	1.051	0.5760112266011416	SCO2777;SCO3830	0.7903716165306809
sco00300	Lysine biosynthesis	1	20	1/71	1.182	0.5807050423638969	SCO2640	0.7903716165306809
sco03030	DNA replication	1	20	1/71	1.182	0.5807050423638969	SCO3907	0.7903716165306809
sco00790	Folate biosynthesis	1	21	1/71	1.126	0.5986495523049233	SCO2286	0.7903716165306809
sco04146	Peroxisome	1	21	1/71	1.126	0.5986495523049233	SCO1330	0.7903716165306809
sco01212	Fatty acid metabolism	2	47	2/71	1.006	0.6001440326242932	SCO1330;SCO6787	0.7903716165306809
sco03060	Protein export	1	22	1/71	1.075	0.6158364532617093	SCO1944	0.7903716165306809
sco01232	Nucleotide metabolism	2	49	2/71	0.965	0.6232525532231852	SCO2546;SCO5868	0.7903716165306809
sco00900	Terpenoid backbone biosynthesis	1	23	1/71	1.028	0.6322972932245448	SCO0185	0.7903716165306809
sco00670	One carbon pool by folate	1	23	1/71	1.028	0.6322972932245448	SCO4837	0.7903716165306809
sco01120	Microbial metabolism in diverse environments	14	356	14/71	0.93	0.6699191406323741	SCO0579;SCO1087;SCO1880;SCO1935;SCO1977;SCO2181;SCO2183;SCO2640;SCO3474;SCO4366;SCO4827;SCO4837;SCO7362;SCO7471	0.8223353068541682
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1	28	1/71	0.845	0.7047269553006472	SCO2036	0.8223353068541682
sco00770	Pantothenate and CoA biosynthesis	1	28	1/71	0.845	0.7047269553006472	SCO2256	0.8223353068541682
sco00630	Glyoxylate and dicarboxylate metabolism	2	57	2/71	0.83	0.7055737218521234	SCO4827;SCO4837	0.8223353068541682
sco01240	Biosynthesis of cofactors	6	164	6/71	0.865	0.7092642021617201	SCO1934;SCO2256;SCO2286;SCO3650;SCO4366;SCO4837	0.8223353068541682
sco02010	ABC transporters	7	193	7/71	0.858	0.7268540934504377	SCO0708;SCO2405;SCO2428;SCO3159;SCO4888;SCO6757;SCO7030	0.8235859631798864
sco00061	Fatty acid biosynthesis	1	31	1/71	0.763	0.7412273668618978	SCO1330	0.8235859631798864
sco01220	Degradation of aromatic compounds	1	31	1/71	0.763	0.7412273668618978	SCO7362	0.8235859631798864
sco00640	Propanoate metabolism	1	33	1/71	0.717	0.7630506918599248	SCO3830	0.8362199362848491
sco00052	Galactose metabolism	1	35	1/71	0.676	0.7830573214813277	SCO6347	0.8452549337811052
sco00250	Alanine, aspartate and glutamate metabolism	1	36	1/71	0.657	0.7924265004197861	SCO1977	0.8452549337811052
sco00230	Purine metabolism	2	71	2/71	0.666	0.8139229153813078	SCO2546;SCO4071	0.8567609635592714
sco00860	Porphyrin metabolism	1	42	1/71	0.563	0.8408222767527836	SCO1934	0.8623818223105474
sco00720	Other carbon fixation pathways	1	42	1/71	0.563	0.8408222767527836	SCO4827	0.8623818223105474
sco00520	Amino sugar and nucleotide sugar metabolism	1	56	1/71	0.422	0.914653715050187	SCO0382	0.9262316101774045
sco03010	Ribosome	1	62	1/71	0.381	0.934771144726449	SCO4720	0.934771144726449
