term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00970	Aminoacyl-tRNA biosynthesis	5	31	5/64	4.231	0.005421335618637773	SCO1501;SCO2615;SCO4839;SCO5498;SCO6436	0.35238681521145526
sco00900	Terpenoid backbone biosynthesis	3	23	3/64	3.422	0.054301702887689846	SCO0185;SCO4234;SCO6768	0.8741836844142742
sco02010	ABC transporters	11	193	11/64	1.495	0.10812358988683184	SCO0532;SCO0707;SCO1707;SCO2257;SCO2404;SCO2747;SCO2980;SCO4886;SCO5959;SCO5961;SCO6757	0.8741836844142742
sco00626	Naphthalene degradation	1	3	1/64	8.745	0.11011331386936585	SCO7362	0.8741836844142742
sco00405	Phenazine biosynthesis	1	4	1/64	6.559	0.14409466703903212	SCO3213	0.8741836844142742
sco00620	Pyruvate metabolism	4	56	4/64	1.874	0.16166941203815233	SCO1174;SCO4827;SCO4945;SCO7362	0.8741836844142742
sco03430	Mismatch repair	2	19	2/64	2.762	0.16167284429098192	SCO1827;SCO5494	0.8741836844142742
sco03030	DNA replication	2	20	2/64	2.623	0.17542623683261444	SCO1827;SCO5494	0.8741836844142742
sco01053	Biosynthesis of siderophore group nonribosomal peptides	1	5	1/64	5.247	0.1767979155820183	SCO7683	0.8741836844142742
sco03410	Base excision repair	2	21	2/64	2.499	0.1893624494457849	SCO0945;SCO5494	0.8741836844142742
sco00860	Porphyrin metabolism	3	42	3/64	1.874	0.2133494882182494	SCO1849;SCO6971;SCO7343	0.8741836844142742
sco03440	Homologous recombination	2	23	2/64	2.281	0.21765271461957753	SCO1519;SCO1827	0.8741836844142742
sco00975	Biosynthesis of various siderophores	1	8	1/64	3.279	0.26770383755658733	SCO2017	0.8741836844142742
sco00400	Phenylalanine, tyrosine and tryptophan biosynthesis	2	28	2/64	1.874	0.2895081354304332	SCO2019;SCO3213	0.8741836844142742
sco00330	Arginine and proline metabolism	2	30	2/64	1.749	0.31820984102914746	SCO5527;SCO7569	0.8741836844142742
sco00680	Methane metabolism	2	31	2/64	1.693	0.33247445223348965	SCO1808;SCO4827	0.8741836844142742
sco02024	Quorum sensing	5	101	5/64	1.299	0.34003172635807516	SCO0707;SCO3213;SCO3456;SCO5716;SCO6645	0.8741836844142742
sco03420	Nucleotide excision repair	1	11	1/64	2.385	0.3487106823882497	SCO5494	0.8741836844142742
sco00750	Vitamin B6 metabolism	1	11	1/64	2.385	0.3487106823882497	SCO0429	0.8741836844142742
sco00630	Glyoxylate and dicarboxylate metabolism	3	57	3/64	1.381	0.3714623973092054	SCO0379;SCO4323;SCO4827	0.8741836844142742
sco00625	Chloroalkane and chloroalkene degradation	1	12	1/64	2.186	0.37370020056999553	SCO7362	0.8741836844142742
sco00010	Glycolysis / Gluconeogenesis	3	58	3/64	1.357	0.38208238561324387	SCO1174;SCO4945;SCO7362	0.8741836844142742
sco00730	Thiamine metabolism	1	13	1/64	2.018	0.39774530384745205	SCO6768	0.8741836844142742
sco00270	Cysteine and methionine metabolism	2	37	2/64	1.418	0.4159320861476219	SCO4164;SCO4827	0.8741836844142742
sco00450	Selenocompound metabolism	1	15	1/64	1.749	0.4431415632193609	SCO6436	0.8741836844142742
sco04122	Sulfur relay system	1	15	1/64	1.749	0.4431415632193609	SCO4164	0.8741836844142742
sco00190	Oxidative phosphorylation	3	67	3/64	1.175	0.4753814401121179	SCO5371;SCO6496;SCO7234	0.8741836844142742
sco00290	Valine, leucine and isoleucine biosynthesis	1	17	1/64	1.543	0.48516545607322153	SCO4984	0.8741836844142742
sco00350	Tyrosine metabolism	1	18	1/64	1.457	0.5049906129994031	SCO7362	0.8741836844142742
sco00260	Glycine, serine and threonine metabolism	2	44	2/64	1.192	0.5064814586123529	SCO1808;SCO2017	0.8741836844142742
