term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00785	Lipoic acid metabolism	4	20	4/83	4.046	0.014667363459682902	SCO2181;SCO2183;SCO3830;SCO6423	0.7797053952448239
sco01053	Biosynthesis of siderophore group nonribosomal peptides	2	5	2/83	8.092	0.02190621605825439	SCO7683;SCO7685	0.7797053952448239
sco00710	Carbon fixation by Calvin cycle	3	22	3/83	2.758	0.09112263195303208	SCO0579;SCO1935;SCO4827	0.7797053952448239
sco00750	Vitamin B6 metabolism	2	11	2/83	3.678	0.09941616680728317	SCO0429;SCO4366	0.7797053952448239
sco00620	Pyruvate metabolism	5	56	5/83	1.806	0.13917593448679064	SCO1174;SCO2181;SCO2183;SCO4827;SCO7362	0.7797053952448239
sco00626	Naphthalene degradation	1	3	1/83	6.743	0.14117203733584607	SCO7362	0.7797053952448239
sco00330	Arginine and proline metabolism	3	30	3/83	2.023	0.182220313308045	SCO4279;SCO6035;SCO7569	0.7797053952448239
sco00572	Arabinogalactan biosynthesis	1	4	1/83	5.057	0.1837034937207654	SCO5365	0.7797053952448239
sco00970	Aminoacyl-tRNA biosynthesis	3	31	3/83	1.958	0.19497804420647308	SCO4839;SCO5498;SCO6436	0.7797053952448239
sco00541	Biosynthesis of various nucleotide sugars	2	17	2/83	2.38	0.20381362390281832	SCO6179;SCO6182	0.7797053952448239
sco02024	Quorum sensing	7	101	7/83	1.402	0.22799608312233813	SCO0707;SCO0708;SCO1330;SCO1880;SCO1944;SCO5716;SCO7680	0.7797053952448239
sco00071	Fatty acid degradation	3	34	3/83	1.785	0.23445848632217361	SCO1330;SCO6787;SCO7362	0.7797053952448239
sco01210	2-Oxocarboxylic acid metabolism	4	52	4/83	1.556	0.25347672595612103	SCO2181;SCO2183;SCO2640;SCO3830	0.7797053952448239
sco00480	Glutathione metabolism	2	20	2/83	2.023	0.2597498498172538	SCO4444;SCO6035	0.7797053952448239
sco01055	Biosynthesis of vancomycin group antibiotics	1	6	1/83	3.371	0.26262074414575953	SCO6179	0.7797053952448239
sco00523	Polyketide sugar unit biosynthesis	1	6	1/83	3.371	0.26262074414575953	SCO6179	0.7797053952448239
sco00240	Pyrimidine metabolism	3	37	3/83	1.64	0.2752428286673623	SCO3650;SCO5868;SCO6414	0.7797053952448239
sco00020	Citrate cycle (TCA cycle)	3	37	3/83	1.64	0.2752428286673623	SCO2181;SCO2183;SCO4827	0.7797053952448239
sco00270	Cysteine and methionine metabolism	3	37	3/83	1.64	0.2752428286673623	SCO2640;SCO4366;SCO4827	0.7797053952448239
sco00340	Histidine metabolism	2	22	2/83	1.839	0.2972523031523335	SCO0912;SCO2054	0.7797053952448239
sco00552	Teichoic acid biosynthesis	1	7	1/83	2.89	0.2992032176878408	SCO5365	0.7797053952448239
sco03440	Homologous recombination	2	23	2/83	1.759	0.3159240485217673	SCO1519;SCO3907	0.7797053952448239
