term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco00626	Naphthalene degradation	2	3	2/182	6.15	0.032567476984861454	SCO0199;SCO7362	0.963588212091151
sco03020	RNA polymerase	2	4	2/182	4.613	0.060517030972825986	SCO4655;SCO4729	0.963588212091151
sco03070	Bacterial secretion system	4	16	4/182	2.306	0.08590815436861501	SCO1516;SCO1944;SCO3768;SCO5150	0.963588212091151
sco00906	Carotenoid biosynthesis	2	5	2/182	3.69	0.09377839074357781	SCO0191;SCO6760	0.963588212091151
sco00970	Aminoacyl-tRNA biosynthesis	6	31	6/182	1.786	0.11054050532717476	SCO1473;SCO2571;SCO3334;SCO5498;SCO5499;SCO6384	0.963588212091151
sco00350	Tyrosine metabolism	4	18	4/182	2.05	0.12201870065674396	SCO0199;SCO3944;SCO4780;SCO7362	0.963588212091151
sco00625	Chloroalkane and chloroalkene degradation	3	12	3/182	2.306	0.13254772751055363	SCO0199;SCO0404;SCO7362	0.963588212091151
sco00230	Purine metabolism	11	71	11/182	1.429	0.1380516529511164	SCO1513;SCO2612;SCO3059;SCO3093;SCO4068;SCO4071;SCO4813;SCO4917;SCO4972;SCO5225;SCO6075	0.963588212091151
sco00051	Fructose and mannose metabolism	6	33	6/182	1.677	0.1391476161853816	SCO0382;SCO1169;SCO1945;SCO2346;SCO2627;SCO6234	0.963588212091151
sco01310	Nitrogen cycle	3	13	3/182	2.129	0.15923281596517141	SCO0216;SCO0217;SCO2488	0.963588212091151
sco00621	Dioxin degradation	2	7	2/182	2.636	0.1706210377665436	SCP1.301;SCP1.55c	0.963588212091151
sco03410	Base excision repair	4	21	4/182	1.757	0.1858914363567288	SCO1990;SCO2111;SCO5760;SCO6461	0.963588212091151
sco00260	Glycine, serine and threonine metabolism	7	44	7/182	1.468	0.1922099217798451	SCO1087;SCO2640;SCO4366;SCO4837;SCO5515;SCO6799;SCO6800	0.963588212091151
sco00020	Citrate cycle (TCA cycle)	6	37	6/182	1.496	0.20524018010133724	SCO2183;SCO4809;SCO4855;SCO5831;SCO5832;SCO6585	0.963588212091151
sco00240	Pyrimidine metabolism	6	37	6/182	1.496	0.20524018010133724	SCO1488;SCO2612;SCO3650;SCO5225;SCO5626;SCO6411	0.963588212091151
sco03060	Protein export	4	22	4/182	1.677	0.20922876735774906	SCO1516;SCO1944;SCO3768;SCO5150	0.963588212091151
sco01320	Sulfur cycle	2	8	2/182	2.306	0.21198952207078697	SCO0201;SCO4789	0.963588212091151
sco00910	Nitrogen metabolism	5	30	5/182	1.538	0.21906088512798264	SCO0216;SCO0217;SCO2488;SCO2553;SCO2959	0.963588212091151
sco00680	Methane metabolism	5	31	5/182	1.488	0.23993018893583024	SCO3096;SCO4366;SCO4837;SCO5515;SCO6440	0.963588212091151
sco01200	Carbon metabolism	19	148	19/182	1.184	0.2431022700004526	SCO1935;SCO1937;SCO1945;SCO2103;SCO2183;SCO2627;SCO3096;SCO3474;SCO4366;SCO4809;SCO4837;SCO4855;SCO5515;SCO5831;SCO5832;SCO6204;SCO6585;SCO6731;SCO6788	0.963588212091151
sco01502	Vancomycin resistance	3	16	3/182	1.73	0.24687128600355987	SCO2087;SCO2255;SCO5560	0.963588212091151
sco00541	Biosynthesis of various nucleotide sugars	3	17	3/182	1.628	0.27765076637632763	SCO3122;SCO4773;SCO6179	0.963588212091151
sco00550	Peptidoglycan biosynthesis	5	33	5/182	1.398	0.2831338507758951	SCO1212;SCO1875;SCO2087;SCO4847;SCO5560	0.963588212091151
sco00564	Glycerophospholipid metabolism	4	25	4/182	1.476	0.2833534605116582	SCO1228;SCO1419;SCO1759;SCO4774	0.963588212091151
sco01059	Biosynthesis of enediyne antibiotics	1	3	1/182	3.075	0.2913710818678921	SCO7417	0.963588212091151
sco00622	Xylene degradation	2	10	2/182	1.845	0.2965183141052599	SCP1.301;SCP1.55c	0.963588212091151
sco00190	Oxidative phosphorylation	9	67	9/182	1.239	0.2972545341051764	SCO1934;SCO4562;SCO4567;SCO4575;SCO4607;SCO4855;SCO5367;SCO7101;SCO7319	0.963588212091151
sco00720	Other carbon fixation pathways	6	42	6/182	1.318	0.3000716252941088	SCO2103;SCO4809;SCO4855;SCO6585;SCO6731;SCO6788	0.963588212091151
sco00860	Porphyrin metabolism	6	42	6/182	1.318	0.3000716252941088	SCO1847;SCO1934;SCO2113;SCO2267;SCO3319;SCO7343	0.963588212091151
sco00360	Phenylalanine metabolism	5	35	5/182	1.318	0.327697506487029	SCO3944;SCO7472;SCO7473;SCP1.301;SCP1.55c	0.963588212091151
sco01057	Biosynthesis of type II polyketide products	2	11	2/182	1.677	0.3384923685005898	SCO5075;SCO7452	0.963588212091151
