term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco02010	ABC transporters	193	193	193/1671	1.005	0.3756654527667985	SCO0290;SCO0291;SCO0292;SCO0322;SCO0352;SCO0353;SCO0354;SCO0449;SCO0494;SCO0495;SCO0496;SCO0497;SCO0531;SCO0532;SCO0533;SCO0707;SCO0708;SCO0709;SCO0710;SCO0808;SCO0809;SCO0810;SCO0811;SCO0914;SCO0950;SCO0951;SCO0952;SCO1063;SCO1064;SCO1065;SCO1367;SCO1368;SCO1465;SCO1557;SCO1558;SCO1559;SCO1620;SCO1621;SCO1707;SCO1785;SCO1786;SCO1787;SCO1898;SCO1899;SCO1900;SCO2008;SCO2009;SCO2010;SCO2011;SCO2012;SCO2229;SCO2230;SCO2231;SCO2257;SCO2258;SCO2323;SCO2404;SCO2405;SCO2406;SCO2414;SCO2415;SCO2416;SCO2417;SCO2418;SCO2419;SCO2420;SCO2421;SCO2422;SCO2428;SCO2463;SCO2464;SCO2505;SCO2506;SCO2507;SCO2630;SCO2746;SCO2747;SCO2749;SCO2780;SCO2795;SCO2796;SCO2797;SCO2930;SCO2931;SCO2932;SCO2933;SCO2944;SCO2945;SCO2946;SCO2968;SCO2969;SCO2978;SCO2979;SCO2980;SCO2995;SCO2996;SCO3159;SCO3160;SCO3161;SCO3667;SCO3704;SCO3705;SCO3706;SCO3947;SCO4139;SCO4140;SCO4141;SCO4142;SCO4240;SCO4401;SCO4830;SCO4831;SCO4832;SCO4884;SCO4885;SCO4886;SCO4887;SCO4888;SCO5117;SCO5118;SCO5119;SCO5120;SCO5121;SCO5232;SCO5233;SCO5234;SCO5646;SCO5647;SCO5648;SCO5658;SCO5667;SCO5668;SCO5669;SCO5670;SCO5686;SCO5687;SCO5688;SCO5774;SCO5775;SCO5776;SCO5777;SCO5923;SCO5924;SCO5958;SCO5959;SCO5960;SCO5961;SCO6005;SCO6006;SCO6007;SCO6009;SCO6010;SCO6011;SCO6062;SCO6063;SCO6064;SCO6065;SCO6094;SCO6095;SCO6096;SCO6229;SCO6230;SCO6231;SCO6567;SCO6568;SCO6569;SCO6757;SCO6758;SCO6814;SCO6815;SCO6816;SCO7028;SCO7029;SCO7030;SCO7165;SCO7166;SCO7167;SCO7181;SCO7182;SCO7183;SCO7184;SCO7185;SCO7398;SCO7399;SCO7400;SCO7544;SCO7545;SCO7546;SCO7555;SCO7556;SCO7557;SCO7689;SCO7690	0.9989300377271726
sco01240	Biosynthesis of cofactors	164	164	164/1671	1.005	0.43864078642191806	SCO0171;SCO0330;SCO0401;SCO0410;SCO0462;SCO0506;SCO0524;SCO0548;SCO0828;SCO0910;SCO0978;SCO1243;SCO1244;SCO1245;SCO1246;SCO1254;SCO1290;SCO1346;SCO1440;SCO1441;SCO1443;SCO1476;SCO1477;SCO1481;SCO1482;SCO1483;SCO1484;SCO1486;SCO1487;SCO1522;SCO1523;SCO1546;SCO1547;SCO1553;SCO1554;SCO1555;SCO1706;SCO1776;SCO1781;SCO1815;SCO1821;SCO1831;SCO1847;SCO1848;SCO1849;SCO1851;SCO1852;SCO1853;SCO1855;SCO1856;SCO1857;SCO1858;SCO1930;SCO1934;SCO1996;SCO2068;SCO2104;SCO2107;SCO2109;SCO2157;SCO2162;SCO2173;SCO2175;SCO2177;SCO2180;SCO2193;SCO2194;SCO2238;SCO2256;SCO2286;SCO2299;SCO2390;SCO2579;SCO2612;SCO2614;SCO2687;SCO2688;SCO2917;SCO2918;SCO2927;SCO2958;SCO3025;SCO3036;SCO3039;SCO3052;SCO3180;SCO3181;SCO3182;SCO3248;SCO3282;SCO3283;SCO3311;SCO3317;SCO3318;SCO3319;SCO3380;SCO3381;SCO3382;SCO3383;SCO3398;SCO3400;SCO3401;SCO3403;SCO3420;SCO3502;SCO3629;SCO3645;SCO3646;SCO3650;SCO3827;SCO3851;SCO3928;SCO4326;SCO4327;SCO4366;SCO4387;SCO4418;SCO4469;SCO4490;SCO4491;SCO4492;SCO4494;SCO4501;SCO4506;SCO4550;SCO4556;SCO4593;SCO4681;SCO4723;SCO4738;SCO4824;SCO4837;SCO4913;SCO5141;SCO5201;SCO5364;SCO5381;SCO5470;SCO5486;SCO5523;SCO5547;SCO5557a;SCO5562;SCO5563;SCO5568;SCO5626;SCO5662;SCO5711;SCO5859;SCO6031;SCO6041;SCO6042;SCO6249;SCO6264;SCO6423;SCO6440;SCO6562;SCO6655;SCO6971;SCO7139;SCO7266;SCO7343;SCO7611;SCO7810	0.9989300377271726
sco01230	Biosynthesis of amino acids	148	148	148/1671	1.005	0.4771925270584214	SCO0315;SCO0386;SCO0420;SCO0435;SCO0546;SCO0578;SCO0579;SCO0731;SCO0782;SCO0985;SCO1028;SCO1087;SCO1214;SCO1224;SCO1438;SCO1439;SCO1464;SCO1476;SCO1494;SCO1495;SCO1496;SCO1546;SCO1570;SCO1577;SCO1578;SCO1579;SCO1580;SCO1613;SCO1657;SCO1761;SCO1762;SCO1808;SCO1859;SCO1865;SCO1889;SCO1912;SCO1916;SCO1935;SCO1936;SCO1945;SCO1946;SCO1947;SCO1961;SCO1977;SCO2014;SCO2019;SCO2025;SCO2026;SCO2036;SCO2037;SCO2039;SCO2043;SCO2044;SCO2048;SCO2050;SCO2051;SCO2052;SCO2053;SCO2054;SCO2115;SCO2119;SCO2147;SCO2198;SCO2210;SCO2241;SCO2528;SCO2585;SCO2587;SCO2627;SCO2640;SCO2736;SCO2769;SCO3077;SCO3096;SCO3123;SCO3210;SCO3211;SCO3212;SCO3213;SCO3214;SCO3221;SCO3337;SCO3345;SCO3376;SCO3478;SCO3614;SCO3615;SCO3649;SCO3658;SCO3920;SCO3944;SCO3962;SCO4209;SCO4293;SCO4366;SCO4388;SCO4645;SCO4784;SCO4837;SCO4958;SCO4962;SCO4984;SCO5134;SCO5139;SCO5208;SCO5212;SCO5353;SCO5354;SCO5355;SCO5356;SCO5364;SCO5423;SCO5426;SCO5469;SCO5470;SCO5512;SCO5513;SCO5514;SCO5515;SCO5522;SCO5523;SCO5529;SCO5553;SCO5554;SCO5739;SCO5744;SCO5793;SCO5799;SCO5831;SCO5832;SCO5852;SCO5976;SCO5999;SCO6222;SCO6438;SCO6497;SCO6662;SCO6663;SCO6818;SCO6819;SCO6962;SCO7000;SCO7036;SCO7040;SCO7154;SCO7292;SCO7511;SCO7638	0.9989300377271726
sco02024	Quorum sensing	101	101	101/1671	1.005	0.6081146026465787	SCO0269;SCO0270;SCO0554;SCO0707;SCO0708;SCO0709;SCO0710;SCO1330;SCO1344;SCO1517;SCO1655;SCO1880;SCO1944;SCO2008;SCO2009;SCO2010;SCO2011;SCO2012;SCO2043;SCO2115;SCO2117;SCO2131;SCO2474;SCO2561;SCO2687;SCO2688;SCO2695;SCO2720;SCO2821;SCO2851;SCO3005;SCO3210;SCO3213;SCO3214;SCO3416;SCO3454;SCO3455;SCO3456;SCO3571;SCO3883;SCO4401;SCO4503;SCO4646;SCO4722;SCO5110;SCO5112;SCO5113;SCO5114;SCO5115;SCO5116;SCO5117;SCO5118;SCO5119;SCO5120;SCO5121;SCO5476;SCO5477;SCO5478;SCO5479;SCO5480;SCO5580;SCO5586;SCO5713;SCO5714;SCO5715;SCO5716;SCO5872;SCO6111;SCO6112;SCO6113;SCO6114;SCO6160;SCO6234;SCO6451;SCO6452;SCO6453;SCO6454;SCO6455;SCO6552;SCO6644;SCO6645;SCO6655;SCO6691;SCO6929;SCO6930;SCO6968;SCO7181;SCO7182;SCO7183;SCO7184;SCO7185;SCO7329;SCO7563;SCO7564;SCO7565;SCO7566;SCO7567;SCO7677;SCO7678;SCO7679;SCO7680	0.9989300377271726
sco00230	Purine metabolism	71	71	71/1671	1.005	0.7072321910318162	SCO0689;SCO0690;SCO0691;SCO0757;SCO0782;SCO1132;SCO1133;SCO1134;SCO1234;SCO1235;SCO1236;SCO1254;SCO1461;SCO1479;SCO1513;SCO1514;SCO1530;SCO2015;SCO2081;SCO2158;SCO2470;SCO2546;SCO2612;SCO2843;SCO2902;SCO3059;SCO3060;SCO3093;SCO3123;SCO3348;SCO3405;SCO3629;SCO4068;SCO4071;SCO4077;SCO4078;SCO4079;SCO4086;SCO4087;SCO4152;SCO4644;SCO4723;SCO4770;SCO4771;SCO4785;SCO4813;SCO4814;SCO4859;SCO4901;SCO4917;SCO4928;SCO4971;SCO4972;SCO5225;SCO5226;SCO5525;SCO5526;SCO5794;SCO5805;SCO6075;SCO6097;SCO6098;SCO6099;SCO6209;SCO6210;SCO6211;SCO6247;SCO6248;SCO7268;SCO7443;SCO7499	0.9989300377271726
sco00190	Oxidative phosphorylation	67	67	67/1671	1.005	0.7214608817777584	SCO0158;SCO0166;SCO0922;SCO0923;SCO0924;SCO1930;SCO1934;SCO2148;SCO2149;SCO2150;SCO2151;SCO2154;SCO2155;SCO2156;SCO3092;SCO3392;SCO3409;SCO3945;SCO3946;SCO4119;SCO4145;SCO4562;SCO4563;SCO4564;SCO4565;SCO4566;SCO4567;SCO4568;SCO4569;SCO4570;SCO4571;SCO4572;SCO4573;SCO4574;SCO4575;SCO4599;SCO4600;SCO4601;SCO4602;SCO4603;SCO4604;SCO4605;SCO4606;SCO4607;SCO4608;SCO4855;SCO4856;SCO4857;SCO4858;SCO5106;SCO5107;SCO5367;SCO5368;SCO5369;SCO5370;SCO5371;SCO5372;SCO5373;SCO5374;SCO6496;SCO6560;SCO7101;SCO7109;SCO7120;SCO7234;SCO7236;SCO7319	0.9989300377271726
sco03010	Ribosome	62	62	62/1671	1.005	0.7395985415481378	SCO0436;SCO0569;SCO0570;SCO1150;SCO1505;SCO1598;SCO1599;SCO1998;SCO2563;SCO2596;SCO2597;SCO3124;SCO3425;SCO3427;SCO3428;SCO3429;SCO3430;SCO3880;SCO3906;SCO3908;SCO3909;SCO4635;SCO4648;SCO4649;SCO4652;SCO4653;SCO4659;SCO4660;SCO4701;SCO4702;SCO4703;SCO4704;SCO4705;SCO4706;SCO4707;SCO4708;SCO4709;SCO4710;SCO4711;SCO4712;SCO4713;SCO4714;SCO4715;SCO4716;SCO4717;SCO4718;SCO4719;SCO4720;SCO4721;SCO4726;SCO4727;SCO4728;SCO4730;SCO4734;SCO4735;SCO5359;SCO5564;SCO5571;SCO5591;SCO5595;SCO5624;SCO5736	0.9989300377271726
sco00010	Glycolysis / Gluconeogenesis	58	58	58/1671	1.005	0.7543946853883148	SCO0199;SCO0208;SCO0434;SCO0578;SCO1077;SCO1174;SCO1214;SCO1390;SCO1705;SCO1706;SCO1942;SCO1945;SCO1946;SCO1947;SCO2014;SCO2119;SCO2126;SCO2180;SCO2181;SCO2183;SCO2371;SCO2393;SCO2407;SCO2494;SCO2661;SCO3096;SCO3420;SCO3563;SCO3649;SCO3651;SCO4209;SCO4271;SCO4285;SCO4594;SCO4595;SCO4913;SCO4945;SCO4979;SCO5047;SCO5059;SCO5423;SCO5426;SCO5852;SCO6110;SCO6195;SCO6260;SCO6269;SCO6270;SCO6659;SCO6670;SCO6818;SCO7040;SCO7124;SCO7139;SCO7362;SCO7443;SCO7511;SCO7638	0.9989300377271726
sco00620	Pyruvate metabolism	56	56	56/1671	1.005	0.7618894025776203	SCO0199;SCO0208;SCO0546;SCO0763;SCO0983;SCO1174;SCO1509;SCO1705;SCO1706;SCO2014;SCO2118;SCO2180;SCO2181;SCO2183;SCO2371;SCO2494;SCO2528;SCO2951;SCO3079;SCO3127;SCO3420;SCO3486;SCO3563;SCO4271;SCO4502;SCO4594;SCO4595;SCO4827;SCO4913;SCO4921;SCO4945;SCO4979;SCO5042;SCO5044;SCO5261;SCO5399;SCO5423;SCO5424;SCO5425;SCO5529;SCO5576;SCO6155;SCO6195;SCO6243;SCO6269;SCO6270;SCO6271;SCO6731;SCO6788;SCO7124;SCO7139;SCO7362;SCO7412;SCO7572;SCP1.300;SCP1.54c	0.9989300377271726
sco00520	Amino sugar and nucleotide sugar metabolism	56	56	56/1671	1.005	0.7618894025776203	SCO0118;SCO0382;SCO0393;SCO0434;SCO0534;SCO0677;SCO0961;SCO1077;SCO1388;SCO1390;SCO1429;SCO1444;SCO1942;SCO1957;SCO2024;SCO2126;SCO2431;SCO2758;SCO2786;SCO2789;SCO2906;SCO2907;SCO2943;SCO2949;SCO2988;SCO3025;SCO3028;SCO3039;SCO3052;SCO3122;SCO3136;SCO3137;SCO3138;SCO3182;SCO3326;SCO4284;SCO4285;SCO4307;SCO4643;SCO4736;SCO4740;SCO4860;SCO4916;SCO5059;SCO5235;SCO5236;SCO5376;SCO5954;SCO5998;SCO6032;SCO6110;SCO6260;SCO6300;SCO6659;SCO7443;SCO7595	0.9989300377271726
