term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
sco01212	Fatty acid metabolism	12	47	12/238	1.801	0.026208010443260824	SCO1271;SCO1330;SCO1690;SCO2388;SCO3079;SCO3248;SCO3502;SCO4501;SCO4502;SCO6249;SCO6271;SCO6787	0.9322159497846437
sco02020	Two-component system	25	121	25/238	1.458	0.027345039026228556	SCO1451;SCO1930;SCO2068;SCO2286;SCO2428;SCO3079;SCO3554;SCO3555;SCO3571;SCO3593;SCO3717;SCO4072;SCO4142;SCO4502;SCO4527;SCO4529;SCO4950;SCO5011;SCO5584;SCO5585;SCO6471;SCO6532;SCO7075;SCO7637;SCP1.302	0.9322159497846437
sco02010	ABC transporters	36	193	36/238	1.316	0.04022080337805855	SCO0496;SCO0707;SCO0708;SCO0808;SCO0809;SCO0811;SCO1065;SCO1898;SCO2009;SCO2418;SCO2428;SCO2780;SCO2795;SCO2933;SCO2944;SCO2978;SCO3159;SCO3160;SCO4142;SCO4240;SCO4401;SCO4830;SCO4888;SCO5117;SCO5658;SCO6062;SCO6231;SCO6569;SCO6814;SCO7030;SCO7166;SCO7182;SCO7185;SCO7399;SCO7556;SCO7689	0.9322159497846437
sco01056	Biosynthesis of type II polyketide backbone	3	6	3/238	3.527	0.04048231430299426	SCO1272;SCO5088;SCO5090	0.9322159497846437
sco00330	Arginine and proline metabolism	8	30	8/238	1.881	0.05125365157876891	SCO1223;SCO1284;SCO2587;SCO4279;SCO5520;SCO6035;SCO7569;SCO7601	0.9322159497846437
sco00300	Lysine biosynthesis	6	20	6/238	2.116	0.05228935042567112	SCO1912;SCO2640;SCO3306;SCO5139;SCO5353;SCO5744	0.9322159497846437
sco00061	Fatty acid biosynthesis	8	31	8/238	1.821	0.06095372301457064	SCO1271;SCO1330;SCO2388;SCO3248;SCO3502;SCO4501;SCO6249;SCO6271	0.9322159497846437
sco03410	Base excision repair	6	21	6/238	2.016	0.06484980520241	SCO2111;SCO2626;SCO3569;SCO5494;SCO5760;SCO6461	0.9322159497846437
sco00261	Monobactam biosynthesis	4	14	4/238	2.016	0.12446867399836646	SCO0489;SCO1912;SCO2640;SCO5744	0.9881998827767418
sco00860	Porphyrin metabolism	9	42	9/238	1.512	0.12882341591774557	SCO1553;SCO1554;SCO1555;SCO1855;SCO1930;SCO1934;SCO2299;SCO3318;SCO6041	0.9881998827767418
sco00480	Glutathione metabolism	5	20	5/238	1.764	0.14172194473730143	SCO2179;SCO4444;SCO6035;SCO6658;SCO7000	0.9881998827767418
sco04142	Lysosome	3	10	3/238	2.116	0.1583136569663407	SCO6232;SCO6557;SCO7548	0.9881998827767418
sco00710	Carbon fixation by Calvin cycle	5	22	5/238	1.603	0.19124915794279446	SCO0578;SCO0579;SCO1935;SCO4827;SCO5047	0.9881998827767418
sco00670	One carbon pool by folate	5	23	5/238	1.534	0.21803821075762347	SCO1378;SCO2103;SCO3183;SCO4403;SCO5666	0.9881998827767418
sco02024	Quorum sensing	17	101	17/238	1.187	0.25446887528145207	SCO0707;SCO0708;SCO1330;SCO1880;SCO2009;SCO3416;SCO3456;SCO3571;SCO4401;SCO5110;SCO5115;SCO5117;SCO6644;SCO7182;SCO7185;SCO7564;SCO7678	0.9881998827767418
sco00564	Glycerophospholipid metabolism	5	25	5/238	1.411	0.27463585549601316	SCO1228;SCO1389;SCO1565;SCO1566;SCO5559	0.9881998827767418
sco00780	Biotin metabolism	4	19	4/238	1.485	0.2779728843616441	SCO3248;SCO3502;SCO4501;SCO6249	0.9881998827767418
sco01210	2-Oxocarboxylic acid metabolism	9	52	9/238	1.221	0.3115521583461293	SCO1579;SCO2181;SCO2528;SCO2640;SCO3306;SCO3830;SCO4984;SCO5523;SCO7000	0.9881998827767418
sco01320	Sulfur cycle	2	8	2/238	1.764	0.3166497058164194	SCO4789;SCO6099	0.9881998827767418
sco00253	Tetracycline biosynthesis	2	8	2/238	1.764	0.3166497058164194	SCO1272;SCO5088	0.9881998827767418
sco00051	Fructose and mannose metabolism	6	33	6/238	1.283	0.32203270505383064	SCO0578;SCO0579;SCO0812;SCO1388;SCO3025;SCO5047	0.9881998827767418
sco00500	Starch and sucrose metabolism	9	54	9/238	1.176	0.35406867899085803	SCO0458;SCO0721;SCO0962;SCO1451;SCO3182;SCO4290;SCO5444;SCO7338;SCO7637	0.9881998827767418
sco04122	Sulfur relay system	3	15	3/238	1.411	0.35964420215979864	SCO2913;SCO4294;SCO5486	0.9881998827767418
sco02040	Flagellar assembly	1	3	1/238	2.352	0.36800804255057973	SCO5820	0.9881998827767418
sco01059	Biosynthesis of enediyne antibiotics	1	3	1/238	2.352	0.36800804255057973	SCO7417	0.9881998827767418
sco00620	Pyruvate metabolism	9	56	9/238	1.134	0.397311664926797	SCO0983;SCO2118;SCO2181;SCO2528;SCO3079;SCO4502;SCO4827;SCO6271;SCP1.300	0.9881998827767418
sco00040	Pentose and glucuronate interconversions	3	16	3/238	1.323	0.4008355931127968	SCO0812;SCO1880;SCO3182	0.9881998827767418
sco00900	Terpenoid backbone biosynthesis	4	23	4/238	1.227	0.4152444432309805	SCO0185;SCO3079;SCO4502;SCO5696	0.9881998827767418
sco00630	Glyoxylate and dicarboxylate metabolism	9	57	9/238	1.114	0.4190337629145017	SCO0983;SCO1378;SCO2925;SCO3079;SCO3306;SCO4403;SCO4502;SCO4827;SCO6271	0.9881998827767418
sco01100	Metabolic pathways	153	1066	153/238	1.013	0.4215467231930296	SCO0118;SCO0137;SCO0185;SCO0369;SCO0458;SCO0489;SCO0578;SCO0579;SCO0812;SCO0912;SCO0962;SCO0983;SCO1223;SCO1228;SCO1234;SCO1271;SCO1272;SCO1284;SCO1330;SCO1378;SCO1388;SCO1389;SCO1451;SCO1454;SCO1481;SCO1553;SCO1554;SCO1555;SCO1566;SCO1570;SCO1579;SCO1690;SCO1855;SCO1875;SCO1880;SCO1912;SCO1923;SCO1930;SCO1934;SCO1935;SCO1977;SCO1996;SCO2036;SCO2054;SCO2068;SCO2086;SCO2093;SCO2103;SCO2118;SCO2155;SCO2179;SCO2181;SCO2286;SCO2299;SCO2388;SCO2431;SCO2470;SCO2528;SCO2546;SCO2587;SCO2640;SCO2777;SCO2783;SCO2825;SCO2902;SCO2925;SCO3025;SCO3059;SCO3073;SCO3079;SCO3182;SCO3183;SCO3211;SCO3212;SCO3243;SCO3248;SCO3306;SCO3318;SCO3416;SCO3502;SCO3650;SCO3792;SCO3830;SCO4055;SCO4068;SCO4279;SCO4290;SCO4293;SCO4403;SCO4444;SCO4501;SCO4502;SCO4550;SCO4567;SCO4570;SCO4575;SCO4593;SCO4643;SCO4789;SCO4827;SCO4901;SCO4909;SCO4950;SCO4984;SCO5047;SCO5080;SCO5088;SCO5090;SCO5092;SCO5139;SCO5301;SCO5353;SCO5356;SCO5370;SCO5371;SCO5376;SCO5444;SCO5486;SCO5520;SCO5523;SCO5559;SCO5666;SCO5681;SCO5696;SCO5744;SCO5868;SCO5879;SCO6035;SCO6041;SCO6099;SCO6131;SCO6182;SCO6248;SCO6249;SCO6271;SCO6436;SCO6532;SCO6557;SCO6585;SCO6658;SCO6787;SCO6799;SCO7000;SCO7141;SCO7319;SCO7338;SCO7417;SCO7470;SCO7471;SCO7569;SCO7601;SCO7637;SCP1.300	0.9881998827767418
