pathway_id	pathway_name	gene
sco00010	Glycolysis / Gluconeogenesis	SCO0199
sco00010	Glycolysis / Gluconeogenesis	SCO0208
sco00010	Glycolysis / Gluconeogenesis	SCO0434
sco00010	Glycolysis / Gluconeogenesis	SCO0578
sco00010	Glycolysis / Gluconeogenesis	SCO1077
sco00010	Glycolysis / Gluconeogenesis	SCO1174
sco00010	Glycolysis / Gluconeogenesis	SCO1214
sco00010	Glycolysis / Gluconeogenesis	SCO1390
sco00010	Glycolysis / Gluconeogenesis	SCO1705
sco00010	Glycolysis / Gluconeogenesis	SCO1706
sco00010	Glycolysis / Gluconeogenesis	SCO1942
sco00010	Glycolysis / Gluconeogenesis	SCO1945
sco00010	Glycolysis / Gluconeogenesis	SCO1946
sco00010	Glycolysis / Gluconeogenesis	SCO1947
sco00010	Glycolysis / Gluconeogenesis	SCO2014
sco00010	Glycolysis / Gluconeogenesis	SCO2119
sco00010	Glycolysis / Gluconeogenesis	SCO2126
sco00010	Glycolysis / Gluconeogenesis	SCO2180
sco00010	Glycolysis / Gluconeogenesis	SCO2181
sco00010	Glycolysis / Gluconeogenesis	SCO2183
sco00010	Glycolysis / Gluconeogenesis	SCO2371
sco00010	Glycolysis / Gluconeogenesis	SCO2393
sco00010	Glycolysis / Gluconeogenesis	SCO2407
sco00010	Glycolysis / Gluconeogenesis	SCO2494
sco00010	Glycolysis / Gluconeogenesis	SCO2661
sco00010	Glycolysis / Gluconeogenesis	SCO3096
sco00010	Glycolysis / Gluconeogenesis	SCO3420
sco00010	Glycolysis / Gluconeogenesis	SCO3563
sco00010	Glycolysis / Gluconeogenesis	SCO3649
sco00010	Glycolysis / Gluconeogenesis	SCO3651
sco00010	Glycolysis / Gluconeogenesis	SCO4209
sco00010	Glycolysis / Gluconeogenesis	SCO4271
sco00010	Glycolysis / Gluconeogenesis	SCO4285
sco00010	Glycolysis / Gluconeogenesis	SCO4594
sco00010	Glycolysis / Gluconeogenesis	SCO4595
sco00010	Glycolysis / Gluconeogenesis	SCO4913
sco00010	Glycolysis / Gluconeogenesis	SCO4945
sco00010	Glycolysis / Gluconeogenesis	SCO4979
sco00010	Glycolysis / Gluconeogenesis	SCO5047
sco00010	Glycolysis / Gluconeogenesis	SCO5059
sco00010	Glycolysis / Gluconeogenesis	SCO5423
sco00010	Glycolysis / Gluconeogenesis	SCO5426
sco00010	Glycolysis / Gluconeogenesis	SCO5852
sco00010	Glycolysis / Gluconeogenesis	SCO6110
sco00010	Glycolysis / Gluconeogenesis	SCO6195
sco00010	Glycolysis / Gluconeogenesis	SCO6260
sco00010	Glycolysis / Gluconeogenesis	SCO6269
sco00010	Glycolysis / Gluconeogenesis	SCO6270
sco00010	Glycolysis / Gluconeogenesis	SCO6659
sco00010	Glycolysis / Gluconeogenesis	SCO6670
sco00010	Glycolysis / Gluconeogenesis	SCO6818
sco00010	Glycolysis / Gluconeogenesis	SCO7040
sco00010	Glycolysis / Gluconeogenesis	SCO7124
sco00010	Glycolysis / Gluconeogenesis	SCO7139
sco00010	Glycolysis / Gluconeogenesis	SCO7362
sco00010	Glycolysis / Gluconeogenesis	SCO7443
sco00010	Glycolysis / Gluconeogenesis	SCO7511
sco00010	Glycolysis / Gluconeogenesis	SCO7638
sco00020	Citrate cycle (TCA cycle)	SCO0546
sco00020	Citrate cycle (TCA cycle)	SCO0922
sco00020	Citrate cycle (TCA cycle)	SCO0923
sco00020	Citrate cycle (TCA cycle)	SCO0924
sco00020	Citrate cycle (TCA cycle)	SCO1268
sco00020	Citrate cycle (TCA cycle)	SCO2180
sco00020	Citrate cycle (TCA cycle)	SCO2181
sco00020	Citrate cycle (TCA cycle)	SCO2183
sco00020	Citrate cycle (TCA cycle)	SCO2371
sco00020	Citrate cycle (TCA cycle)	SCO2736
sco00020	Citrate cycle (TCA cycle)	SCO4388
sco00020	Citrate cycle (TCA cycle)	SCO4594
sco00020	Citrate cycle (TCA cycle)	SCO4595
sco00020	Citrate cycle (TCA cycle)	SCO4808
sco00020	Citrate cycle (TCA cycle)	SCO4809
sco00020	Citrate cycle (TCA cycle)	SCO4827
sco00020	Citrate cycle (TCA cycle)	SCO4855
sco00020	Citrate cycle (TCA cycle)	SCO4856
sco00020	Citrate cycle (TCA cycle)	SCO4857
sco00020	Citrate cycle (TCA cycle)	SCO4858
sco00020	Citrate cycle (TCA cycle)	SCO4979
sco00020	Citrate cycle (TCA cycle)	SCO5042
sco00020	Citrate cycle (TCA cycle)	SCO5044
sco00020	Citrate cycle (TCA cycle)	SCO5106
sco00020	Citrate cycle (TCA cycle)	SCO5107
sco00020	Citrate cycle (TCA cycle)	SCO5281
sco00020	Citrate cycle (TCA cycle)	SCO5831
sco00020	Citrate cycle (TCA cycle)	SCO5832
sco00020	Citrate cycle (TCA cycle)	SCO5999
sco00020	Citrate cycle (TCA cycle)	SCO6269
sco00020	Citrate cycle (TCA cycle)	SCO6270
sco00020	Citrate cycle (TCA cycle)	SCO6585
sco00020	Citrate cycle (TCA cycle)	SCO6586
sco00020	Citrate cycle (TCA cycle)	SCO7000
sco00020	Citrate cycle (TCA cycle)	SCO7109
sco00020	Citrate cycle (TCA cycle)	SCO7123
sco00020	Citrate cycle (TCA cycle)	SCO7124
sco00030	Pentose phosphate pathway	SCO0524
sco00030	Pentose phosphate pathway	SCO0579
sco00030	Pentose phosphate pathway	SCO0617
sco00030	Pentose phosphate pathway	SCO0782
sco00030	Pentose phosphate pathway	SCO0798
sco00030	Pentose phosphate pathway	SCO0851
sco00030	Pentose phosphate pathway	SCO0852
sco00030	Pentose phosphate pathway	SCO0975
sco00030	Pentose phosphate pathway	SCO1214
sco00030	Pentose phosphate pathway	SCO1224
sco00030	Pentose phosphate pathway	SCO1464
sco00030	Pentose phosphate pathway	SCO1679
sco00030	Pentose phosphate pathway	SCO1935
sco00030	Pentose phosphate pathway	SCO1936
sco00030	Pentose phosphate pathway	SCO1937
sco00030	Pentose phosphate pathway	SCO1939
sco00030	Pentose phosphate pathway	SCO1942
sco00030	Pentose phosphate pathway	SCO2119
sco00030	Pentose phosphate pathway	SCO2298
sco00030	Pentose phosphate pathway	SCO2627
sco00030	Pentose phosphate pathway	SCO2748
sco00030	Pentose phosphate pathway	SCO3123
sco00030	Pentose phosphate pathway	SCO3473
sco00030	Pentose phosphate pathway	SCO3474
sco00030	Pentose phosphate pathway	SCO3494
sco00030	Pentose phosphate pathway	SCO3495
sco00030	Pentose phosphate pathway	SCO3649
sco00030	Pentose phosphate pathway	SCO3877
sco00030	Pentose phosphate pathway	SCO4914
sco00030	Pentose phosphate pathway	SCO4988
sco00030	Pentose phosphate pathway	SCO5047
sco00030	Pentose phosphate pathway	SCO5426
sco00030	Pentose phosphate pathway	SCO5852
sco00030	Pentose phosphate pathway	SCO6497
sco00030	Pentose phosphate pathway	SCO6658
sco00030	Pentose phosphate pathway	SCO6659
sco00030	Pentose phosphate pathway	SCO6661
sco00030	Pentose phosphate pathway	SCO6662
sco00030	Pentose phosphate pathway	SCO6663
sco00030	Pentose phosphate pathway	SCO7443
sco00040	Pentose and glucuronate interconversions	SCO0812
sco00040	Pentose and glucuronate interconversions	SCO0814
sco00040	Pentose and glucuronate interconversions	SCO1110
sco00040	Pentose and glucuronate interconversions	SCO1169
sco00040	Pentose and glucuronate interconversions	SCO1170
sco00040	Pentose and glucuronate interconversions	SCO1464
sco00040	Pentose and glucuronate interconversions	SCO1844
sco00040	Pentose and glucuronate interconversions	SCO1879
sco00040	Pentose and glucuronate interconversions	SCO1880
sco00040	Pentose and glucuronate interconversions	SCO2462
sco00040	Pentose and glucuronate interconversions	SCO2821
sco00040	Pentose and glucuronate interconversions	SCO3052
sco00040	Pentose and glucuronate interconversions	SCO3182
sco00040	Pentose and glucuronate interconversions	SCO3476
sco00040	Pentose and glucuronate interconversions	SCO6147
sco00040	Pentose and glucuronate interconversions	SCO7629
sco00051	Fructose and mannose metabolism	SCO0349
sco00051	Fructose and mannose metabolism	SCO0350
sco00051	Fructose and mannose metabolism	SCO0382
sco00051	Fructose and mannose metabolism	SCO0554
sco00051	Fructose and mannose metabolism	SCO0578
sco00051	Fructose and mannose metabolism	SCO0579
sco00051	Fructose and mannose metabolism	SCO0812
sco00051	Fructose and mannose metabolism	SCO0814
sco00051	Fructose and mannose metabolism	SCO1169
sco00051	Fructose and mannose metabolism	SCO1214
sco00051	Fructose and mannose metabolism	SCO1224
sco00051	Fructose and mannose metabolism	SCO1388
sco00051	Fructose and mannose metabolism	SCO1560
sco00051	Fructose and mannose metabolism	SCO1844
sco00051	Fructose and mannose metabolism	SCO1945
sco00051	Fructose and mannose metabolism	SCO1957
sco00051	Fructose and mannose metabolism	SCO2119
sco00051	Fructose and mannose metabolism	SCO2346
sco00051	Fructose and mannose metabolism	SCO2627
sco00051	Fructose and mannose metabolism	SCO3025
sco00051	Fructose and mannose metabolism	SCO3028
sco00051	Fructose and mannose metabolism	SCO3039
sco00051	Fructose and mannose metabolism	SCO3196
sco00051	Fructose and mannose metabolism	SCO3197
sco00051	Fructose and mannose metabolism	SCO3649
sco00051	Fructose and mannose metabolism	SCO4916
sco00051	Fructose and mannose metabolism	SCO5047
sco00051	Fructose and mannose metabolism	SCO5426
sco00051	Fructose and mannose metabolism	SCO5852
sco00051	Fructose and mannose metabolism	SCO6147
sco00051	Fructose and mannose metabolism	SCO6234
sco00051	Fructose and mannose metabolism	SCO7160
sco00051	Fructose and mannose metabolism	SCO7162
sco00052	Galactose metabolism	SCO0274
sco00052	Galactose metabolism	SCO0284
sco00052	Galactose metabolism	SCO0541
sco00052	Galactose metabolism	SCO0766
sco00052	Galactose metabolism	SCO1077
sco00052	Galactose metabolism	SCO1214
sco00052	Galactose metabolism	SCO1394
sco00052	Galactose metabolism	SCO2119
sco00052	Galactose metabolism	SCO2126
sco00052	Galactose metabolism	SCO2228
sco00052	Galactose metabolism	SCO2393
sco00052	Galactose metabolism	SCO2401
sco00052	Galactose metabolism	SCO2407
sco00052	Galactose metabolism	SCO2988
sco00052	Galactose metabolism	SCO3136
sco00052	Galactose metabolism	SCO3137
sco00052	Galactose metabolism	SCO3138
sco00052	Galactose metabolism	SCO3182
sco00052	Galactose metabolism	SCO3326
sco00052	Galactose metabolism	SCO3475
sco00052	Galactose metabolism	SCO3479
sco00052	Galactose metabolism	SCO3651
sco00052	Galactose metabolism	SCO3780
sco00052	Galactose metabolism	SCO4285
sco00052	Galactose metabolism	SCO5426
sco00052	Galactose metabolism	SCO5689
sco00052	Galactose metabolism	SCO5848
sco00052	Galactose metabolism	SCO5849
sco00052	Galactose metabolism	SCO6110
sco00052	Galactose metabolism	SCO6260
sco00052	Galactose metabolism	SCO6347
sco00052	Galactose metabolism	SCO6457
sco00052	Galactose metabolism	SCO7010
sco00052	Galactose metabolism	SCO7407
sco00052	Galactose metabolism	SCO7443
sco00053	Ascorbate and aldarate metabolism	SCO0136
sco00053	Ascorbate and aldarate metabolism	SCO0137
sco00053	Ascorbate and aldarate metabolism	SCO0349
sco00053	Ascorbate and aldarate metabolism	SCO0524
sco00053	Ascorbate and aldarate metabolism	SCO1706
sco00053	Ascorbate and aldarate metabolism	SCO1895
sco00053	Ascorbate and aldarate metabolism	SCO1896
sco00053	Ascorbate and aldarate metabolism	SCO2542
sco00053	Ascorbate and aldarate metabolism	SCO2543
sco00053	Ascorbate and aldarate metabolism	SCO3052
sco00053	Ascorbate and aldarate metabolism	SCO3420
sco00053	Ascorbate and aldarate metabolism	SCO4913
sco00053	Ascorbate and aldarate metabolism	SCO7139
sco00053	Ascorbate and aldarate metabolism	SCO7162
sco00053	Ascorbate and aldarate metabolism	SCO7570
sco00061	Fatty acid biosynthesis	SCO0330
sco00061	Fatty acid biosynthesis	SCO0548
