term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
R	General function	55	2848	55/98	1.631	7.901601727295538e-06	SC_RS02875;SC_RS03485;SC_RS04270;SC_RS04640;SC_RS04780;SC_RS05135;SC_RS05330;SC_RS05585;SC_RS06110;SC_RS06230;SC_RS07535;SC_RS07905;SC_RS09350;SC_RS10145;SC_RS10245;SC_RS10435;SC_RS10835;SC_RS11000;SC_RS11165;SC_RS11210;SC_RS11695;SC_RS13380;SC_RS13610;SC_RS13645;SC_RS14780;SC_RS15915;SC_RS17800;SC_RS18540;SC_RS18715;SC_RS19835;SC_RS21340;SC_RS21755;SC_RS22555;SC_RS23420;SC_RS23795;SC_RS24480;SC_RS24635;SC_RS26660;SC_RS27555;SC_RS31180;SC_RS31240;SC_RS31730;SC_RS32330;SC_RS33140;SC_RS33295;SC_RS34680;SC_RS35055;SC_RS35420;SC_RS36055;SC_RS36280;SC_RS36820;SC_RS37135;SC_RS37320;SC_RS37520;SC_RS40040	0.0001264256276367286
D	Cell division	2	14	2/98	12.063	0.011515464746491778	SC_RS19920;SC_RS32080	0.09212371797193422
G	Carbohydrate metabolism	5	179	5/98	2.359	0.060911734418342335	SC_RS13175;SC_RS25065;SC_RS33200;SC_RS39795;SC_RS40360	0.32486258356449244
M	Cell wall	2	105	2/98	1.608	0.354086294285275	SC_RS26400;SC_RS38515	0.9998149113554877
F	Nucleotide metabolism	1	38	1/98	2.222	0.36475056370064174	SC_RS17410	0.9998149113554877
P	Inorganic ion transport	6	491	6/98	1.032	0.529039590671315	SC_RS10945;SC_RS14055;SC_RS27340;SC_RS32050;SC_RS32715;SC_RS35970	0.9998149113554877
J	Translation	2	155	2/98	1.09	0.5514391877408918	SC_RS19155;SC_RS29675	0.9998149113554877
H	Coenzyme metabolism	2	156	2/98	1.083	0.5549456045292112	SC_RS33145;SC_RS40325	0.9998149113554877
V	Defense	1	142	1/98	0.595	0.8184813349670389	SC_RS38275	0.9998149113554877
U	Secretion	1	148	1/98	0.571	0.831219539326055	SC_RS17860	0.9998149113554877
C	Energy production	4	499	4/98	0.677	0.8504775085790424	SC_RS21125;SC_RS27020;SC_RS39015;SC_RS39965	0.9998149113554877
E	Amino acid metabolism	2	301	2/98	0.561	0.8770482912455704	SC_RS02600;SC_RS34805	0.9998149113554877
O	Chaperones/PTM	1	195	1/98	0.433	0.9047246233776454	SC_RS24960	0.9998149113554877
T	Signal transduction	2	344	2/98	0.491	0.919366931094058	SC_RS03920;SC_RS35525	0.9998149113554877
K	Transcription	5	822	5/98	0.514	0.9721781190854172	SC_RS07910;SC_RS09835;SC_RS21680;SC_RS31385;SC_RS37035	0.9998149113554877
S	Unknown	7	1597	7/98	0.37	0.9998149113554877	SC_RS07565;SC_RS13370;SC_RS15255;SC_RS16615;SC_RS20270;SC_RS22010;SC_RS38225	0.9998149113554877
