term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
V	Defense	5	142	5/114	2.556	0.04605862715511383	SC_RS06595;SC_RS11875;SC_RS29545;SC_RS39465;SC_RS40100	0.47104655363255765
I	Lipid metabolism	3	68	3/114	3.202	0.06701730867856638	SC_RS04660;SC_RS08095;SC_RS20915	0.47104655363255765
O	Chaperones/PTM	5	195	5/114	1.861	0.13136830220794335	SC_RS04100;SC_RS06225;SC_RS09135;SC_RS17270;SC_RS40220	0.47104655363255765
U	Secretion	4	148	4/114	1.962	0.14710199396738857	SC_RS07655;SC_RS18310;SC_RS20960;SC_RS24385	0.47104655363255765
K	Transcription	15	822	15/114	1.325	0.15776902082426453	SC_RS02455;SC_RS06310;SC_RS08090;SC_RS13145;SC_RS16855;SC_RS17795;SC_RS22780;SC_RS24380;SC_RS25370;SC_RS26965;SC_RS27105;SC_RS29350;SC_RS33745;SC_RS36220;SC_RS38475	0.47104655363255765
D	Cell division	1	14	1/114	5.185	0.17664245761220912	SC_RS12435	0.47104655363255765
R	General function	42	2848	42/114	1.07	0.32371815665650444	SC_RS02090;SC_RS02810;SC_RS03390;SC_RS03540;SC_RS03785;SC_RS04370;SC_RS04645;SC_RS04860;SC_RS04900;SC_RS06230;SC_RS06245;SC_RS07375;SC_RS08470;SC_RS09070;SC_RS09565;SC_RS09840;SC_RS10560;SC_RS12130;SC_RS12685;SC_RS14015;SC_RS15485;SC_RS16925;SC_RS24520;SC_RS26870;SC_RS27440;SC_RS29550;SC_RS31180;SC_RS31380;SC_RS34185;SC_RS34380;SC_RS35045;SC_RS35240;SC_RS35805;SC_RS36315;SC_RS38380;SC_RS38610;SC_RS38680;SC_RS38905;SC_RS38955;SC_RS39065;SC_RS39380;SC_RS41345	0.7296245433653995
C	Energy production	8	499	8/114	1.164	0.3817447509105983	SC_RS03040;SC_RS03820;SC_RS04840;SC_RS15980;SC_RS36115;SC_RS40335;SC_RS40485;SC_RS41080	0.7296245433653995
F	Nucleotide metabolism	1	38	1/114	1.91	0.4104138056430372	SC_RS27670	0.7296245433653995
J	Translation	2	155	2/114	0.937	0.6340712283967938	SC_RS25685;SC_RS25760	0.9273827036781799
L	Replication/Repair	2	156	2/114	0.931	0.6375756087787486	SC_RS34950;SC_RS38940	0.9273827036781799
T	Signal transduction	4	344	4/114	0.844	0.7040088407160109	SC_RS05300;SC_RS22705;SC_RS24700;SC_RS40740	0.9386784542880146
P	Inorganic ion transport	5	491	5/114	0.739	0.8147528163775251	SC_RS03925;SC_RS10550;SC_RS25280;SC_RS26590;SC_RS35745	0.9683817448122235
H	Coenzyme metabolism	1	156	1/114	0.465	0.8874924514882772	SC_RS05370	0.9683817448122235
G	Carbohydrate metabolism	1	179	1/114	0.406	0.9187654357040574	SC_RS35070	0.9683817448122235
S	Unknown	15	1597	15/114	0.682	0.9683817448122235	SC_RS03545;SC_RS03550;SC_RS04710;SC_RS06255;SC_RS07305;SC_RS11195;SC_RS12135;SC_RS13090;SC_RS23185;SC_RS27665;SC_RS36160;SC_RS36560;SC_RS40770;SC_RS41015;SC_RS41150	0.9683817448122235
