term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
P	Inorganic ion transport	14	491	14/113	2.088	0.0067831233850947775	SC_RS04575;SC_RS05470;SC_RS05970;SC_RS07280;SC_RS13560;SC_RS17005;SC_RS19405;SC_RS33115;SC_RS35745;SC_RS37280;SC_RS38055;SC_RS39255;SC_RS39720;SC_RS39980	0.10174685077642166
H	Coenzyme metabolism	6	156	6/113	2.817	0.01973993695146127	SC_RS06995;SC_RS12120;SC_RS20645;SC_RS24070;SC_RS24090;SC_RS39570	0.14804952713595954
G	Carbohydrate metabolism	4	179	4/113	1.636	0.22844566559420743	SC_RS07050;SC_RS26535;SC_RS27420;SC_RS35070	0.723387175401686
I	Lipid metabolism	2	68	2/113	2.154	0.23767128054903341	SC_RS04660;SC_RS39185	0.723387175401686
C	Energy production	9	499	9/113	1.321	0.24112905846722862	SC_RS03020;SC_RS03040;SC_RS03800;SC_RS06390;SC_RS27025;SC_RS40335;SC_RS40610;SC_RS41080;SC_RS41220	0.723387175401686
V	Defense	3	142	3/113	1.547	0.30654194563300646	SC_RS03870;SC_RS39465;SC_RS40100	0.7663548640825161
T	Signal transduction	5	344	5/113	1.064	0.5085267119308626	SC_RS04865;SC_RS05300;SC_RS07750;SC_RS34060;SC_RS37675	0.9018190720740584
K	Transcription	11	822	11/113	0.98	0.5751683172545778	SC_RS02455;SC_RS05075;SC_RS05485;SC_RS08090;SC_RS11515;SC_RS26855;SC_RS33895;SC_RS36220;SC_RS38785;SC_RS39260;SC_RS39850	0.9018190720740584
E	Amino acid metabolism	4	301	4/113	0.973	0.5931219533717789	SC_RS18180;SC_RS36025;SC_RS38930;SC_RS39740	0.9018190720740584
O	Chaperones/PTM	2	195	2/113	0.751	0.7502959917806786	SC_RS06075;SC_RS34235	0.9018190720740584
M	Cell wall	1	105	1/113	0.697	0.7661159948752272	SC_RS12970	0.9018190720740584
J	Translation	1	155	1/113	0.472	0.8836814801641402	SC_RS11045	0.9018190720740584
L	Replication/Repair	1	156	1/113	0.469	0.885300198482053	SC_RS36405	0.9018190720740584
R	General function	33	2848	33/113	0.849	0.8999926940702739	SC_RS03805;SC_RS04155;SC_RS04370;SC_RS04645;SC_RS04860;SC_RS04960;SC_RS05530;SC_RS06015;SC_RS06245;SC_RS06555;SC_RS07590;SC_RS09840;SC_RS09930;SC_RS10155;SC_RS15280;SC_RS24060;SC_RS25060;SC_RS26850;SC_RS28215;SC_RS29495;SC_RS31380;SC_RS34140;SC_RS35240;SC_RS35585;SC_RS35590;SC_RS35685;SC_RS35735;SC_RS36155;SC_RS36315;SC_RS36700;SC_RS38875;SC_RS39280;SC_RS40865	0.9018190720740584
S	Unknown	17	1597	17/113	0.78	0.9018190720740584	SC_RS02295;SC_RS02610;SC_RS03550;SC_RS16705;SC_RS27665;SC_RS32960;SC_RS33890;SC_RS35270;SC_RS35445;SC_RS36430;SC_RS36510;SC_RS36560;SC_RS36845;SC_RS37570;SC_RS39275;SC_RS40770;SC_RS41150	0.9018190720740584
