term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
V	Defense	6	142	6/181	1.932	0.09093431687860158	SC_RS05450;SC_RS06595;SC_RS11875;SC_RS12890;SC_RS13205;SC_RS39225	0.5219722078876698
R	General function	71	2848	71/181	1.14	0.0979615069903026	SC_RS02090;SC_RS02810;SC_RS03540;SC_RS05035;SC_RS05135;SC_RS05530;SC_RS06510;SC_RS06905;SC_RS07135;SC_RS07590;SC_RS07905;SC_RS08425;SC_RS08715;SC_RS08955;SC_RS09070;SC_RS09930;SC_RS10200;SC_RS10560;SC_RS11025;SC_RS11275;SC_RS11710;SC_RS12015;SC_RS12210;SC_RS13210;SC_RS13295;SC_RS14175;SC_RS14745;SC_RS15500;SC_RS16380;SC_RS19695;SC_RS19915;SC_RS21340;SC_RS21755;SC_RS23405;SC_RS23430;SC_RS23510;SC_RS23590;SC_RS23655;SC_RS23755;SC_RS23840;SC_RS24060;SC_RS25940;SC_RS26850;SC_RS28555;SC_RS28635;SC_RS29185;SC_RS29640;SC_RS29820;SC_RS31905;SC_RS31910;SC_RS32515;SC_RS32610;SC_RS32975;SC_RS34185;SC_RS34265;SC_RS34380;SC_RS35075;SC_RS35585;SC_RS35590;SC_RS35735;SC_RS36700;SC_RS36715;SC_RS36920;SC_RS37020;SC_RS37275;SC_RS38380;SC_RS39280;SC_RS40045;SC_RS40075;SC_RS40865;SC_RS41345	0.5219722078876698
H	Coenzyme metabolism	6	156	6/181	1.758	0.12680986125803412	SC_RS05370;SC_RS12195;SC_RS24090;SC_RS32075;SC_RS39555;SC_RS39560	0.5219722078876698
C	Energy production	15	499	15/181	1.374	0.13049305197191746	SC_RS03020;SC_RS04840;SC_RS07820;SC_RS12310;SC_RS12945;SC_RS21280;SC_RS26295;SC_RS26370;SC_RS26720;SC_RS27025;SC_RS30010;SC_RS34670;SC_RS34675;SC_RS36110;SC_RS41220	0.5219722078876698
I	Lipid metabolism	3	68	3/181	2.017	0.1859950306149213	SC_RS07380;SC_RS39185;SC_RS39855	0.5951840979677481
J	Translation	5	155	5/181	1.475	0.25162976708829415	SC_RS21625;SC_RS26355;SC_RS29675;SC_RS34375;SC_RS40605	0.6508259521359813
E	Amino acid metabolism	8	301	8/181	1.215	0.337613521226863	SC_RS02600;SC_RS05460;SC_RS08180;SC_RS08315;SC_RS11705;SC_RS24000;SC_RS38205;SC_RS39180	0.6508259521359813
G	Carbohydrate metabolism	5	179	5/181	1.277	0.3541870725342795	SC_RS17020;SC_RS18855;SC_RS27420;SC_RS29005;SC_RS33200	0.6508259521359813
P	Inorganic ion transport	12	491	12/181	1.117	0.3882508656209177	SC_RS04575;SC_RS10550;SC_RS13410;SC_RS17905;SC_RS19405;SC_RS20895;SC_RS25085;SC_RS30795;SC_RS33115;SC_RS35210;SC_RS39255;SC_RS39720	0.6508259521359813
U	Secretion	4	148	4/181	1.236	0.4067662200849883	SC_RS11755;SC_RS15275;SC_RS20390;SC_RS24385	0.6508259521359813
O	Chaperones/PTM	3	195	3/181	0.703	0.804857712789383	SC_RS27085;SC_RS28655;SC_RS29420	0.9799171304783767
M	Cell wall	1	105	1/181	0.435	0.9033876508720098	SC_RS08400	0.9799171304783767
T	Signal transduction	4	344	4/181	0.532	0.947231568478208	SC_RS10995;SC_RS13455;SC_RS37545;SC_RS37675	0.9799171304783767
K	Transcription	12	822	12/181	0.667	0.954913521365677	SC_RS05075;SC_RS05485;SC_RS06430;SC_RS08720;SC_RS10280;SC_RS11030;SC_RS22980;SC_RS26855;SC_RS27300;SC_RS33075;SC_RS33895;SC_RS38475	0.9799171304783767
L	Replication/Repair	1	156	1/181	0.293	0.9692900381010373	SC_RS34310	0.9799171304783767
S	Unknown	25	1597	25/181	0.716	0.9799171304783767	SC_RS07450;SC_RS07565;SC_RS11380;SC_RS15255;SC_RS17025;SC_RS20270;SC_RS22350;SC_RS22665;SC_RS23065;SC_RS25255;SC_RS25385;SC_RS27920;SC_RS32960;SC_RS33880;SC_RS33890;SC_RS35270;SC_RS35765;SC_RS36160;SC_RS36430;SC_RS36450;SC_RS36480;SC_RS37030;SC_RS37550;SC_RS37570;SC_RS39275	0.9799171304783767
