term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
V	Defense	6	142	6/125	2.797	0.020371600311039233	SC_RS05450;SC_RS06595;SC_RS11875;SC_RS12890;SC_RS13205;SC_RS39225	0.3259456049766277
J	Translation	5	155	5/125	2.135	0.08523932029538993	SC_RS21625;SC_RS26355;SC_RS29675;SC_RS34375;SC_RS40605	0.5597341636262676
R	General function	49	2848	49/125	1.139	0.14945113582423786	SC_RS02090;SC_RS02810;SC_RS03540;SC_RS05035;SC_RS05135;SC_RS06510;SC_RS06905;SC_RS07905;SC_RS08425;SC_RS08715;SC_RS08955;SC_RS09070;SC_RS10200;SC_RS11025;SC_RS11275;SC_RS11710;SC_RS12015;SC_RS12210;SC_RS13210;SC_RS13295;SC_RS14175;SC_RS14745;SC_RS15500;SC_RS16380;SC_RS19915;SC_RS21340;SC_RS21755;SC_RS23405;SC_RS23430;SC_RS23510;SC_RS23590;SC_RS23655;SC_RS23755;SC_RS28555;SC_RS28635;SC_RS29640;SC_RS32515;SC_RS32610;SC_RS32975;SC_RS34185;SC_RS34265;SC_RS34380;SC_RS36715;SC_RS36920;SC_RS37020;SC_RS37275;SC_RS38380;SC_RS40045;SC_RS41345	0.5597341636262676
E	Amino acid metabolism	7	301	7/125	1.54	0.169966173587429	SC_RS05460;SC_RS08180;SC_RS08315;SC_RS11705;SC_RS24000;SC_RS38205;SC_RS39180	0.5597341636262676
U	Secretion	4	148	4/125	1.789	0.18511808949681788	SC_RS11755;SC_RS15275;SC_RS20390;SC_RS24385	0.5597341636262676
H	Coenzyme metabolism	4	156	4/125	1.697	0.20990031135985035	SC_RS12195;SC_RS32075;SC_RS39555;SC_RS39560	0.5597341636262676
I	Lipid metabolism	2	68	2/125	1.947	0.2743286719373334	SC_RS07380;SC_RS39855	0.5710025163416869
G	Carbohydrate metabolism	4	179	4/125	1.479	0.28550125817084343	SC_RS17020;SC_RS18855;SC_RS29005;SC_RS33200	0.5710025163416869
C	Energy production	8	499	8/125	1.061	0.4838697082828504	SC_RS04840;SC_RS07820;SC_RS12310;SC_RS12945;SC_RS21280;SC_RS26295;SC_RS26720;SC_RS30010	0.8602128147250674
P	Inorganic ion transport	6	491	6/125	0.809	0.7596971709838478	SC_RS10550;SC_RS13410;SC_RS17905;SC_RS20895;SC_RS25085;SC_RS30795	0.9798391426253742
O	Chaperones/PTM	2	195	2/125	0.679	0.7984293927981091	SC_RS28655;SC_RS29420	0.9798391426253742
M	Cell wall	1	105	1/125	0.63	0.7997945060871018	SC_RS08400	0.9798391426253742
T	Signal transduction	3	344	3/125	0.577	0.897719399368657	SC_RS10995;SC_RS13455;SC_RS37545	0.9798391426253742
L	Replication/Repair	1	156	1/125	0.424	0.909024989095646	SC_RS34310	0.9798391426253742
K	Transcription	7	822	7/125	0.564	0.9711108954086888	SC_RS08720;SC_RS10280;SC_RS11030;SC_RS22980;SC_RS27300;SC_RS33075;SC_RS38475	0.9798391426253742
S	Unknown	16	1597	16/125	0.663	0.9798391426253742	SC_RS07450;SC_RS07565;SC_RS11380;SC_RS15255;SC_RS17025;SC_RS20270;SC_RS22350;SC_RS23065;SC_RS25255;SC_RS25385;SC_RS27920;SC_RS35270;SC_RS35765;SC_RS36160;SC_RS36480;SC_RS37550	0.9798391426253742
