term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0016853	GO:0016853	4	16	4/210	5.768	0.0041369636004899134	SC_RS13610;SC_RS15835;SC_RS18855;SC_RS35070	0.17766019626261204
GO:0016746	GO:0016746	9	76	9/210	2.732	0.005181920446436726	SC_RS03390;SC_RS07380;SC_RS08095;SC_RS09845;SC_RS13930;SC_RS17800;SC_RS28435;SC_RS39440;SC_RS40755	0.17766019626261204
GO:0006424	GO:0006424	2	3	2/210	15.381	0.005449699271859265	SC_RS29675;SC_RS29680	0.17766019626261204
GO:0090529	GO:0090529	2	3	2/210	15.381	0.005449699271859265	SC_RS12435;SC_RS32080	0.17766019626261204
GO:0000917	GO:0000917	2	3	2/210	15.381	0.005449699271859265	SC_RS12435;SC_RS32080	0.17766019626261204
GO:0019941	GO:0019941	2	4	2/210	11.536	0.010588424940941627	SC_RS10240;SC_RS10245	0.24655903791049788
GO:0043093	GO:0043093	2	4	2/210	11.536	0.010588424940941627	SC_RS12435;SC_RS32080	0.24655903791049788
GO:0043190	GO:0043190	6	47	6/210	2.945	0.015008264138070332	SC_RS13175;SC_RS14055;SC_RS20895;SC_RS32040;SC_RS32050;SC_RS35970	0.305793381813183
GO:0010498	GO:0010498	2	5	2/210	9.229	0.017145669594211224	SC_RS10240;SC_RS10245	0.31052712709515884
GO:0008234	GO:0008234	2	7	2/210	6.592	0.03399852883295585	SC_RS04100;SC_RS24960	0.48052598143855074
GO:0005507	GO:0005507	2	7	2/210	6.592	0.03399852883295585	SC_RS22390;SC_RS35745	0.48052598143855074
GO:0006189	GO:0006189	2	8	2/210	5.768	0.044056651115644635	SC_RS17410;SC_RS26225	0.48052598143855074
GO:0016874	GO:0016874	2	9	2/210	5.127	0.055057341755431116	SC_RS33670;SC_RS34380	0.48052598143855074
GO:0015934	GO:0015934	2	9	2/210	5.127	0.055057341755431116	SC_RS25685;SC_RS25760	0.48052598143855074
GO:0050660	GO:0050660	5	49	5/210	2.354	0.059337355063852425	SC_RS05370;SC_RS15980;SC_RS21125;SC_RS26305;SC_RS36115	0.48052598143855074
GO:0008654	GO:0008654	3	21	3/210	3.296	0.060065086600770805	SC_RS07380;SC_RS08095;SC_RS09845	0.48052598143855074
GO:0016020	GO:0016020	25	427	25/210	1.351	0.07219761131248004	SC_RS03785;SC_RS05035;SC_RS06110;SC_RS06230;SC_RS06245;SC_RS07905;SC_RS10560;SC_RS13175;SC_RS14545;SC_RS15445;SC_RS18540;SC_RS20380;SC_RS20625;SC_RS20895;SC_RS20915;SC_RS21755;SC_RS23510;SC_RS24480;SC_RS31380;SC_RS32050;SC_RS35420;SC_RS35970;SC_RS36315;SC_RS38515;SC_RS39380	0.48052598143855074
GO:0046872	GO:0046872	21	350	21/210	1.384	0.07772760135683567	SC_RS02875;SC_RS03485;SC_RS04645;SC_RS05135;SC_RS05825;SC_RS06230;SC_RS08540;SC_RS10835;SC_RS10845;SC_RS11875;SC_RS12380;SC_RS20915;SC_RS22705;SC_RS23755;SC_RS27670;SC_RS28135;SC_RS28275;SC_RS30720;SC_RS33140;SC_RS37035;SC_RS37270	0.48052598143855074
GO:0008080	GO:0008080	6	70	6/210	1.978	0.0813997588146909	SC_RS08425;SC_RS13930;SC_RS17800;SC_RS28435;SC_RS39440;SC_RS40755	0.48052598143855074
GO:0005215	GO:0005215	3	24	3/210	2.884	0.08323943665483513	SC_RS14545;SC_RS24480;SC_RS32715	0.48052598143855074
GO:0022857	GO:0022857	12	183	12/210	1.513	0.09811725449157249	SC_RS03785;SC_RS05035;SC_RS07905;SC_RS10560;SC_RS16925;SC_RS20380;SC_RS20625;SC_RS23510;SC_RS31380;SC_RS35420;SC_RS38955;SC_RS39380	0.48052598143855074
GO:0003995	GO:0003995	2	14	2/210	3.296	0.12093729814890355	SC_RS15980;SC_RS21125	0.48052598143855074
GO:0016787	GO:0016787	14	230	14/210	1.404	0.1230234362555847	SC_RS04125;SC_RS05135;SC_RS08955;SC_RS10245;SC_RS11695;SC_RS12380;SC_RS18715;SC_RS19835;SC_RS23795;SC_RS24960;SC_RS26660;SC_RS28135;SC_RS33140;SC_RS38380	0.48052598143855074
GO:0015662	GO:0015662	1	3	1/210	7.69	0.12450094180629373	SC_RS06230	0.48052598143855074
GO:0019829	GO:0019829	1	3	1/210	7.69	0.12450094180629373	SC_RS06230	0.48052598143855074
GO:0006090	GO:0006090	1	3	1/210	7.69	0.12450094180629373	SC_RS04645	0.48052598143855074
GO:0015940	GO:0015940	1	3	1/210	7.69	0.12450094180629373	SC_RS13305	0.48052598143855074
GO:0030261	GO:0030261	1	3	1/210	7.69	0.12450094180629373	SC_RS16855	0.48052598143855074
GO:0019464	GO:0019464	1	3	1/210	7.69	0.12450094180629373	SC_RS29545	0.48052598143855074
GO:0019645	GO:0019645	1	3	1/210	7.69	0.12450094180629373	SC_RS03040	0.48052598143855074
GO:0070968	GO:0070968	1	3	1/210	7.69	0.12450094180629373	SC_RS40335	0.48052598143855074
GO:0019264	GO:0019264	1	3	1/210	7.69	0.12450094180629373	SC_RS26345	0.48052598143855074
GO:0004372	GO:0004372	1	3	1/210	7.69	0.12450094180629373	SC_RS26345	0.48052598143855074
GO:0120549	GO:0120549	1	3	1/210	7.69	0.12450094180629373	SC_RS38905	0.48052598143855074
GO:0006096	GO:0006096	2	15	2/210	3.076	0.13572292561237728	SC_RS17605;SC_RS36280	0.48052598143855074
GO:0016705	GO:0016705	2	16	2/210	2.884	0.15088245758579694	SC_RS04840;SC_RS39290	0.48052598143855074
GO:0003678	GO:0003678	2	16	2/210	2.884	0.15088245758579694	SC_RS09350;SC_RS09565	0.48052598143855074
GO:0004722	GO:0004722	3	32	3/210	2.163	0.15948884480425962	SC_RS22705;SC_RS34165;SC_RS37270	0.48052598143855074
GO:0016879	GO:0016879	1	4	1/210	5.768	0.16247178076141108	SC_RS19155	0.48052598143855074
GO:0006567	GO:0006567	1	4	1/210	5.768	0.16247178076141108	SC_RS36175	0.48052598143855074
GO:0016818	GO:0016818	1	4	1/210	5.768	0.16247178076141108	SC_RS10845	0.48052598143855074
GO:0019290	GO:0019290	1	4	1/210	5.768	0.16247178076141108	SC_RS31240	0.48052598143855074
GO:1990204	GO:1990204	1	4	1/210	5.768	0.16247178076141108	SC_RS05370	0.48052598143855074
GO:0009331	GO:0009331	1	4	1/210	5.768	0.16247178076141108	SC_RS30010	0.48052598143855074
GO:0008171	GO:0008171	1	4	1/210	5.768	0.16247178076141108	SC_RS39465	0.48052598143855074
