term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0046556	GO:0046556	2	3	2/35	92.286	0.00015142338928198802	SC_RS09930;SC_RS31910	0.0036341613427677126
GO:0046373	GO:0046373	2	3	2/35	92.286	0.00015142338928198802	SC_RS09930;SC_RS31910	0.0036341613427677126
GO:0008643	GO:0008643	4	75	4/35	7.383	0.0019285252368176618	SC_RS04575;SC_RS35210;SC_RS39255;SC_RS39720	0.03085640378908259
GO:0005975	GO:0005975	4	98	4/35	5.65	0.005095797913691331	SC_RS05530;SC_RS31905;SC_RS35590;SC_RS40075	0.061149574964295975
GO:0055085	GO:0055085	7	321	7/35	3.019	0.007031948378274956	SC_RS04575;SC_RS10560;SC_RS29185;SC_RS35210;SC_RS39255;SC_RS39720;SC_RS40865	0.06750670443143958
GO:0030246	GO:0030246	2	21	2/35	13.184	0.009768808043744928	SC_RS05530;SC_RS40075	0.07815046434995943
GO:0070967	GO:0070967	2	24	2/35	11.536	0.012666301165719047	SC_RS34670;SC_RS36110	0.0868546365649306
GO:0065003	GO:0065003	1	3	1/35	46.143	0.021520057735735357	SC_RS27025	0.11477364125725524
GO:0016042	GO:0016042	1	3	1/35	46.143	0.021520057735735357	SC_RS39185	0.11477364125725524
GO:1990204	GO:1990204	1	4	1/35	34.607	0.028592919771928925	SC_RS05370	0.13724601490525884
GO:0015205	GO:0015205	1	5	1/35	27.686	0.035616106677110175	SC_RS33115	0.1424644267084407
GO:0015851	GO:0015851	1	5	1/35	27.686	0.035616106677110175	SC_RS33115	0.1424644267084407
GO:0003954	GO:0003954	1	6	1/35	23.071	0.04258995714535422	SC_RS34675	0.1447312407122808
GO:0006116	GO:0006116	1	6	1/35	23.071	0.04258995714535422	SC_RS34675	0.1447312407122808
GO:0050660	GO:0050660	2	49	2/35	5.65	0.048243746904093596	SC_RS05370;SC_RS26370	0.1447312407122808
GO:0004553	GO:0004553	2	49	2/35	5.65	0.048243746904093596	SC_RS31905;SC_RS40075	0.1447312407122808
GO:0004672	GO:0004672	1	9	1/35	15.381	0.06321884335879747	SC_RS35590	0.15971076216959362
GO:0043546	GO:0043546	1	9	1/35	15.381	0.06321884335879747	SC_RS27025	0.15971076216959362
GO:0051920	GO:0051920	1	9	1/35	15.381	0.06321884335879747	SC_RS26850	0.15971076216959362
GO:0009101	GO:0009101	1	11	1/35	12.584	0.07673086124297068	SC_RS27420	0.18415406698312964
GO:0006468	GO:0006468	1	14	1/35	9.888	0.09664455991842742	SC_RS35590	0.21400991871622602
GO:0042626	GO:0042626	4	245	4/35	2.26	0.09808787941160359	SC_RS04575;SC_RS35210;SC_RS39255;SC_RS39720	0.21400991871622602
GO:0051537	GO:0051537	1	17	1/35	8.143	0.11614076042772106	SC_RS35585	0.240794472654016
GO:0005886	GO:0005886	2	85	2/35	3.257	0.12490053906786051	SC_RS33115;SC_RS40865	0.240794472654016
GO:0140359	GO:0140359	4	268	4/35	2.066	0.12541378784063334	SC_RS04575;SC_RS35210;SC_RS39255;SC_RS39720	0.240794472654016
GO:0022857	GO:0022857	3	183	3/35	2.269	0.14426247126431854	SC_RS10560;SC_RS29185;SC_RS40865	0.2663307161802804
GO:0008233	GO:0008233	1	24	1/35	5.768	0.16005572839528998	SC_RS27085	0.27438124867763997
GO:0005215	GO:0005215	1	24	1/35	5.768	0.16005572839528998	SC_RS23840	0.27438124867763997
GO:0008236	GO:0008236	1	27	1/35	5.127	0.17822072573619308	SC_RS27085	0.2949860288047334
GO:0004252	GO:0004252	1	33	1/35	4.195	0.21341294748016418	SC_RS27085	0.34146071596826266
GO:0016787	GO:0016787	3	230	3/35	1.806	0.230030731267447	SC_RS05530;SC_RS07135;SC_RS36700	0.35408455363787295
GO:0010181	GO:0010181	1	37	1/35	3.741	0.23605636909191527	SC_RS03020	0.35408455363787295
GO:0016757	GO:0016757	1	39	1/35	3.549	0.24713934238704252	SC_RS27420	0.35947540710842546
GO:0016491	GO:0016491	3	264	3/35	1.573	0.2972659049473772	SC_RS03020;SC_RS34670;SC_RS36110	0.41177512822228124
GO:0006352	GO:0006352	1	49	1/35	2.825	0.30025269766208007	SC_RS26855	0.41177512822228124
GO:0016987	GO:0016987	1	52	1/35	2.662	0.31546405763045027	SC_RS26855	0.420618743507267
GO:0004673	GO:0004673	1	71	1/35	1.95	0.4046050460326913	SC_RS37675	0.524893032691059
GO:0000155	GO:0000155	1	76	1/35	1.821	0.42612157612540913	SC_RS37675	0.5382588330005168
GO:0008270	GO:0008270	1	90	1/35	1.538	0.4824270767925412	SC_RS07135	0.5937564022062045
GO:0007165	GO:0007165	1	94	1/35	1.473	0.4975030940382025	SC_RS37675	0.597003712845843
GO:0006508	GO:0006508	1	111	1/35	1.247	0.5569528623844601	SC_RS27085	0.6520423754744898
GO:0006355	GO:0006355	3	469	3/35	0.885	0.6725909194374151	SC_RS05485;SC_RS26855;SC_RS33895	0.7686753364999029
GO:0016887	GO:0016887	1	191	1/35	0.725	0.7565322679388921	SC_RS23840	0.8445011363038795
GO:0005524	GO:0005524	3	570	3/35	0.729	0.7977018706801662	SC_RS23840;SC_RS35590;SC_RS37675	0.8702202225601813
GO:0016020	GO:0016020	2	427	2/35	0.648	0.8275052729411558	SC_RS10560;SC_RS23840	0.8826722911372329
GO:0046872	GO:0046872	1	350	1/35	0.396	0.9282067569733984	SC_RS24060	0.9685635724939808
GO:0003700	GO:0003700	1	464	1/35	0.298	0.9708858329867952	SC_RS05485	0.991542978369493
GO:0003677	GO:0003677	1	684	1/35	0.202	0.995237608428259	SC_RS05485	0.995237608428259
